'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/06/2020,0.8,3.2, ,15.1,7.5,98,67,2.28,6.22
ST HELENS AERODROME,02/06/2020,1.2,0.2, ,15.4,4.8,99,57,3.48,6.80
ST HELENS AERODROME,03/06/2020,1.1,0.0, ,13.0,7.0,93,48,2.57,7.01
ST HELENS AERODROME,04/06/2020,1.1,0.2, ,14.1,1.6,97,46,2.62,7.63
ST HELENS AERODROME,05/06/2020,1.0,0.0, ,12.9,3.0,94,60,2.78,4.24
ST HELENS AERODROME,06/06/2020,0.7,0.4, ,11.3,4.6,95,65,1.89,5.62
ST HELENS AERODROME,07/06/2020,1.1,0.2, ,13.0,0.9,97,46,2.92,7.74
ST HELENS AERODROME,08/06/2020,1.0,0.2, ,13.4,0.7,99,52,2.69,7.17
ST HELENS AERODROME,09/06/2020,0.9,0.4, ,12.6,0.1,99,58,3.00,7.69
ST HELENS AERODROME,10/06/2020,1.2,0.0, ,13.2,3.8,95,58,3.91,4.51
ST HELENS AERODROME,11/06/2020,1.1,0.0, ,12.4,10.2,89,66,3.89,3.29
ST HELENS AERODROME,12/06/2020,0.5,1.6, ,12.9,7.1,99,87,2.58,2.60
ST HELENS AERODROME,13/06/2020,0.6,11.6, ,15.8,7.7,99,73,1.85,6.56
ST HELENS AERODROME,14/06/2020,1.2,0.4, ,15.5,6.6,99,59,3.81,6.80
ST HELENS AERODROME,15/06/2020,1.5,0.2, ,15.3,11.6,89,67,6.22,4.88
ST HELENS AERODROME,16/06/2020,2.5,0.4, ,15.1,12.1,76,43,6.52,7.39
ST HELENS AERODROME,17/06/2020,1.1,0.2, ,13.2,1.5,96,39,2.55,7.57
ST HELENS AERODROME,18/06/2020,0.9,0.0, ,14.4,0.7,99,61,2.44,6.11
ST HELENS AERODROME,19/06/2020,0.5,0.4, ,15.1,5.0,99,75,1.64,6.51
ST HELENS AERODROME,20/06/2020,0.5,0.0, ,13.5,5.7,99,88,1.80,3.50
ST HELENS AERODROME,21/06/2020,0.5,9.4, ,13.7,7.7,99,83,1.62,4.69
ST HELENS AERODROME,22/06/2020,0.4,1.2, ,13.1,7.5,99,82,1.06,4.58
ST HELENS AERODROME,23/06/2020,0.6,3.4, ,13.5,6.7,100,89,6.51,2.62
ST HELENS AERODROME,24/06/2020,0.3,12.2, ,14.2,12.4,100,98,4.30,3.77
ST HELENS AERODROME,25/06/2020,0.6,6.2, ,14.6,9.5,100,72,2.29,7.07
ST HELENS AERODROME,26/06/2020,1.0,0.0, ,13.0,4.8,96,46,2.40,7.66
ST HELENS AERODROME,27/06/2020,1.0,0.2, ,13.3,1.9,99,51,2.80,7.60
ST HELENS AERODROME,28/06/2020,1.0,0.2, ,14.8,1.3,99,52,2.75,7.70
ST HELENS AERODROME,29/06/2020,0.9,0.4, ,14.8,1.5,99,59,2.70,7.73
ST HELENS AERODROME,30/06/2020,0.6,0.4, ,14.2,2.2,100,74,2.25,7.16
Totals:,,27.4,53.2, ,,,,,, 
