'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/07/2020,0.7,0.0, ,15.6,4.0,99,67,2.00,7.54
ST HELENS AERODROME,02/07/2020,1.2,2.2, ,13.2,7.0,99,55,4.21,7.03
ST HELENS AERODROME,03/07/2020,1.1,0.0, ,13.7,7.0,98,51,2.95,7.73
ST HELENS AERODROME,04/07/2020,1.0,0.2, ,15.3,2.4,99,55,2.41,5.40
ST HELENS AERODROME,05/07/2020,1.1,0.0, ,16.7,4.8,95,52,2.49,7.94
ST HELENS AERODROME,06/07/2020,1.1,0.0, ,14.9,3.3,99,53,2.91,7.65
ST HELENS AERODROME,07/07/2020,0.8,0.0, ,11.8,3.9,96,56,2.43,7.79
ST HELENS AERODROME,08/07/2020,0.9,0.4, ,13.6,0.8,99,59,2.56,8.06
ST HELENS AERODROME,09/07/2020,0.8,0.0, ,14.6,2.4,99,56,1.79,6.74
ST HELENS AERODROME,10/07/2020,0.6,0.0, ,13.4,2.9,100,77,2.50,5.79
ST HELENS AERODROME,11/07/2020,0.9,0.2, ,15.0,3.9,100,66,2.54,7.34
ST HELENS AERODROME,12/07/2020,0.9,0.0, ,13.1,5.3,99,68,3.36,6.20
ST HELENS AERODROME,13/07/2020,1.0,0.0, ,11.9,7.7,98,61,3.64,5.17
ST HELENS AERODROME,14/07/2020,1.1,0.4, ,12.7,8.0,99,63,4.37,4.20
ST HELENS AERODROME,15/07/2020,1.1,3.6, ,12.5,8.2,99,64,4.40,6.00
ST HELENS AERODROME,16/07/2020,0.9,0.2, ,13.0,8.1,96,68,3.41,6.93
ST HELENS AERODROME,17/07/2020,0.8,0.4, ,13.5,4.2,99,68,2.13,7.89
ST HELENS AERODROME,18/07/2020,0.8,0.2, ,12.2,3.0,99,69,2.92,5.02
ST HELENS AERODROME,19/07/2020,1.4,0.0, ,14.6,8.6,88,65,4.59,4.23
ST HELENS AERODROME,20/07/2020,1.5,0.8, ,14.0,5.1,79,42,2.71,7.57
ST HELENS AERODROME,21/07/2020,1.3,0.0, ,16.5,4.1,96,46,2.26,8.69
ST HELENS AERODROME,22/07/2020,0.9,0.2, ,14.2,2.2,99,67,2.65,9.00
ST HELENS AERODROME,23/07/2020,1.4,0.4, ,14.7,1.4,99,45,2.92,9.11
ST HELENS AERODROME,24/07/2020,1.1,0.0, ,13.8,1.9,99,56,2.63,9.09
ST HELENS AERODROME,25/07/2020,1.0,0.0, ,13.0,2.8,99,53,2.28,8.78
ST HELENS AERODROME,26/07/2020,0.9,0.2, ,13.0,2.1,99,70,2.61,7.71
ST HELENS AERODROME,27/07/2020,1.0,12.2, ,12.6,3.7,100,69,3.75,5.98
ST HELENS AERODROME,28/07/2020,1.2,0.0, ,13.6,10.2,92,72,4.95,7.11
ST HELENS AERODROME,29/07/2020,1.2,0.0, ,15.8,4.5,99,55,2.48,8.30
ST HELENS AERODROME,30/07/2020,1.4,0.0, ,14.4,4.1,96,41,2.42,9.53
ST HELENS AERODROME,31/07/2020,1.2,0.2, ,16.1,2.1,99,56,2.07,9.56
Totals:,,32.3,21.8, ,,,,,, 
