'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/08/2020,1.4,0.0, ,15.4,4.7,98,61,4.22,6.78
ST HELENS AERODROME,02/08/2020,2.2,0.0, ,15.2,11.0,77,47,4.50,9.57
ST HELENS AERODROME,03/08/2020,2.1,0.0, ,12.4,9.5,80,43,4.79,9.39
ST HELENS AERODROME,04/08/2020,1.1,0.8, ,10.2,3.2,95,46,1.84,8.94
ST HELENS AERODROME,05/08/2020,1.4,5.0, ,11.3,2.3,95,61,4.93,8.41
ST HELENS AERODROME,06/08/2020,1.5,0.0, ,12.3,5.3,97,52,3.96,10.20
ST HELENS AERODROME,07/08/2020,1.3,0.0, ,11.9,0.3,99,60,3.64,10.16
ST HELENS AERODROME,08/08/2020,1.3,0.0, ,12.4,6.5,83,57,2.75,5.76
ST HELENS AERODROME,09/08/2020,1.1,0.0, ,13.2,7.2,99,58,1.41,10.74
ST HELENS AERODROME,10/08/2020,1.3,0.0, ,13.5,1.3,99,57,2.56,11.03
ST HELENS AERODROME,11/08/2020,1.5,0.0, ,16.1,0.7,99,48,2.22,11.04
ST HELENS AERODROME,12/08/2020,1.0,0.0, ,13.4,4.4,99,66,1.88,6.63
ST HELENS AERODROME,13/08/2020,1.1,0.0, ,16.5,4.1,99,69,1.79,8.42
ST HELENS AERODROME,14/08/2020, ,1.4, , ,6.4,100,92,2.13,4.52
ST HELENS AERODROME,15/08/2020,1.0, , ,15.7,9.8,100,84,3.42,6.62
ST HELENS AERODROME,16/08/2020,0.7, , ,12.8,11.3,100,89,5.95,3.40
ST HELENS AERODROME,17/08/2020,1.0,6.0, ,16.0,10.0,100,74,0.92,8.09
ST HELENS AERODROME,18/08/2020,1.5,2.4, ,14.8,7.6,100,59,2.91,9.03
ST HELENS AERODROME,19/08/2020, ,0.0, , ,6.8,93,63,2.78,7.33
ST HELENS AERODROME,20/08/2020, , , ,15.7, ,99,39,3.02,11.76
ST HELENS AERODROME,21/08/2020,1.4,0.0, ,10.3,5.3,97,61,4.00,10.16
ST HELENS AERODROME,22/08/2020,1.4,0.4, ,12.9,2.5,99,60,3.22,9.66
ST HELENS AERODROME,23/08/2020,1.6,1.4, ,13.2,6.1,89,60,3.33,9.21
ST HELENS AERODROME,24/08/2020,1.8,0.4, ,13.9,3.0,99,41,2.56,12.94
ST HELENS AERODROME,25/08/2020,1.7,0.2, ,13.7,2.7,99,46,2.54,13.20
ST HELENS AERODROME,26/08/2020,1.8,0.0, ,14.9,3.5,94,51,2.64,11.59
ST HELENS AERODROME,27/08/2020, ,0.0, , ,7.5,88,57,4.85,5.99
ST HELENS AERODROME,28/08/2020, , , ,18.5, ,84,27,3.20,13.80
ST HELENS AERODROME,29/08/2020,2.5,0.0, ,17.6,8.3,80,53,4.04,12.95
ST HELENS AERODROME,30/08/2020,3.8,0.0, ,19.5,9.8,83,37,7.11,10.68
ST HELENS AERODROME,31/08/2020,2.5,0.0, ,14.4,7.1,95,32,3.87,13.29
Totals:,,41,18, ,,,,,, 
