'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/09/2020,1.9,0.0, ,13.1,2.5,99,51,3.37,13.81
ST HELENS AERODROME,02/09/2020,1.9,0.0, ,16.5,4.6,99,61,3.46,12.61
ST HELENS AERODROME,03/09/2020,2.5,2.2, ,17.0,9.5,99,51,5.32,12.72
ST HELENS AERODROME,04/09/2020,3.0,1.4, ,15.7,8.9,75,46,5.51,12.53
ST HELENS AERODROME,05/09/2020,2.5,0.0, ,17.0,7.4,94,43,3.44,14.46
ST HELENS AERODROME,06/09/2020,2.3,0.0, ,16.8,4.1,99,49,3.28,14.72
ST HELENS AERODROME,07/09/2020,2.9,0.0, ,19.9,7.0,99,38,3.53,14.61
ST HELENS AERODROME,08/09/2020,2.4,0.0, ,19.8,9.6,87,52,4.05,6.91
ST HELENS AERODROME,09/09/2020,2.2,1.0, ,15.1,3.3,99,44,2.69,16.00
ST HELENS AERODROME,10/09/2020,1.6,0.2, ,14.1,7.3,99,57,2.12,10.37
ST HELENS AERODROME,11/09/2020,2.5,0.0, ,18.7,5.9,99,47,4.00,9.38
ST HELENS AERODROME,12/09/2020,1.1,8.2, ,12.1,8.7,100,68,2.46,3.51
ST HELENS AERODROME,13/09/2020,2.5,17.4, ,15.4,7.8,100,41,3.44,15.44
ST HELENS AERODROME,14/09/2020,3.8,0.0, ,18.5,9.8,70,30,4.23,17.04
ST HELENS AERODROME,15/09/2020,3.1,0.0, ,17.8,9.5,77,51,4.28,16.35
ST HELENS AERODROME,16/09/2020,2.9,0.0, ,16.1,10.3,77,54,5.34,12.88
ST HELENS AERODROME,17/09/2020,2.3,0.0, ,12.8,9.0,90,50,3.73,13.56
ST HELENS AERODROME,18/09/2020,2.3,0.0, ,14.5,3.8,99,54,3.06,17.81
ST HELENS AERODROME,19/09/2020,0.9,0.8, ,15.6,6.9,100,90,1.97,5.20
ST HELENS AERODROME,20/09/2020,1.6,5.8, ,18.3,10.2,100,74,3.47,7.79
ST HELENS AERODROME,21/09/2020,2.1,0.4, ,16.5,10.2,99,58,3.84,9.62
ST HELENS AERODROME,22/09/2020,2.2,0.4, ,15.1,8.4,99,61,4.94,13.28
ST HELENS AERODROME,23/09/2020,2.8,2.4, ,17.0,9.4,87,55,4.22,15.37
ST HELENS AERODROME,24/09/2020,1.8,0.4, ,13.0,6.2,99,64,2.21,13.11
ST HELENS AERODROME,25/09/2020,1.2,0.2, ,12.9,3.3,99,74,1.81,6.72
ST HELENS AERODROME,26/09/2020,2.9,23.0, ,15.8,6.5,96,36,3.92,14.93
ST HELENS AERODROME,27/09/2020,2.9,0.0, ,15.0,4.4,91,38,3.04,19.55
ST HELENS AERODROME,28/09/2020,2.6,0.0, ,15.1,1.8,99,50,3.04,19.71
ST HELENS AERODROME,29/09/2020,2.0,0.0, ,15.6,7.8,99,66,2.78,12.44
ST HELENS AERODROME,30/09/2020,1.9,0.0, ,16.8,8.6,99,60,2.95,8.33
Totals:,,68.6,63.8, ,,,,,, 
