'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/10/2020,3.5,1.4, ,17.6,9.4,83,36,3.81,18.31
ST HELENS AERODROME,02/10/2020,4.3,0.0, ,22.5,11.2,84,47,5.60,19.30
ST HELENS AERODROME,03/10/2020,5.1,0.0, ,24.4,12.2,87,36,5.76,20.19
ST HELENS AERODROME,04/10/2020,2.2,0.8, ,20.5,13.4,99,70,3.71,11.15
ST HELENS AERODROME,05/10/2020,1.6,3.2, ,12.5,7.4,99,73,4.51,10.10
ST HELENS AERODROME,06/10/2020,2.9,2.2, ,14.1,6.2,98,44,2.49,21.19
ST HELENS AERODROME,07/10/2020,2.4,0.2, ,15.4,4.5,99,58,3.21,16.11
ST HELENS AERODROME,08/10/2020,0.7,25.2, ,14.8,10.1,100,91,4.16,2.19
ST HELENS AERODROME,09/10/2020,2.6,52.0, ,18.5,10.6,100,64,2.67,16.41
ST HELENS AERODROME,10/10/2020,2.0,13.4, ,18.3,11.6,99,53,1.96,8.42
ST HELENS AERODROME,11/10/2020,2.5,0.4, ,16.0,6.0,100,53,2.58,15.52
ST HELENS AERODROME,12/10/2020,3.3,0.0, ,18.5,6.5,100,51,3.11,22.35
ST HELENS AERODROME,13/10/2020,3.3,0.0, ,14.6,10.3,97,49,4.76,22.59
ST HELENS AERODROME,14/10/2020,2.9,0.0, ,15.4,4.1,99,52,3.55,20.10
ST HELENS AERODROME,15/10/2020,3.0,0.4, ,20.0,9.8,99,58,4.71,14.45
ST HELENS AERODROME,16/10/2020,3.2,0.4, ,13.9,5.4,91,45,3.58,22.16
ST HELENS AERODROME,17/10/2020,1.0,4.4, ,12.9,6.6,100,87,3.57,5.89
ST HELENS AERODROME,18/10/2020,2.3,32.2, ,14.3,9.2,99,62,3.26,14.45
ST HELENS AERODROME,19/10/2020,2.7,0.2, ,16.0,6.5,100,57,2.61,17.68
ST HELENS AERODROME,20/10/2020,3.5,0.0, ,18.4,7.7,99,55,3.11,24.16
ST HELENS AERODROME,21/10/2020,2.1,0.0, ,16.8,8.5,99,63,2.11,11.21
ST HELENS AERODROME,22/10/2020,2.0,0.0, ,16.4,10.4,99,73,2.57,12.19
ST HELENS AERODROME,23/10/2020,1.5,0.0, ,15.7,8.6,100,77,2.10,7.86
ST HELENS AERODROME,24/10/2020,1.1,5.4, ,13.9,10.8,100,82,2.95,4.88
ST HELENS AERODROME,25/10/2020, ,15.2, , ,6.0,85,47,5.77,24.79
ST HELENS AERODROME,26/10/2020, , , ,15.5, ,85,53,5.01,17.24
ST HELENS AERODROME,27/10/2020,2.1,0.4, ,14.6,8.0,99,59,4.52,9.11
ST HELENS AERODROME,28/10/2020,1.9,2.4, ,15.2,10.1,99,80,3.08,12.40
ST HELENS AERODROME,29/10/2020,3.5,1.4, ,16.4,8.7,100,54,2.16,24.70
ST HELENS AERODROME,30/10/2020,2.6,0.2, ,18.0,8.2,99,62,2.42,15.69
ST HELENS AERODROME,31/10/2020,3.7,0.2, ,22.2,10.9,99,50,2.87,19.95
Totals:,,75.5,161.6, ,,,,,, 
