'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/11/2020,1.9,0.2, ,17.0,12.1,99,80,3.36,10.61
ST HELENS AERODROME,02/11/2020,4.5,0.4, ,22.8,11.4,100,43,3.04,25.36
ST HELENS AERODROME,03/11/2020,5.0,0.0, ,25.4,14.5,98,35,3.97,21.95
ST HELENS AERODROME,04/11/2020,4.0,0.0, ,24.0,15.4,99,52,4.92,16.82
ST HELENS AERODROME,05/11/2020,3.7,4.6, ,15.8,7.5,99,46,3.37,25.46
ST HELENS AERODROME,06/11/2020,3.8,0.2, ,20.5,6.8,100,45,3.60,20.43
ST HELENS AERODROME,07/11/2020,4.1,4.8, ,17.7,5.8,98,34,3.15,25.17
ST HELENS AERODROME,08/11/2020,3.9,0.2, ,17.8,6.4,100,48,2.86,26.95
ST HELENS AERODROME,09/11/2020,3.7,0.0, ,18.8,6.6,99,61,3.67,26.10
ST HELENS AERODROME,10/11/2020,3.6,0.0, ,20.9,12.2,99,66,3.51,21.71
ST HELENS AERODROME,11/11/2020,3.8,0.0, ,21.9,13.9,100,76,3.88,24.66
ST HELENS AERODROME,12/11/2020,4.3,2.0, ,22.9,16.0,100,50,4.20,21.21
ST HELENS AERODROME,13/11/2020,4.7,2.2, ,20.9,14.1,80,50,5.06,22.99
ST HELENS AERODROME,14/11/2020,5.0,0.0, ,21.1,10.1,89,43,3.64,29.07
ST HELENS AERODROME,15/11/2020,3.7,0.0, ,21.6,12.7,98,53,2.25,20.20
ST HELENS AERODROME,16/11/2020,5.7,0.8, ,25.8,14.6,100,36,4.32,26.39
ST HELENS AERODROME,17/11/2020,4.9,0.2, ,21.6,9.9,93,38,3.08,27.72
ST HELENS AERODROME,18/11/2020,5.4,0.0, ,25.0,9.9,99,34,3.30,27.97
ST HELENS AERODROME,19/11/2020,4.6,0.0, ,24.2,11.0,100,35,2.45,23.58
ST HELENS AERODROME,20/11/2020,5.4,0.0, ,25.3,12.6,100,43,4.72,26.21
ST HELENS AERODROME,21/11/2020,3.5,0.0, ,18.1,11.3,88,56,2.54,20.09
ST HELENS AERODROME,22/11/2020,1.7,0.0, ,21.1,13.8,100,82,1.48,8.17
ST HELENS AERODROME,23/11/2020,3.1,0.0, ,18.3,13.9,100,74,4.44,20.36
ST HELENS AERODROME,24/11/2020,2.9,0.0, ,19.8,12.9,99,65,2.54,15.32
ST HELENS AERODROME,25/11/2020,5.0,0.0, ,21.9,12.1,99,50,5.28,28.48
ST HELENS AERODROME,26/11/2020,5.6,0.2, ,21.2,13.4,82,34,3.52,30.60
ST HELENS AERODROME,27/11/2020,3.5,0.4, ,20.1,13.5,98,51,4.10,16.04
ST HELENS AERODROME,28/11/2020,2.3,0.2, ,18.9,14.6,100,52,2.33,9.11
ST HELENS AERODROME,29/11/2020,3.2,26.6, ,20.5,12.9,100,59,3.27,16.03
ST HELENS AERODROME,30/11/2020,4.1,1.2, ,20.0,8.9,100,57,4.05,25.50
Totals:,,120.6,44.2, ,,,,,, 
