'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/12/2020,4.7,0.0, ,25.4,15.3,99,50,5.82,19.20
ST HELENS AERODROME,02/12/2020,6.2,0.0, ,22.6,10.4,75,23,3.79,31.33
ST HELENS AERODROME,03/12/2020,5.1,0.0, ,20.8,8.2,81,40,3.41,29.51
ST HELENS AERODROME,04/12/2020,5.9,0.0, ,24.5,11.2,84,27,3.86,26.60
ST HELENS AERODROME,05/12/2020,2.3,0.0, ,18.2,11.5,100,61,3.42,9.42
ST HELENS AERODROME,06/12/2020,4.7,9.4, ,17.2,12.6,95,39,6.78,26.07
ST HELENS AERODROME,07/12/2020,4.6,2.8, ,20.6,10.0,99,40,3.99,24.66
ST HELENS AERODROME,08/12/2020,4.3,1.6, ,20.6,4.9,97,44,3.52,24.89
ST HELENS AERODROME,09/12/2020,6.2,0.0, ,26.3,11.9,83,41,4.17,30.50
ST HELENS AERODROME,10/12/2020, ,0.0, , ,10.8,86,32,4.00,29.76
ST HELENS AERODROME,11/12/2020, , , ,18.3, ,99,51,2.60,25.43
ST HELENS AERODROME,12/12/2020,4.6,0.0, ,19.5,10.7,90,58,3.20,30.11
ST HELENS AERODROME,13/12/2020,3.6,0.0, ,20.4,14.1,97,58,3.93,18.82
ST HELENS AERODROME,14/12/2020,3.5,2.2, ,21.6,15.5,100,78,3.99,21.76
ST HELENS AERODROME,15/12/2020,4.7,0.2, ,27.5,16.5,99,49,5.32,16.58
ST HELENS AERODROME,16/12/2020,1.9,0.2, ,15.9,12.3,100,67,6.25,6.89
ST HELENS AERODROME,17/12/2020,3.7,7.6, ,20.0,11.3,100,72,3.40,24.41
ST HELENS AERODROME,18/12/2020,1.6,0.2, ,17.1,15.1,100,92,3.00,9.67
ST HELENS AERODROME,19/12/2020,3.8,35.8, ,18.1,8.5,100,54,2.97,24.43
ST HELENS AERODROME,20/12/2020,2.3,16.0, ,17.1,10.7,100,65,3.09,11.16
ST HELENS AERODROME,21/12/2020,2.9,3.2, ,18.4,10.0,100,63,2.43,17.06
ST HELENS AERODROME,22/12/2020,1.3,58.6, ,17.4,13.1,100,81,3.09,5.21
ST HELENS AERODROME,23/12/2020,3.6,21.4, ,20.8,12.1,100,68,2.33,22.27
ST HELENS AERODROME,24/12/2020,3.4,1.2, ,18.4,11.3,100,58,2.75,20.48
ST HELENS AERODROME,25/12/2020,4.4,0.2, ,17.2,6.9,88,45,2.71,29.56
ST HELENS AERODROME,26/12/2020,3.5,0.0, ,19.6,11.6,100,52,4.20,17.17
ST HELENS AERODROME,27/12/2020,2.6,3.8, ,22.6,14.7,100,75,4.75,12.47
ST HELENS AERODROME,28/12/2020,4.1,1.6, ,17.2,9.3,99,45,3.67,26.19
ST HELENS AERODROME,29/12/2020,5.5,0.0, ,23.9,8.1,98,40,3.21,31.58
ST HELENS AERODROME,30/12/2020,4.0,0.0, ,22.5,12.4,99,59,2.53,22.15
ST HELENS AERODROME,31/12/2020,2.7,0.0, ,18.5,12.6,99,73,4.38,15.57
Totals:,,111.7,166, ,,,,,, 
