'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/01/2021,2.2,7.4, ,18.4,13.1,100,67,3.13,9.92
ST HELENS AERODROME,02/01/2021,3.5,1.0, ,19.8,11.9,99,58,2.55,19.83
ST HELENS AERODROME,03/01/2021,2.2,0.0, ,20.2,14.6,100,60,2.30,8.94
ST HELENS AERODROME,04/01/2021,0.8,26.0, ,15.9,13.1,100,99,4.50,4.83
ST HELENS AERODROME,05/01/2021,3.0,15.0, ,19.9,13.7,100,73,3.79,17.57
ST HELENS AERODROME,06/01/2021,3.4,0.8, ,20.2,10.7,100,66,4.25,19.84
ST HELENS AERODROME,07/01/2021,4.2,0.0, ,19.5,9.9,86,58,2.32,26.87
ST HELENS AERODROME,08/01/2021,4.7,0.0, ,22.3,12.3,100,61,2.77,29.15
ST HELENS AERODROME,09/01/2021,5.9,0.0, ,27.0,14.5,100,48,3.56,31.05
ST HELENS AERODROME,10/01/2021,3.9,0.0, ,21.3,15.9,99,71,3.19,23.74
ST HELENS AERODROME,11/01/2021,6.0,0.0, ,28.7,14.0,100,41,3.25,28.70
ST HELENS AERODROME,12/01/2021,6.3,0.4, ,27.1,18.0,87,34,3.69,28.24
ST HELENS AERODROME,13/01/2021,1.6,0.0, ,20.6,14.6,100,70,1.57,5.79
ST HELENS AERODROME,14/01/2021, ,0.0, , ,15.1,100,51,3.36,27.42
ST HELENS AERODROME,15/01/2021, , , ,18.5, ,99,52,2.79,14.82
ST HELENS AERODROME,16/01/2021,5.1,1.6, ,22.4,10.8,75,28,4.03,20.58
ST HELENS AERODROME,17/01/2021,3.8,0.0, ,22.1,7.6,87,41,3.20,16.29
ST HELENS AERODROME,18/01/2021,6.1,0.0, ,26.0,12.4,74,30,4.48,24.00
ST HELENS AERODROME,19/01/2021,5.2,0.0, ,20.1,8.8,90,29,3.51,29.91
ST HELENS AERODROME,20/01/2021,4.5,0.0, ,19.7,7.4,96,50,2.59,30.25
ST HELENS AERODROME,21/01/2021,5.9,0.0, ,26.6,10.4,99,22,3.17,27.46
ST HELENS AERODROME,22/01/2021,4.9,0.0, ,27.6,15.0,94,35,3.13,18.74
ST HELENS AERODROME,23/01/2021,5.4,0.0, ,26.8,14.7,100,48,2.55,28.64
ST HELENS AERODROME,24/01/2021,4.3,0.0, ,24.4,15.1,100,67,2.57,24.86
ST HELENS AERODROME,25/01/2021,7.0,0.0, ,36.0,15.1,100,21,3.54,21.46
ST HELENS AERODROME,26/01/2021,2.0,4.2, ,20.2,16.7,100,59,3.01,5.76
ST HELENS AERODROME,27/01/2021,4.6,4.6, ,18.3,9.0,77,47,4.68,27.75
ST HELENS AERODROME,28/01/2021,2.9,0.0, ,17.2,13.1,69,55,3.75,9.39
ST HELENS AERODROME,29/01/2021,2.6,0.0, ,20.0,13.7,100,57,6.60,5.82
ST HELENS AERODROME,30/01/2021,5.2,46.4, ,26.6,16.0,100,55,4.15,26.56
ST HELENS AERODROME,31/01/2021,3.5,0.0, ,19.7,15.4,84,54,3.35,16.51
Totals:,,120.7,107.4, ,,,,,, 
