'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/02/2021,1.5,0.8, ,21.2,15.6,100,84,2.99,6.00
ST HELENS AERODROME,02/02/2021,3.0,5.4, ,18.7,11.9,99,55,3.31,15.36
ST HELENS AERODROME,03/02/2021,2.9,0.0, ,18.3,13.0,100,58,5.66,13.74
ST HELENS AERODROME,04/02/2021,3.5,5.4, ,23.8,13.1,100,70,2.99,20.17
ST HELENS AERODROME,05/02/2021,0.5,3.0, ,21.3,13.7,100,100,4.16,1.27
ST HELENS AERODROME,06/02/2021,5.0,25.2, ,24.5,18.4,100,51,6.43,24.34
ST HELENS AERODROME,07/02/2021,3.8,0.2, ,22.2,14.5,99,57,3.35,20.10
ST HELENS AERODROME,08/02/2021,2.7,0.0, ,19.2,12.2,99,63,3.16,13.70
ST HELENS AERODROME,09/02/2021,3.4,0.0, ,18.0,10.7,74,57,3.99,16.72
ST HELENS AERODROME,10/02/2021,3.8,0.2, ,17.8,12.3,99,50,2.63,24.43
ST HELENS AERODROME,11/02/2021,2.8,0.0, ,20.5,9.1,100,64,3.12,15.38
ST HELENS AERODROME,12/02/2021,4.8,13.2, ,22.9,14.3,100,50,5.87,26.45
ST HELENS AERODROME,13/02/2021,3.5,0.0, ,21.2,12.3,89,49,2.21,18.64
ST HELENS AERODROME,14/02/2021,3.8,0.0, ,22.3,13.1,100,67,3.28,23.63
ST HELENS AERODROME,15/02/2021,1.7,4.4, ,19.3,14.0,100,86,3.07,9.58
ST HELENS AERODROME,16/02/2021,3.7,0.8, ,21.2,15.0,100,55,2.22,22.05
ST HELENS AERODROME,17/02/2021,3.3,0.2, ,22.0,13.7,100,60,3.61,16.97
ST HELENS AERODROME,18/02/2021,3.6,0.0, ,22.4,16.9,99,61,3.60,19.59
ST HELENS AERODROME,19/02/2021,3.0,0.0, ,23.1,18.4,100,80,4.65,17.66
ST HELENS AERODROME,20/02/2021,4.2,0.0, ,31.3,17.4,100,40,2.87,14.11
ST HELENS AERODROME,21/02/2021,4.2,0.0, ,27.9,16.2,100,64,1.75,22.88
ST HELENS AERODROME,22/02/2021,4.6,0.0, ,24.8,13.1,100,33,3.02,22.12
ST HELENS AERODROME,23/02/2021,3.5,0.4, ,18.6,8.6,93,39,2.80,20.01
ST HELENS AERODROME,24/02/2021,3.7,0.0, ,20.7,8.5,100,43,3.39,20.79
ST HELENS AERODROME,25/02/2021,2.9,0.0, ,19.2,12.3,84,56,4.31,11.67
ST HELENS AERODROME,26/02/2021,3.3,0.0, ,21.5,8.7,94,44,3.36,14.68
ST HELENS AERODROME,27/02/2021,2.5,0.0, ,18.9,10.5,99,60,2.52,13.64
ST HELENS AERODROME,28/02/2021,3.4,0.0, ,21.1,11.8,100,57,2.26,21.35
Totals:,,92.6,59.2, ,,,,,, 
