'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/03/2021,3.5,0.0, ,23.2,12.9,100,46,3.30,15.63
ST HELENS AERODROME,02/03/2021,4.6,0.0, ,19.8,11.8,74,33,4.75,21.19
ST HELENS AERODROME,03/03/2021,3.5, , ,20.8,6.5,86,40,2.85,18.07
ST HELENS AERODROME,04/03/2021,4.1,0.0, ,24.9,12.3,93,47,3.59,19.15
ST HELENS AERODROME,05/03/2021,4.7,0.0, ,20.6,10.4,66,33,4.71,20.54
ST HELENS AERODROME,06/03/2021,3.1,0.0, ,18.6,9.7,82,48,2.48,18.07
ST HELENS AERODROME,07/03/2021,3.6,0.0, ,22.9,10.8,99,47,2.98,19.58
ST HELENS AERODROME,08/03/2021,1.8,0.0, ,20.1,13.0,99,65,1.37,8.61
ST HELENS AERODROME,09/03/2021,2.7,0.0, ,20.2,11.6,100,57,2.55,14.75
ST HELENS AERODROME,10/03/2021,2.4,0.2, ,19.8,11.8,100,54,1.90,13.29
ST HELENS AERODROME,11/03/2021,3.0,0.0, ,22.7,12.6,100,67,2.25,18.48
ST HELENS AERODROME,12/03/2021,2.2,0.0, ,23.7,14.6,100,83,3.19,13.35
ST HELENS AERODROME,13/03/2021,3.3,0.0, ,25.8,18.1,100,48,3.70,11.70
ST HELENS AERODROME,14/03/2021,3.8,0.2, ,19.4,9.0,71,33,3.33,18.12
ST HELENS AERODROME,15/03/2021,3.9,0.0, ,24.6,11.0,81,50,4.03,16.54
ST HELENS AERODROME,16/03/2021,2.5,0.0, ,19.2,13.0,81,63,2.80,12.23
ST HELENS AERODROME,17/03/2021,2.7,0.0, ,19.8,12.9,78,52,2.93,10.36
ST HELENS AERODROME,18/03/2021,2.3,0.0, ,20.4,15.0,98,63,3.80,9.96
ST HELENS AERODROME,19/03/2021,2.2,0.0, ,20.2,15.8,95,62,3.39,8.42
ST HELENS AERODROME,20/03/2021,2.4,0.0, ,20.6,14.4,98,63,3.86,11.07
ST HELENS AERODROME,21/03/2021,1.9,0.0, ,21.1,16.6,99,76,4.87,8.01
ST HELENS AERODROME,22/03/2021,2.4,0.0, ,21.8,17.0,100,69,4.93,11.75
ST HELENS AERODROME,23/03/2021,1.0,1.8, ,20.6,15.9,100,95,4.90,5.67
ST HELENS AERODROME,24/03/2021,0.3,14.2, ,18.1,16.5,100,100,4.61,0.23
ST HELENS AERODROME,25/03/2021,2.4,57.2, ,22.1,16.0,100,64,3.05,12.76
ST HELENS AERODROME,26/03/2021,3.0,0.2, ,21.9,8.4,100,48,3.11,16.84
ST HELENS AERODROME,27/03/2021,1.8,3.6, ,19.6,11.1,100,63,2.86,7.97
ST HELENS AERODROME,28/03/2021,2.8,8.6, ,21.7,10.3,99,46,2.74,14.07
ST HELENS AERODROME,29/03/2021,3.2,0.0, ,19.0,11.3,98,36,3.94,15.91
ST HELENS AERODROME,30/03/2021, ,0.0, , ,8.8,100,39,2.02,15.50
ST HELENS AERODROME,31/03/2021, ,0.2, , , ,100,62,2.40,15.11
Totals:,,81.1,86.2, ,,,,,, 
