'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/04/2021, ,0.0, , , ,100,37,3.34,12.90
ST HELENS AERODROME,02/04/2021, ,0.0, , , ,100,76,3.15,8.55
ST HELENS AERODROME,03/04/2021, ,0.0, , , ,100,39,3.70,15.58
ST HELENS AERODROME,04/04/2021, ,0.0, , , ,100,49,2.02,15.35
ST HELENS AERODROME,05/04/2021, ,0.0, , , ,100,61,2.67,14.85
ST HELENS AERODROME,06/04/2021,2.1,0.2, ,20.8,9.6,100,68,2.12,14.95
ST HELENS AERODROME,07/04/2021,2.1,0.0, ,21.0,9.7,100,74,3.09,14.69
ST HELENS AERODROME,08/04/2021,2.1,0.0, ,14.9,12.9,100,57,3.88,13.89
ST HELENS AERODROME,09/04/2021,2.5,0.0, ,18.5,14.2,99,39,2.87,14.22
ST HELENS AERODROME,10/04/2021,2.5,0.0, ,18.6,6.4,99,41,3.47,11.49
ST HELENS AERODROME,11/04/2021,2.4,0.4, ,15.3,4.8,99,41,4.25,13.19
ST HELENS AERODROME,12/04/2021,1.8,0.0, ,16.1,7.9,100,56,3.07,10.66
ST HELENS AERODROME,13/04/2021,1.8,0.0, ,18.1,5.7,100,62,3.76,9.15
ST HELENS AERODROME,14/04/2021,2.4,0.8, ,18.3,10.0,99,57,6.00,12.71
ST HELENS AERODROME,15/04/2021,3.0,0.2, ,18.0,10.9,75,34,3.88,12.81
ST HELENS AERODROME,16/04/2021,2.1,0.0, ,16.7,2.8,100,38,2.45,13.14
ST HELENS AERODROME,17/04/2021,2.0,0.0, ,18.9,5.5,99,51,2.71,12.70
ST HELENS AERODROME,18/04/2021,2.2,0.0, ,21.8,7.5,100,47,2.38,12.73
ST HELENS AERODROME,19/04/2021,2.3,0.0, ,18.0,9.9,93,54,4.71,12.50
ST HELENS AERODROME,20/04/2021,1.1,2.6, ,15.5,13.2,100,74,3.97,4.21
ST HELENS AERODROME,21/04/2021,1.9,11.8, ,14.9,3.7,99,43,3.25,11.96
ST HELENS AERODROME,22/04/2021,2.1,0.0, ,17.3,7.3,98,50,3.85,11.74
ST HELENS AERODROME,23/04/2021,1.9,0.0, ,17.0,7.7,89,49,2.56,11.57
ST HELENS AERODROME,24/04/2021,1.6,0.0, ,19.0,6.6,99,53,2.42,6.39
ST HELENS AERODROME,25/04/2021,1.8,0.0, ,18.1,5.9,99,50,2.46,11.13
ST HELENS AERODROME,26/04/2021,1.9,0.0, ,21.2,7.9,100,49,2.32,10.94
ST HELENS AERODROME,27/04/2021,1.3,0.2, ,16.6,6.2,100,65,2.22,10.88
ST HELENS AERODROME,28/04/2021,1.4,0.0, ,18.2,6.9,100,62,2.03,10.86
ST HELENS AERODROME,29/04/2021,1.5,0.0, ,20.1,8.1,100,59,2.18,8.88
ST HELENS AERODROME,30/04/2021,1.5,0.2, ,19.4,8.4,100,66,2.48,10.94
Totals:,,49.3,16.4, ,,,,,, 
