'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/05/2021,1.0,0.2, ,19.6,7.9,100,88,2.98,9.68
ST HELENS AERODROME,02/05/2021,1.3,0.0, ,19.6,8.4,100,73,2.67,10.05
ST HELENS AERODROME,03/05/2021,1.8,0.8, ,19.9,10.2,100,58,3.80,9.17
ST HELENS AERODROME,04/05/2021,1.2,2.2, ,14.6,8.1,100,59,2.24,10.42
ST HELENS AERODROME,05/05/2021,1.4,0.2, ,16.6,5.4,100,55,2.37,10.30
ST HELENS AERODROME,06/05/2021,0.4,0.0, ,16.1,7.2,100,100,1.81,2.01
ST HELENS AERODROME,07/05/2021,0.6,5.6, ,18.6,10.1,100,100,2.33,5.38
ST HELENS AERODROME,08/05/2021,1.5,0.8, ,19.6,12.9,100,61,3.12,9.49
ST HELENS AERODROME,09/05/2021,1.4,0.2, ,16.2,5.2,100,64,3.89,7.54
ST HELENS AERODROME,10/05/2021,1.4,0.0, ,17.2,8.2,100,72,5.99,5.08
ST HELENS AERODROME,11/05/2021,1.3,14.0, ,12.4,7.6,99,56,4.02,5.65
ST HELENS AERODROME,12/05/2021,1.0,1.0, ,15.4,8.1,100,57,1.52,4.90
ST HELENS AERODROME,13/05/2021,1.1,14.4, ,16.3,9.4,100,73,3.81,4.60
ST HELENS AERODROME,14/05/2021,1.4,0.0, ,14.7,5.4,99,45,2.66,9.21
ST HELENS AERODROME,15/05/2021,1.2,0.0, ,13.6,3.9,100,52,2.58,9.19
ST HELENS AERODROME,16/05/2021,1.3,0.0, ,15.2,4.4,99,57,3.00,4.77
ST HELENS AERODROME,17/05/2021,1.2,0.0, ,14.2,2.4,100,46,2.38,8.95
ST HELENS AERODROME,18/05/2021,1.3,0.2, ,17.1,2.1,100,57,3.05,8.90
ST HELENS AERODROME,19/05/2021,1.4,0.0, ,16.8,4.9,100,60,3.64,6.15
ST HELENS AERODROME,20/05/2021,2.0,0.0, ,18.9,13.4,90,51,4.27,6.25
ST HELENS AERODROME,21/05/2021,1.2,0.0, ,16.4,1.9,100,53,2.43,8.46
ST HELENS AERODROME,22/05/2021,1.5,0.0, ,15.9,5.5,99,49,3.69,8.58
ST HELENS AERODROME,23/05/2021,1.0,0.0, ,16.7,4.3,100,62,2.23,8.33
ST HELENS AERODROME,24/05/2021,0.5,0.2, ,16.7,5.9,100,96,2.50,5.21
ST HELENS AERODROME,25/05/2021,0.6,2.0, ,18.2,9.6,100,93,3.54,6.24
ST HELENS AERODROME,26/05/2021,1.5,6.8, ,16.7,10.8,100,52,3.82,7.94
ST HELENS AERODROME,27/05/2021,1.2,0.0, ,14.8,7.1,100,53,2.98,7.84
ST HELENS AERODROME,28/05/2021,1.3,0.0, ,11.9,5.4,78,54,3.48,7.70
ST HELENS AERODROME,29/05/2021,0.9,0.0, ,12.6,4.7,100,61,2.73,6.86
ST HELENS AERODROME,30/05/2021,1.0,0.0, ,14.8,2.5,100,60,2.62,7.70
ST HELENS AERODROME,31/05/2021,0.9,0.0, ,14.4,2.5,100,67,2.90,8.02
Totals:,,36.8,48.6, ,,,,,, 
