'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/06/2021,0.9,0.0, ,15.2,5.4,99,71,2.65,3.23
ST HELENS AERODROME,02/06/2021,0.9,0.0, ,17.1,5.9,100,60,2.03,6.25
ST HELENS AERODROME,03/06/2021,0.9,0.0, ,17.5,8.4,100,70,3.08,7.74
ST HELENS AERODROME,04/06/2021,1.2,0.0, ,13.0,10.2,99,41,3.17,7.80
ST HELENS AERODROME,05/06/2021,0.9,0.0, ,13.7,1.4,100,75,4.02,2.51
ST HELENS AERODROME,06/06/2021,0.9,0.0, ,14.6,3.6,100,66,2.74,6.28
ST HELENS AERODROME,07/06/2021,1.3,2.4, ,16.5,5.8,100,69,6.07,6.04
ST HELENS AERODROME,08/06/2021,0.8,0.0, ,15.0,11.4,100,70,3.04,5.53
ST HELENS AERODROME,09/06/2021,0.9,0.0, ,14.2,9.1,100,81,7.75,4.14
ST HELENS AERODROME,10/06/2021,0.3,14.6, ,14.3,11.4,100,100,7.01,1.70
ST HELENS AERODROME,11/06/2021,0.3,15.2, ,14.4,10.9,100,100,4.65,2.61
ST HELENS AERODROME,12/06/2021,0.3,21.2, ,15.0,10.1,100,100,2.13,4.90
ST HELENS AERODROME,13/06/2021,0.4,2.2, ,16.3,11.6,100,96,2.16,4.88
ST HELENS AERODROME,14/06/2021,0.4,0.0, ,13.8,8.9,100,89,0.89,4.51
ST HELENS AERODROME,15/06/2021,0.4,0.0, ,13.6,10.0,100,99,1.05,4.14
ST HELENS AERODROME,16/06/2021,0.3,9.4, ,13.2,8.0,100,100,1.27,4.97
ST HELENS AERODROME,17/06/2021,0.3,32.6, ,14.1,6.6,100,96,2.21,5.12
ST HELENS AERODROME,18/06/2021,0.6,37.4, ,13.7,7.6,100,84,4.62,4.54
ST HELENS AERODROME,19/06/2021,0.4,2.0, ,13.3,9.2,100,95,3.20,4.46
ST HELENS AERODROME,20/06/2021,0.4,0.0, ,13.3,3.4,100,80,1.89,7.18
ST HELENS AERODROME,21/06/2021,0.5,0.2, ,14.4,3.3,100,82,1.90,6.50
ST HELENS AERODROME,22/06/2021,0.4,0.0, ,13.9,4.3,100,90,1.91,6.73
ST HELENS AERODROME,23/06/2021,0.3,0.0, ,12.1,6.4,100,99,1.80,2.21
ST HELENS AERODROME,24/06/2021,0.5,0.8, ,15.6,7.1,100,88,2.39,5.99
ST HELENS AERODROME,25/06/2021,0.3,1.8, ,13.8,5.3,100,96,2.24,5.33
ST HELENS AERODROME,26/06/2021,0.7,0.2, ,14.3,5.0,100,72,3.14,7.65
ST HELENS AERODROME,27/06/2021,0.7,0.0, ,13.9,6.9,100,64,2.57,7.63
ST HELENS AERODROME,28/06/2021,0.4,0.2, ,14.1,2.8,100,87,3.07,7.70
ST HELENS AERODROME,29/06/2021,0.4,0.4, ,14.6,2.3,100,91,1.83,6.25
ST HELENS AERODROME,30/06/2021,0.5,0.0, ,16.0,5.1,100,82,2.23,7.21
Totals:,,17.5,140.6, ,,,,,, 
