'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/07/2021,0.5,0.4, ,16.8,6.2,100,86,2.43,7.79
ST HELENS AERODROME,02/07/2021,0.4,0.2, ,16.3,3.6,100,90,2.06,6.61
ST HELENS AERODROME,03/07/2021,0.5,0.2, ,13.3,5.3,100,83,2.74,7.77
ST HELENS AERODROME,04/07/2021,0.2,0.4, ,12.3,3.8,100,99,2.87,6.92
ST HELENS AERODROME,05/07/2021,0.4,0.2, ,13.5,3.5,100,86,2.30,7.94
ST HELENS AERODROME,06/07/2021, ,0.2, , ,3.1,100,43,2.27,7.54
ST HELENS AERODROME,07/07/2021,0.6, , ,9.6,4.1,97,56,1.63,6.62
ST HELENS AERODROME,08/07/2021,0.9,0.2, ,10.2,0.1,97,52,2.60,7.68
ST HELENS AERODROME,09/07/2021,0.7,0.0, ,11.0,1.1,96,74,2.89,5.98
ST HELENS AERODROME,10/07/2021,0.8,0.0, ,14.8,3.1,98,66,2.35,8.17
ST HELENS AERODROME,11/07/2021,1.0,0.4, ,14.5,2.4,98,63,3.06,8.15
ST HELENS AERODROME,12/07/2021,0.8,0.2, ,15.0,4.1,99,69,2.31,6.59
ST HELENS AERODROME,13/07/2021,1.0,0.8, ,14.3,6.9,97,66,3.79,7.97
ST HELENS AERODROME,14/07/2021,0.7,0.0, ,13.0,8.8,97,75,1.97,4.66
ST HELENS AERODROME,15/07/2021,0.6,1.0, ,14.4,6.5,99,80,2.23,5.05
ST HELENS AERODROME,16/07/2021,0.8,1.6, ,13.9,8.0,97,73,2.81,6.61
ST HELENS AERODROME,17/07/2021,0.9,0.4, ,14.2,4.0,98,60,2.20,7.05
ST HELENS AERODROME,18/07/2021,1.2,0.0, ,15.2,3.5,96,43,2.25,8.43
ST HELENS AERODROME,19/07/2021,1.2,0.0, ,13.8,5.2,88,64,3.44,6.47
ST HELENS AERODROME,20/07/2021,1.3,1.0, ,12.7,9.2,89,58,3.69,4.54
ST HELENS AERODROME,21/07/2021,1.2,0.4, ,14.7,1.2,91,52,2.55,8.94
ST HELENS AERODROME,22/07/2021,1.1,0.0, ,13.7,3.7,93,58,2.83,8.29
ST HELENS AERODROME,23/07/2021,1.0,0.0, ,13.1,6.3,97,58,2.44,7.91
ST HELENS AERODROME,24/07/2021,1.1,0.4, ,12.7,3.2,98,65,4.09,6.68
ST HELENS AERODROME,25/07/2021, ,5.4, , ,5.7,91,49,3.77,9.29
ST HELENS AERODROME,26/07/2021, , , , , ,95,65,4.10,6.89
ST HELENS AERODROME,27/07/2021,1.5, , ,15.3,4.1,90,61,4.38,7.33
ST HELENS AERODROME,28/07/2021,1.8,4.4, ,13.2,10.0,89,59,6.87,7.73
ST HELENS AERODROME,29/07/2021,1.6,2.6, ,15.2,6.6,92,43,3.13,9.70
ST HELENS AERODROME,30/07/2021,1.4,0.2, ,14.5,4.3,96,57,3.56,7.47
ST HELENS AERODROME,31/07/2021,1.4,0.6, ,16.1,6.8,93,60,3.48,9.71
Totals:,,26.6,21.2, ,,,,,, 
