'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/08/2021,1.6,0.2, ,13.7,9.1,93,43,3.49,10.02
ST HELENS AERODROME,02/08/2021,1.1,0.0, ,13.5,1.8,97,60,2.38,8.60
ST HELENS AERODROME,03/08/2021,1.1,0.4, ,13.8,4.2,98,58,2.34,6.96
ST HELENS AERODROME,04/08/2021, ,0.4, , ,5.6,90,46,3.09,9.69
ST HELENS AERODROME,05/08/2021, , , ,15.0, ,97,53,2.41,9.72
ST HELENS AERODROME,06/08/2021,1.5,0.0, ,16.1,5.7,95,58,3.27,9.47
ST HELENS AERODROME,07/08/2021,1.8,0.0, ,16.3,6.4,94,45,3.49,9.24
ST HELENS AERODROME,08/08/2021,1.5,0.4, ,13.9,0.3,95,51,3.23,9.92
ST HELENS AERODROME,09/08/2021,1.3,0.0, ,14.3,2.7,96,58,2.49,7.83
ST HELENS AERODROME,10/08/2021,1.7,0.0, ,15.7,5.7,96,55,4.47,7.24
ST HELENS AERODROME,11/08/2021,1.9,1.6, ,13.6,11.0,92,53,6.13,4.12
ST HELENS AERODROME,12/08/2021,2.4,5.4, ,15.1,9.6,70,50,4.83,11.38
ST HELENS AERODROME,13/08/2021,2.2,0.0, ,15.5,9.1,85,52,5.04,9.50
ST HELENS AERODROME,14/08/2021,1.8,0.0, ,16.0,4.2,89,56,3.90,11.04
ST HELENS AERODROME,15/08/2021,2.2,1.0, ,14.8,8.4,86,55,6.91,6.12
ST HELENS AERODROME,16/08/2021,2.7,1.2, ,14.4,6.9,69,36,4.78,11.53
ST HELENS AERODROME,17/08/2021,1.9,0.0, ,14.1,1.6,94,38,2.91,11.67
ST HELENS AERODROME,18/08/2021,1.9,0.0, ,15.6,1.2,97,47,3.36,11.08
ST HELENS AERODROME,19/08/2021,1.6,0.2, ,15.9,2.7,95,46,2.04,12.31
ST HELENS AERODROME,20/08/2021,1.5,0.2, ,15.5,3.7,98,63,3.42,10.11
ST HELENS AERODROME,21/08/2021,1.8,1.8, ,15.0,7.9,95,57,4.98,6.82
ST HELENS AERODROME,22/08/2021,2.3,0.2, ,16.7,11.4,84,53,4.77,8.54
ST HELENS AERODROME,23/08/2021,2.1,2.0, ,16.9,9.5,89,53,4.08,7.71
ST HELENS AERODROME,24/08/2021,1.6,3.0, ,11.6,3.2,91,44,2.63,11.42
ST HELENS AERODROME,25/08/2021,2.2,0.0, ,12.0,4.6,75,54,6.34,8.26
ST HELENS AERODROME,26/08/2021,1.7,0.2, ,12.1,7.4,91,59,5.13,8.63
ST HELENS AERODROME,27/08/2021,1.3,2.2, ,11.3,7.9,97,62,3.90,5.00
ST HELENS AERODROME,28/08/2021,1.2,0.8, ,11.7,6.7,97,69,1.90,9.41
ST HELENS AERODROME,29/08/2021,0.9,1.6, ,11.6,6.1,97,74,1.34,4.89
ST HELENS AERODROME,30/08/2021,1.7,3.6, ,15.6,4.4,98,55,2.66,10.54
ST HELENS AERODROME,31/08/2021,2.7,0.0, ,16.7,9.1,82,48,5.54,9.37
Totals:,,51.2,26.4, ,,,,,, 
