'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/09/2021,2.8,0.4, ,17.9,7.8,83,40,3.79,14.45
ST HELENS AERODROME,02/09/2021,3.0,0.0, ,22.4,6.6,96,41,3.52,14.67
ST HELENS AERODROME,03/09/2021,2.0,0.0, ,20.2,8.9,98,55,3.19,7.05
ST HELENS AERODROME,04/09/2021,1.8,10.4, ,13.1,9.7,97,55,2.96,11.21
ST HELENS AERODROME,05/09/2021,1.9,0.2, ,13.2,6.9,93,52,2.88,12.93
ST HELENS AERODROME,06/09/2021,3.4,0.0, ,16.8,6.5,68,29,4.33,14.82
ST HELENS AERODROME,07/09/2021,2.9,0.0, ,18.5,9.2,79,31,2.95,14.26
ST HELENS AERODROME,08/09/2021,2.6,0.0, ,17.3,2.8,93,52,5.16,14.34
ST HELENS AERODROME,09/09/2021, ,0.0, , ,11.4,80,50,7.83,13.46
ST HELENS AERODROME,10/09/2021, , , ,14.6, ,74,39,2.95,13.46
ST HELENS AERODROME,11/09/2021,3.5,0.0, ,19.4,8.6,88,43,5.68,15.94
ST HELENS AERODROME,12/09/2021,3.1,1.0, ,16.6,7.2,81,31,3.70,14.66
ST HELENS AERODROME,13/09/2021,2.3,0.0, ,12.8,4.8,83,50,4.04,12.78
ST HELENS AERODROME,14/09/2021,1.8,0.0, ,13.3,2.7,94,59,1.97,13.70
ST HELENS AERODROME,15/09/2021,1.5,0.0, ,13.4,6.5,93,50,1.34,8.12
ST HELENS AERODROME,16/09/2021,1.7,0.0, ,14.0,7.3,94,55,2.25,9.43
ST HELENS AERODROME,17/09/2021,1.5,0.2, ,14.3,2.1,97,67,2.95,8.84
ST HELENS AERODROME,18/09/2021,2.8,1.0, ,14.5,7.9,93,47,5.55,17.12
ST HELENS AERODROME,19/09/2021,2.5,0.0, ,15.3,7.8,90,60,6.97,13.53
ST HELENS AERODROME,20/09/2021,3.7,2.0, ,15.3,9.2,76,29,5.13,18.15
ST HELENS AERODROME,21/09/2021,2.9,0.0, ,14.6,6.1,75,40,3.48,16.50
ST HELENS AERODROME,22/09/2021,4.2,0.0, ,25.2,6.6,89,36,3.79,18.61
ST HELENS AERODROME,23/09/2021,3.5,0.0, ,17.0,11.3,72,52,6.34,14.77
ST HELENS AERODROME,24/09/2021,3.2,0.0, ,15.0,10.0,85,43,5.87,15.46
ST HELENS AERODROME,25/09/2021,3.3,0.4, ,14.7,3.1,64,27,3.80,16.63
ST HELENS AERODROME,26/09/2021,2.9,0.0, ,14.5,1.3,85,41,3.89,19.41
ST HELENS AERODROME,27/09/2021,2.9,0.0, ,17.2,2.7,94,40,3.09,16.29
ST HELENS AERODROME,28/09/2021,3.4,0.0, ,20.2,3.7,97,31,2.59,19.25
ST HELENS AERODROME,29/09/2021,1.4,0.0, ,13.0,7.7,92,69,3.67,4.97
ST HELENS AERODROME,30/09/2021,1.4,1.6, ,14.4,10.2,98,68,4.24,3.50
Totals:,,73.9,17.2, ,,,,,, 
