'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/10/2021,0.9,14.2, ,15.4,10.6,99,97,2.85,5.90
ST HELENS AERODROME,02/10/2021,1.0,21.4, ,14.3,12.5,99,89,3.94,5.57
ST HELENS AERODROME,03/10/2021,2.1,1.2, ,17.6,9.6,98,68,1.79,13.07
ST HELENS AERODROME,04/10/2021,2.8,0.2, ,17.7,10.1,97,54,3.60,15.79
ST HELENS AERODROME,05/10/2021,2.1,0.0, ,16.5,8.5,98,68,1.79,13.52
ST HELENS AERODROME,06/10/2021,3.4,2.0, ,18.9,7.6,94,46,3.28,21.38
ST HELENS AERODROME,07/10/2021,3.6,10.8, ,17.8,8.2,97,29,3.78,19.05
ST HELENS AERODROME,08/10/2021,3.0,0.0, ,17.9,6.5,88,55,4.30,17.21
ST HELENS AERODROME,09/10/2021,4.5,0.0, ,19.9,10.9,86,34,5.08,22.17
ST HELENS AERODROME,10/10/2021,3.0,1.0, ,15.2,7.4,92,43,2.86,19.23
ST HELENS AERODROME,11/10/2021,2.5,0.8, ,13.8,3.9,97,49,1.94,18.74
ST HELENS AERODROME,12/10/2021,2.5,1.4, ,13.9,5.9,96,54,2.37,17.08
ST HELENS AERODROME,13/10/2021,2.2,0.0, ,15.0,8.3,93,58,5.02,8.25
ST HELENS AERODROME,14/10/2021,1.2,8.0, ,14.3,11.0,98,81,5.68,3.72
ST HELENS AERODROME,15/10/2021,3.3,33.4, ,18.1,12.1,99,56,3.73,21.14
ST HELENS AERODROME,16/10/2021,3.4,1.4, ,19.2,9.1,92,41,4.57,13.06
ST HELENS AERODROME,17/10/2021,3.9,0.0, ,19.9,4.6,89,47,4.01,23.56
ST HELENS AERODROME,18/10/2021,3.4,0.0, ,18.8,8.9,97,46,3.72,18.07
ST HELENS AERODROME,19/10/2021,2.7,17.8, ,14.2,8.9,96,55,5.22,16.46
ST HELENS AERODROME,20/10/2021,2.1,1.2, ,15.0,3.8,97,60,3.07,11.14
ST HELENS AERODROME,21/10/2021,2.2,0.2, ,17.9,9.2,95,78,3.65,13.56
ST HELENS AERODROME,22/10/2021,1.7,0.0, ,16.4,14.2,93,78,3.57,7.47
ST HELENS AERODROME,23/10/2021,1.0,8.2, ,14.5,13.3,98,90,3.89,4.83
ST HELENS AERODROME,24/10/2021,2.5,20.6, ,15.0,8.5,94,49,4.25,10.77
ST HELENS AERODROME,25/10/2021,2.8,0.0, ,14.0,8.9,80,59,6.24,13.59
ST HELENS AERODROME,26/10/2021,3.0,0.2, ,15.8,9.7,95,49,2.92,18.49
ST HELENS AERODROME,27/10/2021,4.1,0.0, ,20.0,4.9,97,47,3.93,25.91
ST HELENS AERODROME,28/10/2021,3.8,0.0, ,22.2,9.9,97,40,4.25,14.70
ST HELENS AERODROME,29/10/2021,2.1,10.6, ,14.1,10.9,98,57,5.69,7.75
ST HELENS AERODROME,30/10/2021,2.9,5.6, ,15.9,2.2,88,44,2.63,17.03
ST HELENS AERODROME,31/10/2021,4.3,0.0, ,20.2,4.8,93,45,4.02,26.48
Totals:,,84,160.2, ,,,,,, 
