'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/11/2021,4.0,0.0, ,18.8,9.3,95,49,2.75,26.36
ST HELENS AERODROME,02/11/2021,2.3,0.0, ,18.2,7.2,98,72,2.96,13.98
ST HELENS AERODROME,03/11/2021,2.8,0.0, ,20.6,13.5,95,66,4.01,13.60
ST HELENS AERODROME,04/11/2021,3.1,2.2, ,16.6,11.8,96,67,4.81,20.47
ST HELENS AERODROME,05/11/2021,1.6,0.0, ,15.5,9.9,97,77,1.91,8.32
ST HELENS AERODROME,06/11/2021,2.3,4.6, ,19.3,12.2,98,76,2.72,12.57
ST HELENS AERODROME,07/11/2021,2.9,5.0, ,16.1,12.3,92,56,3.55,15.25
ST HELENS AERODROME,08/11/2021,4.1,0.0, ,19.8,10.0,96,50,2.10,26.31
ST HELENS AERODROME,09/11/2021,4.3,0.0, ,21.0,8.8,97,40,3.39,23.32
ST HELENS AERODROME,10/11/2021,1.4,0.0, ,14.0,10.2,93,67,1.93,5.08
ST HELENS AERODROME,11/11/2021,4.9,3.6, ,20.6,7.6,82,40,5.56,23.98
ST HELENS AERODROME,12/11/2021,2.4,0.0, ,14.8,10.5,97,55,4.51,10.93
ST HELENS AERODROME,13/11/2021,2.4,10.8, ,14.2,8.6,96,62,2.92,14.54
ST HELENS AERODROME,14/11/2021,3.1,6.8, ,15.0,6.0,98,58,3.91,22.41
ST HELENS AERODROME,15/11/2021,4.5,2.2, ,15.0,4.0,72,28,5.12,26.00
ST HELENS AERODROME,16/11/2021,3.9,0.0, ,16.9,3.4,78,36,2.89,24.07
ST HELENS AERODROME,17/11/2021,3.5,0.0, ,16.8,6.2,94,53,3.14,23.52
ST HELENS AERODROME,18/11/2021,2.9,0.0, ,17.9,9.7,93,53,3.51,13.65
ST HELENS AERODROME,19/11/2021,3.3,2.0, ,17.3,10.0,93,54,3.62,19.01
ST HELENS AERODROME,20/11/2021,3.8,0.0, ,18.3,7.8,95,49,3.87,22.25
ST HELENS AERODROME,21/11/2021,3.2,0.0, ,16.9,10.9,80,57,2.64,17.94
ST HELENS AERODROME,22/11/2021,4.5,0.0, ,19.7,10.2,90,54,3.30,28.32
ST HELENS AERODROME,23/11/2021,3.2,0.0, ,19.9,10.2,91,67,4.12,18.15
ST HELENS AERODROME,24/11/2021,5.1,0.0, ,26.2,13.8,95,44,2.71,25.96
ST HELENS AERODROME,25/11/2021,1.4,0.0, ,16.2,13.9,97,76,4.07,4.49
ST HELENS AERODROME,26/11/2021,4.0,3.6, ,16.1,9.8,90,45,5.51,22.94
ST HELENS AERODROME,27/11/2021,4.0,0.0, ,17.1,9.4,85,46,2.89,24.14
ST HELENS AERODROME,28/11/2021,4.5,0.0, ,18.4,5.9,95,49,4.01,30.84
ST HELENS AERODROME,29/11/2021,4.4,0.0, ,18.9,7.4,96,57,3.15,31.00
ST HELENS AERODROME,30/11/2021,4.3,0.0, ,20.3,9.2,96,57,4.01,26.96
Totals:,,102.1,40.8, ,,,,,, 
