'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/12/2021,4.4,0.0, ,21.9,13.8,96,69,3.81,28.10
ST HELENS AERODROME,02/12/2021,4.3,0.0, ,21.4,13.7,98,71,4.07,28.25
ST HELENS AERODROME,03/12/2021,3.4,2.0, ,18.0,14.1,94,58,4.14,18.45
ST HELENS AERODROME,04/12/2021,4.5,0.0, ,19.0,7.8,78,48,4.87,24.78
ST HELENS AERODROME,05/12/2021,4.6,0.0, ,17.8,6.7,87,47,3.53,30.78
ST HELENS AERODROME,06/12/2021,3.4,0.2, ,19.7,9.4,89,61,4.69,16.77
ST HELENS AERODROME,07/12/2021,3.2,0.4, ,21.3,15.3,96,49,3.89,11.65
ST HELENS AERODROME,08/12/2021,4.4,4.4, ,16.9,9.7,85,55,3.64,29.80
ST HELENS AERODROME,09/12/2021,4.4,0.0, ,17.9,7.9,93,45,2.98,28.35
ST HELENS AERODROME,10/12/2021,3.5,0.0, ,18.8,11.1,93,57,4.66,18.09
ST HELENS AERODROME,11/12/2021,3.0,1.2, ,17.0,9.8,94,50,4.10,14.07
ST HELENS AERODROME,12/12/2021,3.1,0.0, ,17.1,11.9,74,54,2.97,13.48
ST HELENS AERODROME,13/12/2021,4.5,0.0, ,19.6,12.3,81,51,3.76,25.05
ST HELENS AERODROME,14/12/2021,4.5,0.0, ,21.6,14.1,92,54,2.54,25.78
ST HELENS AERODROME,15/12/2021,4.6,0.0, ,24.8,12.9,94,54,3.84,22.61
ST HELENS AERODROME,16/12/2021,2.8,0.0, ,18.3,12.4,87,57,2.64,12.85
ST HELENS AERODROME,17/12/2021,5.2,0.0, ,22.7,9.1,96,52,4.40,30.95
ST HELENS AERODROME,18/12/2021,7.2,0.0, ,30.0,15.7,87,31,4.79,28.07
ST HELENS AERODROME,19/12/2021,4.3,0.0, ,23.7,12.1,94,40,4.25,15.99
ST HELENS AERODROME,20/12/2021,4.7,0.2, ,21.4,11.3,74,52,6.37,19.59
ST HELENS AERODROME,21/12/2021,6.5,0.0, ,23.4,13.9,68,42,5.56,31.38
ST HELENS AERODROME,22/12/2021,5.4,0.0, ,20.5,10.4,78,38,3.62,30.62
ST HELENS AERODROME,23/12/2021,2.8,0.0, ,17.9,11.2,90,57,3.53,12.40
ST HELENS AERODROME,24/12/2021,5.5,0.0, ,25.8,9.4,96,44,3.68,28.61
ST HELENS AERODROME,25/12/2021,7.2,0.0, ,27.8,15.3,88,32,4.76,31.99
ST HELENS AERODROME,26/12/2021,4.6,0.0, ,20.7,13.6,85,34,3.45,21.42
ST HELENS AERODROME,27/12/2021,4.8,0.0, ,17.9,6.4,73,44,3.20,30.82
ST HELENS AERODROME,28/12/2021,5.1,0.0, ,20.7,8.7,92,42,2.97,31.76
ST HELENS AERODROME,29/12/2021,5.9,0.0, ,25.5,9.2,96,40,3.91,30.59
ST HELENS AERODROME,30/12/2021,6.8,0.0, ,29.1,12.9,94,19,3.51,28.55
ST HELENS AERODROME,31/12/2021,8.4,0.0, ,33.5,14.0,73,22,4.39,29.25
Totals:,,147,8.4, ,,,,,, 
