'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/01/2022,8.5,0.0, ,33.8,17.3,83,24,4.44,31.08
ST HELENS AERODROME,02/01/2022,6.1,0.0, ,29.4,17.7,91,41,5.22,21.84
ST HELENS AERODROME,03/01/2022,4.2,0.0, ,20.9,14.3,88,60,4.47,22.61
ST HELENS AERODROME,04/01/2022,3.1,0.0, ,18.8,14.8,80,61,2.83,14.51
ST HELENS AERODROME,05/01/2022,2.1,0.0, ,17.3,14.8,82,62,3.67,4.61
ST HELENS AERODROME,06/01/2022,1.4,2.4, ,18.5,14.4,98,73,5.27,1.35
ST HELENS AERODROME,07/01/2022,1.3,65.0, ,20.6,15.9,98,91,5.04,5.73
ST HELENS AERODROME,08/01/2022,2.1,9.6, ,19.9,16.1,98,75,4.61,8.58
ST HELENS AERODROME,09/01/2022,3.1,0.0, ,19.6,13.1,85,64,3.01,15.23
ST HELENS AERODROME,10/01/2022,4.3,0.0, ,23.5,15.1,97,69,4.12,24.70
ST HELENS AERODROME,11/01/2022,3.2,1.4, ,20.0,14.3,92,65,3.94,16.16
ST HELENS AERODROME,12/01/2022,4.0,0.0, ,19.8,12.5,87,52,3.18,21.60
ST HELENS AERODROME,13/01/2022,3.2,0.0, ,21.5,13.6,94,62,3.61,15.39
ST HELENS AERODROME,14/01/2022,2.0,1.8, ,22.1,16.3,97,78,3.74,7.87
ST HELENS AERODROME,15/01/2022,4.4,1.4, ,26.8,17.6,98,68,1.69,23.03
ST HELENS AERODROME,16/01/2022,3.2,0.2, ,22.7,17.3,97,73,3.77,16.44
ST HELENS AERODROME,17/01/2022,5.4,0.6, ,28.0,15.2,94,54,3.21,27.20
ST HELENS AERODROME,18/01/2022,3.9,0.0, ,20.9,15.2,89,52,4.03,17.95
ST HELENS AERODROME,19/01/2022,4.6,0.0, ,20.2,12.8,73,50,4.38,23.04
ST HELENS AERODROME,20/01/2022,4.4,0.0, ,20.2,12.1,93,55,2.41,27.50
ST HELENS AERODROME,21/01/2022,4.9,0.0, ,23.6,10.8,95,56,3.68,28.34
ST HELENS AERODROME,22/01/2022,4.9,0.0, ,23.5,12.8,95,58,3.24,29.38
ST HELENS AERODROME,23/01/2022,4.6,0.0, ,23.6,12.5,96,59,3.97,26.65
ST HELENS AERODROME,24/01/2022, ,0.0, , ,16.5,93,55,2.65,22.29
ST HELENS AERODROME,25/01/2022,4.2, , ,24.1,15.5,96,55,2.56,21.87
ST HELENS AERODROME,26/01/2022,1.6,0.0, ,21.7,15.5,97,72,3.13,4.08
ST HELENS AERODROME,27/01/2022,1.8,0.0, ,21.9,15.7,92,75,3.42,5.03
ST HELENS AERODROME,28/01/2022,3.3,0.0, ,29.4,17.7,98,62,2.86,12.43
ST HELENS AERODROME,29/01/2022,3.8,0.0, ,21.6,16.3,96,69,5.60,22.13
ST HELENS AERODROME,30/01/2022,4.0,0.0, ,20.8,14.5,95,66,3.54,24.63
ST HELENS AERODROME,31/01/2022,3.1,0.0, ,23.4,15.5,96,74,2.99,16.58
Totals:,,110.7,82.4, ,,,,,, 
