'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/02/2022,6.1,0.0, ,29.2,16.9,97,33,4.13,25.01
ST HELENS AERODROME,02/02/2022,3.5,0.0, ,18.3,11.5,90,41,2.91,17.45
ST HELENS AERODROME,03/02/2022,4.5,0.0, ,20.0,9.4,92,44,4.50,25.47
ST HELENS AERODROME,04/02/2022,4.6,0.0, ,19.8,11.2,73,52,3.19,27.19
ST HELENS AERODROME,05/02/2022,3.8,0.0, ,21.2,12.7,91,59,2.63,22.41
ST HELENS AERODROME,06/02/2022,4.6,0.0, ,20.6,14.8,68,47,2.77,24.21
ST HELENS AERODROME,07/02/2022,2.9,0.0, ,20.8,14.9,82,54,2.34,12.34
ST HELENS AERODROME,08/02/2022,3.1,0.0, ,21.0,15.4,94,64,2.77,16.04
ST HELENS AERODROME,09/02/2022,4.9,0.0, ,26.8,12.4,96,42,3.25,22.55
ST HELENS AERODROME,10/02/2022,4.0,0.2, ,23.6,13.8,95,48,3.07,19.34
ST HELENS AERODROME,11/02/2022,3.8,2.4, ,20.7,14.5,96,46,3.91,18.45
ST HELENS AERODROME,12/02/2022,3.7,0.0, ,19.8,13.3,83,49,3.12,19.12
ST HELENS AERODROME,13/02/2022,3.0,0.0, ,22.0,11.4,90,62,4.16,12.44
ST HELENS AERODROME,14/02/2022,3.4,0.0, ,23.1,14.7,96,71,3.17,19.07
ST HELENS AERODROME,15/02/2022,3.1,0.0, ,22.2,15.2,92,65,2.95,15.75
ST HELENS AERODROME,16/02/2022,1.7,0.0, ,20.1,14.1,94,69,2.00,6.45
ST HELENS AERODROME,17/02/2022,5.5,3.4, ,25.0,15.9,90,37,5.11,24.27
ST HELENS AERODROME,18/02/2022,4.7,0.2, ,23.9,15.5,88,28,3.36,20.03
ST HELENS AERODROME,19/02/2022,3.7,0.0, ,22.0,9.7,90,53,4.21,17.92
ST HELENS AERODROME,20/02/2022,4.1,0.0, ,23.5,11.6,91,48,3.97,19.45
ST HELENS AERODROME,21/02/2022,5.2,0.0, ,24.0,10.4,75,28,3.36,24.63
ST HELENS AERODROME,22/02/2022,3.0,0.0, ,19.0,11.1,88,47,2.85,13.40
ST HELENS AERODROME,23/02/2022,1.2,0.0, ,20.0,13.9,98,85,3.43,4.50
ST HELENS AERODROME,24/02/2022,2.2,3.0, ,24.9,18.5,98,79,3.36,9.35
ST HELENS AERODROME,25/02/2022,2.0,9.6, ,18.5,15.3,96,61,4.62,4.17
ST HELENS AERODROME,26/02/2022,2.6,0.6, ,20.4,14.6,96,51,2.91,10.28
ST HELENS AERODROME,27/02/2022,2.3,41.2, ,21.8,15.0,99,73,3.58,11.06
ST HELENS AERODROME,28/02/2022,0.8,7.6, ,20.5,16.7,98,88,3.48,1.23
Totals:,,98,68.2, ,,,,,, 
