'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/03/2022,1.7,61.0, ,21.7,17.5,98,81,3.98,6.65
ST HELENS AERODROME,02/03/2022,1.5,1.4, ,20.6,16.2,97,80,3.09,5.19
ST HELENS AERODROME,03/03/2022,2.2,1.0, ,22.7,17.3,97,76,2.13,11.04
ST HELENS AERODROME,04/03/2022,2.1,0.0, ,23.2,16.8,98,77,1.65,10.78
ST HELENS AERODROME,05/03/2022,2.8,2.6, ,25.5,18.2,98,73,1.65,14.74
ST HELENS AERODROME,06/03/2022,3.5,0.0, ,17.7,12.8,90,46,7.05,13.61
ST HELENS AERODROME,07/03/2022,2.2,0.0, ,18.7,14.1,93,54,2.48,8.31
ST HELENS AERODROME,08/03/2022,3.2,0.0, ,18.2,9.2,96,51,5.06,16.92
ST HELENS AERODROME,09/03/2022,3.3,0.0, ,18.4,14.0,72,48,5.23,9.22
ST HELENS AERODROME,10/03/2022,3.1,0.0, ,19.0,10.8,75,52,3.42,14.12
ST HELENS AERODROME,11/03/2022,2.6,0.0, ,19.0,10.2,93,52,1.84,15.46
ST HELENS AERODROME,12/03/2022,3.3,0.0, ,22.1,9.9,96,51,3.46,17.08
ST HELENS AERODROME,13/03/2022,3.0,0.0, ,23.1,11.7,94,70,3.56,17.29
ST HELENS AERODROME,14/03/2022,1.8,0.0, ,19.7,14.0,95,73,4.91,6.26
ST HELENS AERODROME,15/03/2022,2.5,8.4, ,21.9,16.7,96,68,3.13,12.91
ST HELENS AERODROME,16/03/2022,1.7,1.6, ,20.5,16.8,90,76,4.63,3.88
ST HELENS AERODROME,17/03/2022,2.6,0.0, ,23.7,18.4,95,67,4.04,10.64
ST HELENS AERODROME,18/03/2022,2.8,13.2, ,17.8,15.2,91,55,5.44,11.80
ST HELENS AERODROME,19/03/2022,2.4,0.0, ,18.2,9.8,87,60,2.01,14.67
ST HELENS AERODROME,20/03/2022,2.5,0.0, ,21.0,11.5,94,56,2.03,13.47
ST HELENS AERODROME,21/03/2022,1.8,0.0, ,20.3,14.6,95,71,2.53,8.07
ST HELENS AERODROME,22/03/2022,1.6,0.8, ,20.4,12.9,96,71,2.32,6.13
ST HELENS AERODROME,23/03/2022,3.1,0.6, ,20.5,10.7,87,35,2.27,16.37
ST HELENS AERODROME,24/03/2022,2.9,0.0, ,20.5,7.5,93,44,2.54,15.95
ST HELENS AERODROME,25/03/2022,2.9,0.0, ,21.4,9.7,94,56,3.02,17.17
ST HELENS AERODROME,26/03/2022,2.8,0.2, ,21.7,9.9,97,62,3.24,17.20
ST HELENS AERODROME,27/03/2022,2.3,0.0, ,21.8,11.4,98,74,3.82,13.78
ST HELENS AERODROME,28/03/2022,2.7,0.2, ,24.8,14.3,97,53,2.73,11.09
ST HELENS AERODROME,29/03/2022,2.4,0.0, ,21.3,14.9,95,68,2.85,13.55
ST HELENS AERODROME,30/03/2022,2.4,0.0, ,19.2,14.1,95,62,4.75,11.99
ST HELENS AERODROME,31/03/2022,2.9,0.0, ,17.0,10.2,73,50,5.04,9.53
Totals:,,78.6,91, ,,,,,, 
