'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/04/2022,2.3,0.0, ,17.0,11.5,88,56,5.69,5.67
ST HELENS AERODROME,02/04/2022,1.6,0.8, ,15.8,13.0,95,76,7.07,7.13
ST HELENS AERODROME,03/04/2022,1.6,4.8, ,17.3,12.8,96,74,6.68,5.36
ST HELENS AERODROME,04/04/2022,1.8,6.4, ,21.2,13.1,96,77,2.68,11.02
ST HELENS AERODROME,05/04/2022,1.8,0.2, ,16.5,13.9,94,62,3.77,6.56
ST HELENS AERODROME,06/04/2022,2.2,0.0, ,16.7,11.3,90,51,3.13,10.58
ST HELENS AERODROME,07/04/2022,2.4,0.0, ,18.2,6.4,95,45,2.74,14.88
ST HELENS AERODROME,08/04/2022,1.7,0.2, ,19.0,6.9,96,63,2.58,8.90
ST HELENS AERODROME,09/04/2022,1.6,0.0, ,19.9,11.0,95,74,3.40,7.16
ST HELENS AERODROME,10/04/2022,2.5,1.2, ,23.7,17.5,96,64,3.68,11.91
ST HELENS AERODROME,11/04/2022,2.6,0.0, ,18.8,13.1,92,39,3.35,11.09
ST HELENS AERODROME,12/04/2022,1.9,0.0, ,18.1,6.4,92,52,2.29,11.29
ST HELENS AERODROME,13/04/2022,2.2,0.0, ,20.0,7.8,95,61,3.32,13.69
ST HELENS AERODROME,14/04/2022,1.9,0.2, ,19.6,9.8,97,60,2.82,10.35
ST HELENS AERODROME,15/04/2022,1.6,0.0, ,18.9,13.5,91,54,2.90,1.37
ST HELENS AERODROME,16/04/2022,0.8,0.0, ,15.6,13.6,97,80,1.64,2.21
ST HELENS AERODROME,17/04/2022,2.4,3.4, ,23.4,10.9,98,47,2.75,11.32
ST HELENS AERODROME,18/04/2022,1.1,0.4, ,16.5,14.3,93,80,2.99,3.82
ST HELENS AERODROME,19/04/2022,0.7,0.6, ,15.4,12.9,98,86,0.92,2.44
ST HELENS AERODROME,20/04/2022,2.2,19.2, ,20.3,10.1,98,47,2.69,12.54
ST HELENS AERODROME,21/04/2022,2.0,0.0, ,16.4,7.5,92,38,2.54,12.18
ST HELENS AERODROME,22/04/2022,1.6,0.0, ,15.6,6.7,94,50,2.10,12.18
ST HELENS AERODROME,23/04/2022,1.8,0.0, ,18.8,5.8,97,53,2.57,12.04
ST HELENS AERODROME,24/04/2022,1.7,0.2, ,18.0,6.6,96,58,2.32,11.87
ST HELENS AERODROME,25/04/2022,1.6,0.2, ,19.1,10.5,95,63,2.10,11.65
ST HELENS AERODROME,26/04/2022,1.2,0.0, ,17.3,12.1,95,68,1.67,6.19
ST HELENS AERODROME,27/04/2022,0.7,3.0, ,18.3,10.7,98,91,2.66,3.40
ST HELENS AERODROME,28/04/2022,0.8,21.8, ,19.6,12.9,98,92,3.57,4.64
ST HELENS AERODROME,29/04/2022,1.6,2.2, ,21.0,13.3,98,70,3.43,8.69
ST HELENS AERODROME,30/04/2022,2.0,2.2, ,17.0,12.9,92,50,3.86,9.10
Totals:,,51.9,67, ,,,,,, 
