'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/05/2022,1.8,0.0, ,18.1,12.0,87,63,4.47,5.58
ST HELENS AERODROME,02/05/2022,2.2,0.0, ,19.5,15.5,82,61,4.67,8.25
ST HELENS AERODROME,03/05/2022,2.4,0.0, ,19.8,15.9,84,56,4.94,9.08
ST HELENS AERODROME,04/05/2022,1.6,0.0, ,17.5,13.2,90,53,2.59,5.59
ST HELENS AERODROME,05/05/2022,1.2,0.0, ,14.9,7.1,93,65,2.56,4.98
ST HELENS AERODROME,06/05/2022,1.1,6.4, ,12.2,8.3,95,75,5.16,4.49
ST HELENS AERODROME,07/05/2022,1.5,34.4, ,14.8,7.1,97,54,3.56,6.64
ST HELENS AERODROME,08/05/2022,1.6,0.6, ,18.1,10.2,96,52,2.81,9.76
ST HELENS AERODROME,09/05/2022,1.0,0.8, ,16.2,7.1,98,58,1.48,6.87
ST HELENS AERODROME,10/05/2022,1.4,0.2, ,16.7,5.7,97,54,2.58,9.74
ST HELENS AERODROME,11/05/2022,0.9,0.2, ,18.4,6.5,98,75,1.54,8.51
ST HELENS AERODROME,12/05/2022,0.5,0.2, ,15.8,10.0,99,97,1.22,2.87
ST HELENS AERODROME,13/05/2022,0.9,12.0, ,17.4,10.6,98,71,1.36,9.37
ST HELENS AERODROME,14/05/2022,1.1,1.4, ,18.1,11.8,99,67,2.28,3.06
ST HELENS AERODROME,15/05/2022,2.0,0.8, ,18.5,13.3,94,57,5.72,6.66
ST HELENS AERODROME,16/05/2022,2.0,4.8, ,14.6,10.6,84,51,5.30,8.94
ST HELENS AERODROME,17/05/2022,2.0,0.0, ,15.0,8.3,77,50,4.50,9.05
ST HELENS AERODROME,18/05/2022,1.4,0.0, ,15.0,8.4,93,50,3.24,8.74
ST HELENS AERODROME,19/05/2022,1.4,0.2, ,16.5,2.7,97,41,2.29,8.88
ST HELENS AERODROME,20/05/2022,1.2,0.2, ,14.8,2.4,96,49,2.54,8.69
ST HELENS AERODROME,21/05/2022,0.8,0.2, ,13.8,4.7,96,65,1.91,8.70
ST HELENS AERODROME,22/05/2022,0.9,0.0, ,14.4,7.0,97,55,1.72,7.54
ST HELENS AERODROME,23/05/2022,1.2,0.0, ,16.1,5.2,97,56,2.59,8.46
ST HELENS AERODROME,24/05/2022,1.1,0.2, ,15.7,4.0,97,59,2.63,8.31
ST HELENS AERODROME,25/05/2022,0.9,0.4, ,16.1,5.2,98,69,2.39,6.03
ST HELENS AERODROME,26/05/2022,0.6,4.4, ,17.2,6.6,98,87,2.34,4.75
ST HELENS AERODROME,27/05/2022,1.1,1.0, ,18.3,11.0,96,59,2.02,6.65
ST HELENS AERODROME,28/05/2022,1.0,0.4, ,15.9,4.8,98,61,2.44,7.97
ST HELENS AERODROME,29/05/2022,0.8,0.2, ,14.4,5.6,98,73,2.60,8.01
ST HELENS AERODROME,30/05/2022,1.0,1.0, ,13.7,3.4,99,57,2.64,8.07
ST HELENS AERODROME,31/05/2022,0.7,0.4, ,11.2,4.6,97,73,2.35,3.26
Totals:,,39.3,70.4, ,,,,,, 
