'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/06/2022,1.2,3.4, ,14.0,5.8,90,58,3.30,7.11
ST HELENS AERODROME,02/06/2022,1.0,0.2, ,12.1,2.2,97,45,2.42,7.85
ST HELENS AERODROME,03/06/2022,1.0,0.0, ,12.1,2.9,96,67,3.54,3.84
ST HELENS AERODROME,04/06/2022,1.2,0.6, ,14.9,8.7,92,52,3.00,7.10
ST HELENS AERODROME,05/06/2022,0.9,10.8, ,12.1,7.2,96,75,5.12,5.00
ST HELENS AERODROME,06/06/2022,1.2,18.2, ,13.3,7.6,93,45,3.10,7.52
ST HELENS AERODROME,07/06/2022,1.2,0.2, ,11.4,2.0,94,39,3.01,7.51
ST HELENS AERODROME,08/06/2022,1.4,0.0, ,10.8,3.8,81,50,4.28,7.04
ST HELENS AERODROME,09/06/2022,0.9,0.0, ,13.7,4.1,95,49,2.04,7.34
ST HELENS AERODROME,10/06/2022,1.4,0.0, ,12.1,4.4,86,42,3.58,7.20
ST HELENS AERODROME,11/06/2022,1.8,0.0, ,13.9,2.0,90,34,4.03,7.58
ST HELENS AERODROME,12/06/2022,2.0,0.0, ,10.5,5.5,63,43,5.18,6.94
ST HELENS AERODROME,13/06/2022,1.1,0.0, ,12.0,-0.4,93,44,2.83,7.61
ST HELENS AERODROME,14/06/2022,1.0,0.0, ,13.9,0.1,95,50,2.41,7.34
ST HELENS AERODROME,15/06/2022,0.6,0.2, ,11.9,1.6,96,74,1.67,2.35
ST HELENS AERODROME,16/06/2022,0.6,3.2, ,13.5,8.6,98,73,1.84,6.63
ST HELENS AERODROME,17/06/2022,0.9,0.2, ,14.8,4.9,97,56,2.39,7.17
ST HELENS AERODROME,18/06/2022,0.5,0.2, ,14.0,5.5,97,82,2.45,5.73
ST HELENS AERODROME,19/06/2022,0.9,5.0, ,14.6,8.4,98,74,3.76,3.62
ST HELENS AERODROME,20/06/2022,1.0,0.2, ,14.1,12.0,91,74,4.29,3.85
ST HELENS AERODROME,21/06/2022,0.7,0.2, ,12.9,11.3,95,78,2.54,3.70
ST HELENS AERODROME,22/06/2022,0.7,0.4, ,14.4,4.0,98,68,2.21,7.06
ST HELENS AERODROME,23/06/2022,1.0,0.6, ,14.5,5.4,98,72,4.33,2.67
ST HELENS AERODROME,24/06/2022,1.4,1.0, ,14.7,10.7,94,47,3.98,7.60
ST HELENS AERODROME,25/06/2022,1.7,0.0, ,15.0,7.8,87,58,6.13,6.45
ST HELENS AERODROME,26/06/2022,1.4,0.8, ,13.4,9.2,93,41,3.62,6.90
ST HELENS AERODROME,27/06/2022,0.9,0.0, ,11.8,1.8,93,45,2.19,7.56
ST HELENS AERODROME,28/06/2022,0.9,0.2, ,13.0,1.6,95,71,3.06,2.07
ST HELENS AERODROME,29/06/2022,1.2,0.0, ,12.7,9.0,82,64,3.60,4.66
ST HELENS AERODROME,30/06/2022,1.0,0.0, ,12.1,7.1,91,59,3.26,7.22
Totals:,,32.7,45.6, ,,,,,, 
