'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/07/2022,0.8,0.0, ,11.6,1.9,96,54,2.17,7.50
ST HELENS AERODROME,02/07/2022,0.9,0.2, ,13.3,1.0,98,52,2.37,7.79
ST HELENS AERODROME,03/07/2022,1.0,0.4, ,13.3,0.6,98,56,2.85,7.84
ST HELENS AERODROME,04/07/2022,1.1,0.4, ,15.1,1.3,98,54,2.88,7.88
ST HELENS AERODROME,05/07/2022,1.1,0.2, ,14.3,3.1,96,51,2.74,7.56
ST HELENS AERODROME,06/07/2022,0.5,1.4, ,13.2,3.8,98,86,2.04,4.97
ST HELENS AERODROME,07/07/2022,0.7,2.4, ,14.7,5.8,98,62,1.83,7.67
ST HELENS AERODROME,08/07/2022,1.0,0.2, ,12.3,3.7,95,64,3.88,5.36
ST HELENS AERODROME,09/07/2022,1.2,5.0, ,11.4,8.0,95,60,4.45,4.84
ST HELENS AERODROME,10/07/2022,0.8,3.2, ,12.2,8.0,88,56,1.54,4.71
ST HELENS AERODROME,11/07/2022,0.9,0.0, ,13.5,7.0,93,60,2.24,6.29
ST HELENS AERODROME,12/07/2022,0.6,0.4, ,12.1,6.4,96,74,1.54,4.02
ST HELENS AERODROME,13/07/2022,0.8,0.0, ,11.7,5.3,95,61,2.51,7.28
ST HELENS AERODROME,14/07/2022,1.0,0.0, ,13.1,1.1,96,52,2.54,8.41
ST HELENS AERODROME,15/07/2022,1.2,0.0, ,15.0,2.8,95,52,2.76,8.01
ST HELENS AERODROME,16/07/2022,1.0,0.0, ,12.7,3.7,95,70,3.70,3.63
ST HELENS AERODROME,17/07/2022,1.6,3.2, ,13.5,6.6,90,59,5.98,7.81
ST HELENS AERODROME,18/07/2022,1.2,2.0, ,9.4,2.5,84,43,3.11,8.38
ST HELENS AERODROME,19/07/2022,1.0,0.0, ,11.8,2.6,95,55,2.41,6.67
ST HELENS AERODROME,20/07/2022,0.9,0.0, ,12.8,3.7,92,53,1.92,8.30
ST HELENS AERODROME,21/07/2022,1.0,0.0, ,13.1,5.1,92,53,1.82,5.69
ST HELENS AERODROME,22/07/2022,1.2,0.0, ,13.5,5.7,92,61,3.55,5.24
ST HELENS AERODROME,23/07/2022,1.0,0.0, ,13.6,9.2,96,77,4.70,4.54
ST HELENS AERODROME,24/07/2022,0.7,41.0, ,15.5,10.2,98,83,1.39,5.88
ST HELENS AERODROME,25/07/2022,0.7,5.6, ,14.4,9.5,99,87,3.19,4.46
ST HELENS AERODROME,26/07/2022,1.1,3.6, ,15.8,10.5,97,63,2.45,7.21
ST HELENS AERODROME,27/07/2022,1.3,0.0, ,16.2,6.1,92,54,2.42,9.37
ST HELENS AERODROME,28/07/2022,1.2,0.0, ,13.7,7.9,91,46,1.95,8.70
ST HELENS AERODROME,29/07/2022,1.4,0.2, ,12.2,0.9,94,41,2.78,9.62
ST HELENS AERODROME,30/07/2022,1.3,0.4, ,11.9,-0.2,96,53,3.60,9.73
ST HELENS AERODROME,31/07/2022,1.1,0.0, ,12.7,3.8,91,59,2.55,5.28
Totals:,,31.3,69.8, ,,,,,, 
