'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/08/2022,1.8,2.0, ,13.0,9.0,89,54,5.87,7.82
ST HELENS AERODROME,02/08/2022,1.9,1.4, ,15.0,8.3,86,51,4.34,8.23
ST HELENS AERODROME,03/08/2022,1.5,2.0, ,14.8,8.9,89,67,4.79,6.82
ST HELENS AERODROME,04/08/2022,1.7,8.2, ,16.1,9.0,97,53,4.09,10.32
ST HELENS AERODROME,05/08/2022,1.4,0.0, ,13.7,8.0,90,67,4.84,8.94
ST HELENS AERODROME,06/08/2022,1.2,1.0, ,12.5,5.0,95,61,3.20,7.81
ST HELENS AERODROME,07/08/2022,1.0,0.0, ,10.5,5.3,95,69,2.72,8.15
ST HELENS AERODROME,08/08/2022,1.0,2.6, ,12.5,1.8,97,60,2.38,2.86
ST HELENS AERODROME,09/08/2022,1.5,0.2, ,12.4,1.7,97,46,2.97,10.85
ST HELENS AERODROME,10/08/2022,1.4,0.0, ,13.1,2.0,97,49,2.65,10.72
ST HELENS AERODROME,11/08/2022,1.0,0.2, ,15.0,4.9,98,77,2.40,9.17
ST HELENS AERODROME,12/08/2022,1.2,1.0, ,15.6,4.9,98,60,1.70,9.17
ST HELENS AERODROME,13/08/2022,1.0,0.2, ,14.0,5.3,97,80,3.90,8.85
ST HELENS AERODROME,14/08/2022,0.9,21.8, ,13.6,8.6,98,85,5.84,5.25
ST HELENS AERODROME,15/08/2022,0.9,16.0, ,12.5,10.6,96,81,4.09,4.62
ST HELENS AERODROME,16/08/2022,1.4,11.2, ,17.0,6.0,96,59,2.09,9.50
ST HELENS AERODROME,17/08/2022,1.2,0.2, ,14.6,4.6,98,72,3.24,7.77
ST HELENS AERODROME,18/08/2022,1.9,0.0, ,14.4,8.6,90,64,6.65,7.83
ST HELENS AERODROME,19/08/2022,2.2,1.4, ,14.3,8.2,84,46,4.07,12.15
ST HELENS AERODROME,20/08/2022,2.1,0.0, ,12.0,8.0,90,38,4.17,11.89
ST HELENS AERODROME,21/08/2022,1.7,0.0, ,11.8,1.2,92,53,4.25,10.16
ST HELENS AERODROME,22/08/2022,1.5,0.0, ,12.5,6.4,90,70,6.26,6.43
ST HELENS AERODROME,23/08/2022,1.8,2.0, ,13.0,2.8,91,37,2.65,12.21
ST HELENS AERODROME,24/08/2022,1.5,0.0, ,14.5,2.0,95,58,3.38,5.94
ST HELENS AERODROME,25/08/2022,1.7,0.0, ,15.8,5.5,97,54,2.18,12.96
ST HELENS AERODROME,26/08/2022, ,0.0, , ,4.6,98,46,2.90,13.46
ST HELENS AERODROME,27/08/2022,1.5, , ,15.2,5.9,99,62,2.58,11.14
ST HELENS AERODROME,28/08/2022,1.5,0.4, ,16.7,8.0,98,73,2.53,10.87
ST HELENS AERODROME,29/08/2022,1.5,0.0, ,18.7,7.3,98,70,1.98,10.11
ST HELENS AERODROME,30/08/2022,1.2,6.6, ,14.9,9.9,98,73,2.59,6.46
ST HELENS AERODROME,31/08/2022,2.2,3.8, ,16.9,5.5,96,56,4.00,14.11
Totals:,,44.3,82.2, ,,,,,, 
