'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/09/2022,1.9,0.0, ,15.1,11.5,96,64,4.30,11.42
ST HELENS AERODROME,02/09/2022,2.0,5.8, ,13.9,5.8,96,42,2.60,13.74
ST HELENS AERODROME,03/09/2022,1.8,0.2, ,12.8,3.0,97,53,2.54,14.81
ST HELENS AERODROME,04/09/2022,1.7,0.0, ,13.0,3.2,98,54,2.30,13.12
ST HELENS AERODROME,05/09/2022,1.8,0.0, ,14.4,6.3,85,64,3.54,10.59
ST HELENS AERODROME,06/09/2022,1.7,0.0, ,13.1,4.7,96,62,2.11,14.62
ST HELENS AERODROME,07/09/2022,1.7,0.2, ,14.2,4.3,98,61,2.69,11.33
ST HELENS AERODROME,08/09/2022,1.1,12.8, ,16.2,8.9,97,85,5.19,5.26
ST HELENS AERODROME,09/09/2022,1.3,7.0, ,17.2,13.3,98,85,3.96,7.73
ST HELENS AERODROME,10/09/2022,1.5,16.2, ,15.3,11.0,99,72,3.03,8.95
ST HELENS AERODROME,11/09/2022,2.3,1.4, ,15.7,6.2,94,50,3.15,14.59
ST HELENS AERODROME,12/09/2022,2.5,0.2, ,13.6,3.7,85,33,2.99,15.31
ST HELENS AERODROME,13/09/2022,2.1,0.0, ,12.4,4.3,93,45,2.53,16.67
ST HELENS AERODROME,14/09/2022,1.8,4.2, ,13.6,2.5,98,64,3.21,14.24
ST HELENS AERODROME,15/09/2022,1.6,0.0, ,16.2,5.5,97,72,2.03,11.01
ST HELENS AERODROME,16/09/2022,1.4,30.6, ,14.3,10.2,98,72,5.30,5.67
ST HELENS AERODROME,17/09/2022,1.8,11.8, ,14.3,8.7,94,74,4.09,12.20
ST HELENS AERODROME,18/09/2022,2.2,2.6, ,16.5,5.6,98,55,3.05,13.22
ST HELENS AERODROME,19/09/2022,2.5,0.0, ,16.6,7.5,96,47,2.45,15.85
ST HELENS AERODROME,20/09/2022,2.8,0.2, ,18.0,4.6,96,45,3.15,17.76
ST HELENS AERODROME,21/09/2022,2.0,0.4, ,18.6,9.4,94,73,2.03,12.70
ST HELENS AERODROME,22/09/2022,2.4,0.0, ,19.1,11.9,95,72,2.38,16.53
ST HELENS AERODROME,23/09/2022,3.3,0.0, ,23.2,13.4,96,44,3.38,14.00
ST HELENS AERODROME,24/09/2022,1.5,3.4, ,12.0,8.9,96,72,5.40,7.91
ST HELENS AERODROME,25/09/2022,2.4,1.2, ,17.0,4.4,96,51,2.84,14.15
ST HELENS AERODROME,26/09/2022,2.2,0.2, ,16.4,5.5,94,56,2.45,13.36
ST HELENS AERODROME,27/09/2022,2.2,0.0, ,16.5,10.0,98,65,2.10,15.59
ST HELENS AERODROME,28/09/2022,2.4,0.0, ,15.9,5.6,98,66,3.61,18.51
ST HELENS AERODROME,29/09/2022,1.9,0.2, ,12.2,7.6,97,58,4.63,9.62
ST HELENS AERODROME,30/09/2022,2.7,5.4, ,13.5,8.5,91,43,3.43,17.16
Totals:,,60.5,104, ,,,,,, 
