'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/10/2022,2.7,0.0, ,14.3,2.9,96,46,2.88,19.89
ST HELENS AERODROME,02/10/2022,3.2,0.2, ,19.4,4.1,96,43,2.59,20.27
ST HELENS AERODROME,03/10/2022,2.8,0.0, ,17.8,7.2,93,48,2.86,16.16
ST HELENS AERODROME,04/10/2022,3.0,0.0, ,13.7,8.0,87,46,4.82,17.74
ST HELENS AERODROME,05/10/2022,2.3,0.2, ,12.7,7.3,77,49,3.65,8.59
ST HELENS AERODROME,06/10/2022,2.1,0.0, ,14.3,10.2,98,60,7.21,7.26
ST HELENS AERODROME,07/10/2022,2.2,27.4, ,19.1,12.1,98,65,4.56,8.94
ST HELENS AERODROME,08/10/2022,3.6,1.0, ,17.3,7.4,80,36,3.25,21.21
ST HELENS AERODROME,09/10/2022,2.9,0.0, ,13.5,4.8,93,43,2.38,22.13
ST HELENS AERODROME,10/10/2022,3.3,0.0, ,16.9,3.4,95,42,3.22,21.78
ST HELENS AERODROME,11/10/2022,2.8,0.0, ,16.5,6.3,96,59,3.25,19.54
ST HELENS AERODROME,12/10/2022,1.6,0.2, ,16.2,11.2,91,78,5.03,5.69
ST HELENS AERODROME,13/10/2022,0.9,18.6, ,14.6,13.9,96,93,8.86,3.57
ST HELENS AERODROME,14/10/2022,3.4,54.8, ,18.2,11.4,97,51,4.41,19.26
ST HELENS AERODROME,15/10/2022,3.5,0.2, ,18.2,8.1,94,45,3.44,20.93
ST HELENS AERODROME,16/10/2022,2.4,3.6, ,14.5,6.5,95,50,2.18,14.80
ST HELENS AERODROME,17/10/2022,2.8,0.4, ,15.5,4.7,96,48,2.44,18.52
ST HELENS AERODROME,18/10/2022,3.8,0.0, ,18.6,8.4,95,39,3.08,22.63
ST HELENS AERODROME,19/10/2022,4.2,0.0, ,22.5,5.8,89,42,2.80,24.23
ST HELENS AERODROME,20/10/2022,3.2,0.0, ,17.3,8.7,97,59,2.26,22.59
ST HELENS AERODROME,21/10/2022,1.3,0.0, ,15.8,12.5,97,75,2.56,4.47
ST HELENS AERODROME,22/10/2022,1.3,31.2, ,18.4,13.5,98,89,4.08,6.16
ST HELENS AERODROME,23/10/2022,2.8,11.6, ,15.0,11.4,93,61,6.27,15.42
ST HELENS AERODROME,24/10/2022,2.0,0.2, ,14.8,11.0,99,56,4.87,5.82
ST HELENS AERODROME,25/10/2022,0.9,31.2, ,15.7,10.6,99,92,4.12,3.68
ST HELENS AERODROME,26/10/2022,1.4,31.6, ,16.4,12.4,99,88,5.33,8.29
ST HELENS AERODROME,27/10/2022,1.9,1.2, ,15.9,13.4,98,81,1.89,11.02
ST HELENS AERODROME,28/10/2022,2.9,8.4, ,17.7,13.2,95,61,4.42,15.71
ST HELENS AERODROME,29/10/2022,2.4,2.4, ,16.6,10.5,97,53,2.02,12.54
ST HELENS AERODROME,30/10/2022,3.7,3.4, ,17.8,3.7,97,50,3.54,26.12
ST HELENS AERODROME,31/10/2022,3.7,6.6, ,19.5,10.4,97,55,6.09,20.26
Totals:,,81,234.4, ,,,,,, 
