'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/11/2022,2.7,0.8, ,15.2,7.5,90,54,2.66,16.09
ST HELENS AERODROME,02/11/2022,3.2,6.0, ,15.5,5.2,93,42,2.98,19.16
ST HELENS AERODROME,03/11/2022,4.4,0.0, ,21.5,5.2,94,38,2.84,26.29
ST HELENS AERODROME,04/11/2022,3.3,0.0, ,16.6,7.6,97,58,3.17,23.23
ST HELENS AERODROME,05/11/2022,4.6,0.0, ,23.0,8.0,97,41,2.53,27.38
ST HELENS AERODROME,06/11/2022,5.1,0.0, ,24.3,9.1,95,33,3.32,25.33
ST HELENS AERODROME,07/11/2022,4.0,0.0, ,19.2,14.3,97,57,2.88,25.18
ST HELENS AERODROME,08/11/2022,4.6,0.0, ,21.7,10.6,96,54,3.99,28.04
ST HELENS AERODROME,09/11/2022,3.8,0.0, ,21.3,10.9,96,75,3.73,26.07
ST HELENS AERODROME,10/11/2022,3.0,0.0, ,19.8,15.6,92,72,4.92,15.93
ST HELENS AERODROME,11/11/2022,3.4,1.4, ,23.8,15.2,96,58,4.26,14.01
ST HELENS AERODROME,12/11/2022, ,0.6, ,16.0,11.0,92,54,4.41, 
ST HELENS AERODROME,13/11/2022,1.5,3.4, ,16.3,10.9,98,65,2.89,4.51
ST HELENS AERODROME,14/11/2022,0.9,48.8, ,14.5,11.6,98,92,1.78,3.34
ST HELENS AERODROME,15/11/2022,2.1,23.4, ,12.4,5.8,96,62,3.55,12.66
ST HELENS AERODROME,16/11/2022,3.2,2.0, ,14.4,6.9,79,49,3.57,17.67
ST HELENS AERODROME,17/11/2022,3.0,0.0, ,17.1,6.4,93,53,2.82,16.68
ST HELENS AERODROME,18/11/2022,3.8,0.4, ,17.2,6.8,97,57,2.30,27.68
ST HELENS AERODROME,19/11/2022,3.0,0.0, ,17.6,7.8,98,62,4.14,17.76
ST HELENS AERODROME,20/11/2022,4.9,9.0, ,20.0,14.0,98,40,4.89,27.65
ST HELENS AERODROME,21/11/2022,4.4,1.4, ,16.0,8.4,73,39,4.91,23.54
ST HELENS AERODROME,22/11/2022,6.0,0.2, ,23.5,4.6,83,23,4.08,30.09
ST HELENS AERODROME,23/11/2022,4.7,0.0, ,18.7,7.1,88,39,2.76,30.30
ST HELENS AERODROME,24/11/2022,3.9,0.0, ,21.6,9.7,92,51,2.86,20.78
ST HELENS AERODROME,25/11/2022,1.9,0.2, ,14.7,11.9,97,73,2.47,10.17
ST HELENS AERODROME,26/11/2022,3.3,5.0, ,17.8,7.8,97,58,3.85,20.55
ST HELENS AERODROME,27/11/2022,4.4,1.8, ,19.9,13.6,95,49,4.53,24.30
ST HELENS AERODROME,28/11/2022,4.2,0.0, ,18.0,6.1,82,48,4.34,25.42
ST HELENS AERODROME,29/11/2022,4.2,0.0, ,19.9,7.0,86,32,2.50,22.71
ST HELENS AERODROME,30/11/2022,5.2,0.0, ,23.2,7.6,89,45,3.55,29.19
Totals:,,106.7,104.4, ,,,,,, 
