'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/12/2022,2.3,1.8, ,16.0,12.4,91,61,2.96,10.23
ST HELENS AERODROME,02/12/2022,4.4,0.2, ,18.6,11.2,86,57,3.72,28.13
ST HELENS AERODROME,03/12/2022,6.0,0.0, ,26.0,10.7,92,36,3.18,31.20
ST HELENS AERODROME,04/12/2022,4.0,0.0, ,19.2,13.8,96,73,2.17,25.80
ST HELENS AERODROME,05/12/2022,2.4,3.0, ,16.7,14.3,97,59,5.90,8.34
ST HELENS AERODROME,06/12/2022,3.0,0.0, ,14.5,10.5,71,54,5.10,10.93
ST HELENS AERODROME,07/12/2022,4.8,0.0, ,20.4,5.4,95,48,3.13,31.50
ST HELENS AERODROME,08/12/2022,5.2,4.2, ,19.5,9.1,93,36,5.44,29.34
ST HELENS AERODROME,09/12/2022,3.8,0.0, ,17.5,7.0,89,50,3.50,23.25
ST HELENS AERODROME,10/12/2022,2.9,0.4, ,17.1,7.9,96,56,2.83,16.55
ST HELENS AERODROME,11/12/2022,2.6,0.0, ,18.6,9.4,97,62,3.16,12.71
ST HELENS AERODROME,12/12/2022,1.7,7.0, ,19.2,14.3,97,72,2.17,6.13
ST HELENS AERODROME,13/12/2022,4.3,13.4, ,18.5,10.4,97,48,4.37,25.68
ST HELENS AERODROME,14/12/2022,2.8,3.8, ,15.7,7.3,95,54,5.69,12.26
ST HELENS AERODROME,15/12/2022,3.3,14.6, ,15.2,8.1,86,55,5.82,17.42
ST HELENS AERODROME,16/12/2022,3.6,1.0, ,17.1,9.7,87,64,5.47,22.59
ST HELENS AERODROME,17/12/2022,3.7,0.2, ,16.6,11.1,84,58,4.72,21.25
ST HELENS AERODROME,18/12/2022,4.6,0.0, ,17.6,9.9,90,55,4.36,31.87
ST HELENS AERODROME,19/12/2022,4.1,0.0, ,18.4,7.0,96,59,3.11,28.26
ST HELENS AERODROME,20/12/2022,3.7,0.6, ,18.4,12.0,79,53,3.19,18.64
ST HELENS AERODROME,21/12/2022,3.8,0.2, ,18.2,12.4,87,48,3.12,20.11
ST HELENS AERODROME,22/12/2022,4.3,0.0, ,20.0,11.0,92,55,2.85,26.42
ST HELENS AERODROME,23/12/2022,4.6,0.0, ,21.4,10.7,97,63,2.71,29.72
ST HELENS AERODROME,24/12/2022,5.5,0.0, ,25.1,13.9,88,46,3.54,27.67
ST HELENS AERODROME,25/12/2022,6.6,0.0, ,28.0,11.9,94,31,3.27,32.16
ST HELENS AERODROME,26/12/2022,4.9,0.0, ,22.4,13.2,95,66,2.37,30.80
ST HELENS AERODROME,27/12/2022,5.2,0.0, ,25.2,12.6,98,64,3.72,31.01
ST HELENS AERODROME,28/12/2022,5.8,0.0, ,26.5,16.6,91,38,4.30,24.26
ST HELENS AERODROME,29/12/2022,5.1,0.0, ,19.4,12.6,75,46,3.44,29.34
ST HELENS AERODROME,30/12/2022,2.4,0.0, ,19.4,13.3,98,65,2.76,11.25
ST HELENS AERODROME,31/12/2022,2.6,24.4, ,21.5,15.0,98,84,3.36,14.94
Totals:,,124,74.8, ,,,,,, 
