'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/01/2023,1.6,0.0, ,20.6,17.7,97,85,4.21,6.45
ST HELENS AERODROME,02/01/2023,2.2,0.6, ,22.5,17.8,98,76,4.05,8.57
ST HELENS AERODROME,03/01/2023,2.2,8.0, ,16.4,14.6,95,65,4.45,8.98
ST HELENS AERODROME,04/01/2023,3.3,0.4, ,19.0,12.3,85,60,3.54,15.94
ST HELENS AERODROME,05/01/2023,3.9,0.0, ,19.4,10.7,91,61,3.59,23.96
ST HELENS AERODROME,06/01/2023, ,0.0, , ,12.1,76,58,3.22,17.36
ST HELENS AERODROME,07/01/2023,3.4, , ,20.2,12.6,93,59,2.25,18.52
ST HELENS AERODROME,08/01/2023,4.1,0.8, ,21.7,13.8,97,60,3.14,23.45
ST HELENS AERODROME,09/01/2023,5.2,0.0, ,22.8,11.8,97,52,3.67,30.80
ST HELENS AERODROME,10/01/2023,3.1,0.0, ,19.1,14.2,96,64,3.36,16.20
ST HELENS AERODROME,11/01/2023,4.6,0.0, ,21.5,10.4,95,58,2.74,28.68
ST HELENS AERODROME,12/01/2023,4.9,0.0, ,22.7,15.8,87,55,2.74,27.17
ST HELENS AERODROME,13/01/2023,5.2,0.0, ,24.3,17.7,91,58,2.78,28.07
ST HELENS AERODROME,14/01/2023,1.9,0.0, ,23.7,17.3,96,81,3.52,6.97
ST HELENS AERODROME,15/01/2023,4.2,0.0, ,23.9,19.3,90,60,4.16,19.16
ST HELENS AERODROME,16/01/2023,3.3,0.0, ,18.7,12.8,73,55,3.32,13.62
ST HELENS AERODROME,17/01/2023,1.5,3.6, ,20.4,15.2,98,74,2.75,4.55
ST HELENS AERODROME,18/01/2023,3.2,5.4, ,26.4,16.1,97,62,3.16,12.64
ST HELENS AERODROME,19/01/2023,4.3,7.8, ,18.5,9.0,92,48,2.37,28.03
ST HELENS AERODROME,20/01/2023,4.7,0.0, ,20.7,11.6,92,45,2.66,28.19
ST HELENS AERODROME,21/01/2023,3.8,0.0, ,21.8,10.2,95,58,3.19,20.87
ST HELENS AERODROME,22/01/2023,3.8,0.0, ,22.4,13.0,97,61,2.33,21.64
ST HELENS AERODROME,23/01/2023,3.5,1.8, ,22.0,15.1,96,72,2.23,19.86
ST HELENS AERODROME,24/01/2023,4.2,1.4, ,22.8,14.0,98,64,1.81,25.23
ST HELENS AERODROME,25/01/2023,5.1,0.4, ,26.0,13.4,97,50,3.25,26.38
ST HELENS AERODROME,26/01/2023,4.5,0.0, ,23.5,15.8,83,42,3.23,19.70
ST HELENS AERODROME,27/01/2023,2.7,3.4, ,21.0,12.9,95,63,3.25,12.13
ST HELENS AERODROME,28/01/2023,4.5,0.0, ,28.5,15.4,90,36,3.28,14.38
ST HELENS AERODROME,29/01/2023,1.9,0.4, ,21.0,16.6,97,69,2.91,6.58
ST HELENS AERODROME,30/01/2023,4.3,1.8, ,22.0,11.5,97,56,2.53,26.28
ST HELENS AERODROME,31/01/2023,5.1,0.2, ,24.9,12.3,97,48,3.52,27.64
Totals:,,110.2,36, ,,,,,, 
