'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ST HELENS AERODROME Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ST HELENS AERODROME,01/02/2023,4.4,0.0, ,24.8,13.1,94,45,3.36,19.76
ST HELENS AERODROME,02/02/2023,3.2,1.8, ,19.3,11.6,96,51,4.86,13.75
ST HELENS AERODROME,03/02/2023,3.9,1.0, ,19.2,8.2,95,46,3.56,22.99
ST HELENS AERODROME,04/02/2023,3.0,0.0, ,20.0,8.6,92,52,2.26,15.67
ST HELENS AERODROME,05/02/2023,5.2,3.0, ,24.2,12.6,81,48,3.29,27.84
ST HELENS AERODROME,06/02/2023,4.4,0.0, ,22.8,10.7,95,56,3.10,26.35
ST HELENS AERODROME,07/02/2023,3.4,0.0, ,20.9,10.7,96,47,2.09,18.00
ST HELENS AERODROME,08/02/2023,1.9,0.8, ,16.6,12.7,96,62,2.18,7.76
ST HELENS AERODROME,09/02/2023,3.5,0.0, ,21.5,13.4,97,50,2.48,18.37
ST HELENS AERODROME,10/02/2023, ,7.4, , ,15.4,97,80,2.75,8.05
ST HELENS AERODROME,11/02/2023,4.2, , ,21.9,15.4,96,65,2.51,26.02
ST HELENS AERODROME,12/02/2023,3.3,0.2, ,25.3,13.5,97,59,2.84,14.84
ST HELENS AERODROME,13/02/2023,3.8,0.4, ,21.0,12.2,84,44,3.25,17.29
ST HELENS AERODROME,14/02/2023,4.1,0.0, ,20.4,12.6,90,47,2.65,23.55
ST HELENS AERODROME,15/02/2023,3.6,0.0, ,22.5,12.6,95,66,3.52,20.51
ST HELENS AERODROME,16/02/2023,3.3,0.0, ,24.1,12.9,97,61,2.17,17.49
ST HELENS AERODROME,17/02/2023,6.3,0.0, ,32.1,15.2,93,31,4.18,21.67
ST HELENS AERODROME,18/02/2023,3.5,0.0, ,23.4,16.1,95,66,2.95,19.18
ST HELENS AERODROME,19/02/2023,5.1,0.0, ,26.7,12.5,97,41,3.98,23.66
ST HELENS AERODROME,20/02/2023,4.9,0.0, ,26.0,15.0,97,41,4.03,22.07
ST HELENS AERODROME,21/02/2023,3.9,1.0, ,18.7,12.7,97,48,5.10,22.35
ST HELENS AERODROME,22/02/2023,3.4,0.0, ,19.5,10.3,81,44,2.76,16.81
ST HELENS AERODROME,23/02/2023,3.2,0.0, ,22.6,11.9,89,59,3.46,15.25
ST HELENS AERODROME,24/02/2023,3.8,0.0, ,23.6,13.7,97,59,3.45,20.61
ST HELENS AERODROME,25/02/2023,5.7,0.0, ,30.2,16.5,93,33,3.84,22.23
ST HELENS AERODROME,26/02/2023,2.5,35.8, ,21.1,15.8,98,76,1.96,14.11
ST HELENS AERODROME,27/02/2023,3.5,1.2, ,19.5,14.1,88,57,3.82,19.03
ST HELENS AERODROME,28/02/2023,2.3,0.0, ,20.3,14.1,93,64,2.38,10.32
Totals:,,103.3,52.6, ,,,,,, 
