'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/01/2020,3.8,0.4, ,20.1,5.6,89,45,4.55,16.69
SHEFFIELD SCHOOL FARM,02/01/2020,5.8,0.0, ,23.8,10.0,78,29,4.04,26.33
SHEFFIELD SCHOOL FARM,03/01/2020,5.2,0.0, ,23.4,10.0,90,43,2.48,29.34
SHEFFIELD SCHOOL FARM,04/01/2020,4.0,0.0, ,20.6,11.8,85,26,4.56,9.40
SHEFFIELD SCHOOL FARM,05/01/2020,4.5,0.0, ,21.5,9.6,76,32,2.71,20.79
SHEFFIELD SCHOOL FARM,06/01/2020,5.3,0.0, ,22.9,7.6,89,33,2.69,29.75
SHEFFIELD SCHOOL FARM,07/01/2020,3.9,0.0, ,23.4,12.3,98,43,1.88,19.06
SHEFFIELD SCHOOL FARM,08/01/2020,5.5,0.0, ,25.2,8.7,99,36,2.60,30.23
SHEFFIELD SCHOOL FARM,09/01/2020,4.3,0.0, ,24.2,12.2,99,49,2.12,22.42
SHEFFIELD SCHOOL FARM,10/01/2020,1.9,0.4, ,19.6,15.3,99,62,4.83,3.02
SHEFFIELD SCHOOL FARM,11/01/2020,4.8,0.6, ,17.0,9.5,71,43,6.83,24.85
SHEFFIELD SCHOOL FARM,12/01/2020,5.8,0.2, ,24.1,8.6,78,32,3.17,30.14
SHEFFIELD SCHOOL FARM,13/01/2020,4.9,0.2, ,22.8,9.3,91,40,2.58,27.19
SHEFFIELD SCHOOL FARM,14/01/2020,5.7,0.0, ,27.5,12.6,91,38,2.89,27.50
SHEFFIELD SCHOOL FARM,15/01/2020,2.7,0.0, ,23.8,15.0,92,57,2.71,9.22
SHEFFIELD SCHOOL FARM,16/01/2020,3.2,0.2, ,20.9,15.9,100,46,2.98,13.47
SHEFFIELD SCHOOL FARM,17/01/2020,5.6,0.2, ,22.0,6.2,86,25,3.66,29.40
SHEFFIELD SCHOOL FARM,18/01/2020,4.2,0.2, ,19.8,9.3,81,37,3.85,18.45
SHEFFIELD SCHOOL FARM,19/01/2020,3.8,0.0, ,24.2,11.5,78,42,2.74,13.62
SHEFFIELD SCHOOL FARM,20/01/2020,4.5,0.0, ,24.6,13.6,84,45,4.38,16.47
SHEFFIELD SCHOOL FARM,21/01/2020,4.8,0.0, ,23.2,10.6,88,48,3.70,25.28
SHEFFIELD SCHOOL FARM,22/01/2020,2.5,0.0, ,21.3,10.9,96,57,2.73,9.14
SHEFFIELD SCHOOL FARM,23/01/2020,1.7,1.0, ,14.5,10.5,99,72,5.89,7.51
SHEFFIELD SCHOOL FARM,24/01/2020,4.0, , ,19.3,8.1,91,50,6.06,19.84
SHEFFIELD SCHOOL FARM,25/01/2020,2.1, , ,18.5,12.2,99,69,4.26,8.33
SHEFFIELD SCHOOL FARM,26/01/2020,4.2, , ,19.8,13.5,99,45,5.82,20.46
SHEFFIELD SCHOOL FARM,27/01/2020,3.6, , ,20.4,9.0,83,44,3.36,15.21
SHEFFIELD SCHOOL FARM,28/01/2020,4.0, , ,21.4,11.0,84,57,4.36,20.04
SHEFFIELD SCHOOL FARM,29/01/2020,5.5, , ,26.2,10.6,98,43,3.57,28.34
SHEFFIELD SCHOOL FARM,30/01/2020,6.1, , ,29.6,11.2,99,33,3.07,28.45
SHEFFIELD SCHOOL FARM,31/01/2020,4.5, , ,31.6,12.6,96,23,1.80,16.60
Totals:,,132.4,3.4, ,,,,,, 
