'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/02/2020,2.3, , ,22.9,19.1,100,59,4.52,5.50
SHEFFIELD SCHOOL FARM,02/02/2020,3.6, , ,18.0,7.2,92,47,6.74,15.27
SHEFFIELD SCHOOL FARM,03/02/2020,4.0, , ,14.3,6.8,87,46,5.96,27.45
SHEFFIELD SCHOOL FARM,04/02/2020, , , , ,3.3,86,45,2.63,28.16
SHEFFIELD SCHOOL FARM,05/02/2020, , , , , ,86,48,2.21,27.95
SHEFFIELD SCHOOL FARM,06/02/2020, , , ,21.3, ,86,52,2.26,18.34
SHEFFIELD SCHOOL FARM,07/02/2020,5.0,0.0, ,26.3,11.4,98,42,3.06,25.08
SHEFFIELD SCHOOL FARM,08/02/2020,5.1,0.0, ,24.4,12.4,84,47,4.53,24.25
SHEFFIELD SCHOOL FARM,09/02/2020,4.3,0.0, ,22.1,10.6,86,46,4.79,18.71
SHEFFIELD SCHOOL FARM,10/02/2020,2.6,0.0, ,20.1,12.6,99,58,5.66,7.42
SHEFFIELD SCHOOL FARM,11/02/2020,4.6,5.2, ,27.3,14.9,99,56,3.56,22.05
SHEFFIELD SCHOOL FARM,12/02/2020,5.0,0.0, ,28.1,15.0,99,48,2.98,24.05
SHEFFIELD SCHOOL FARM,13/02/2020,5.4,0.0, ,25.8,12.5,84,43,3.96,25.92
SHEFFIELD SCHOOL FARM,14/02/2020,1.7,2.0, ,21.9,14.5,100,72,3.21,5.12
SHEFFIELD SCHOOL FARM,15/02/2020,2.9,1.4, ,22.9,15.0,100,62,2.49,13.88
SHEFFIELD SCHOOL FARM,16/02/2020,4.9,0.2, ,22.6,5.9,88,32,3.70,25.86
SHEFFIELD SCHOOL FARM,17/02/2020,4.5,0.0, ,21.1,5.8,80,36,3.12,25.65
SHEFFIELD SCHOOL FARM,18/02/2020,1.8,0.0, ,17.4,9.4,98,64,2.26,8.17
SHEFFIELD SCHOOL FARM,19/02/2020,2.9,14.6, ,19.9,10.7,99,48,2.01,15.00
SHEFFIELD SCHOOL FARM,20/02/2020,3.9,2.4, ,19.9,6.0,96,48,3.35,24.35
SHEFFIELD SCHOOL FARM,21/02/2020,3.2,0.0, ,18.4,9.1,76,39,2.55,14.44
SHEFFIELD SCHOOL FARM,22/02/2020,3.7,0.0, ,20.0,6.0,94,43,2.07,23.39
SHEFFIELD SCHOOL FARM,23/02/2020,3.3,0.0, ,23.1,9.3,94,53,2.13,17.76
SHEFFIELD SCHOOL FARM,24/02/2020,2.5,0.0, ,21.4,10.7,99,59,1.69,13.18
SHEFFIELD SCHOOL FARM,25/02/2020,4.1,0.0, ,23.3,11.0,99,44,3.39,20.88
SHEFFIELD SCHOOL FARM,26/02/2020,3.4,1.8, ,15.2,9.0,92,45,5.85,18.83
SHEFFIELD SCHOOL FARM,27/02/2020,3.4,0.0, ,17.7,7.1,80,56,7.88,14.01
SHEFFIELD SCHOOL FARM,28/02/2020,4.4,0.0, ,18.4,8.8,78,40,6.02,21.95
SHEFFIELD SCHOOL FARM,29/02/2020,4.9,0.0, ,25.2,8.6,94,35,3.99,22.94
Totals:,,97.4,27.6, ,,,,,, 
