'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/03/2020,1.5,0.0, ,17.4,7.7,99,69,2.21,6.52
SHEFFIELD SCHOOL FARM,02/03/2020,3.6,10.8, ,16.0,10.1,99,44,5.24,22.61
SHEFFIELD SCHOOL FARM,03/03/2020,4.1,0.0, ,21.1,8.6,81,38,3.12,22.38
SHEFFIELD SCHOOL FARM,04/03/2020,2.1,0.0, ,18.5,10.0,85,59,3.04,6.30
SHEFFIELD SCHOOL FARM,05/03/2020,1.2,28.8, ,17.8,13.9,100,68,3.81,0.98
SHEFFIELD SCHOOL FARM,06/03/2020,4.6,46.2, ,22.6,14.2,70,38,3.76,21.21
SHEFFIELD SCHOOL FARM,07/03/2020,2.8,0.0, ,18.3,8.1,84,49,2.62,15.09
SHEFFIELD SCHOOL FARM,08/03/2020,3.0,0.0, ,18.1,6.9,84,49,2.83,17.64
SHEFFIELD SCHOOL FARM,09/03/2020,2.3,0.0, ,17.0,7.8,86,57,2.30,12.28
SHEFFIELD SCHOOL FARM,10/03/2020,3.0,0.0, ,18.9,9.2,94,53,1.97,19.47
SHEFFIELD SCHOOL FARM,11/03/2020,3.1,0.0, ,19.3,10.5,91,50,1.88,20.55
SHEFFIELD SCHOOL FARM,12/03/2020,2.3,0.0, ,22.7,9.5,94,58,1.55,11.89
SHEFFIELD SCHOOL FARM,13/03/2020,1.6,3.4, ,15.4,11.6,99,53,4.09,1.66
SHEFFIELD SCHOOL FARM,14/03/2020,2.5,9.4, ,15.3,5.2,80,47,2.93,13.66
SHEFFIELD SCHOOL FARM,15/03/2020,2.9,0.0, ,19.6,7.5,84,46,1.65,19.30
SHEFFIELD SCHOOL FARM,16/03/2020,2.4,0.0, ,18.4,10.3,91,54,2.22,12.96
SHEFFIELD SCHOOL FARM,17/03/2020,2.1,0.0, ,19.5,8.1,100,64,1.76,12.16
SHEFFIELD SCHOOL FARM,18/03/2020,1.4,0.2, ,18.8,11.9,100,71,2.36,4.98
SHEFFIELD SCHOOL FARM,19/03/2020,1.3,0.6, ,17.2,9.9,100,67,1.35,5.42
SHEFFIELD SCHOOL FARM,20/03/2020,2.5,18.2, ,18.3,9.2,100,57,5.16,11.72
SHEFFIELD SCHOOL FARM,21/03/2020,2.2,0.2, ,18.3,8.4,95,58,1.93,13.49
SHEFFIELD SCHOOL FARM,22/03/2020,3.3,0.0, ,17.1,8.3,80,45,4.56,17.88
SHEFFIELD SCHOOL FARM,23/03/2020,2.3,0.0, ,15.8,3.6,90,53,1.88,17.84
SHEFFIELD SCHOOL FARM,24/03/2020,2.2,0.0, ,17.4,5.3,95,55,1.35,17.26
SHEFFIELD SCHOOL FARM,25/03/2020,2.4,0.0, ,17.6,6.7,99,50,2.52,15.20
SHEFFIELD SCHOOL FARM,26/03/2020,2.2,0.0, ,16.5,4.3,92,56,2.42,15.48
SHEFFIELD SCHOOL FARM,27/03/2020,2.0,0.0, ,19.0,8.4,95,57,1.34,12.42
SHEFFIELD SCHOOL FARM,28/03/2020,2.4,0.0, ,21.6,11.7,97,54,2.18,13.12
SHEFFIELD SCHOOL FARM,29/03/2020,1.0,0.0, ,18.5,11.8,99,77,2.41,2.37
SHEFFIELD SCHOOL FARM,30/03/2020,2.0,22.4, ,16.6,10.3,99,59,3.75,9.29
SHEFFIELD SCHOOL FARM,31/03/2020,2.1,0.4, ,18.2,6.8,95,58,2.86,12.01
Totals:,,74.4,140.6, ,,,,,, 
