'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/04/2020,1.8,0.0, ,18.5,10.0,94,58,1.62,9.84
SHEFFIELD SCHOOL FARM,02/04/2020,0.9,1.8, ,14.4,11.4,100,76,2.68,1.40
SHEFFIELD SCHOOL FARM,03/04/2020,1.2,30.2, ,16.7,9.3,99,78,3.59,4.39
SHEFFIELD SCHOOL FARM,04/04/2020,2.0,36.4, ,13.4,10.7,99,57,5.53,11.83
SHEFFIELD SCHOOL FARM,05/04/2020,1.6,13.8, ,10.3,2.8,98,60,4.62,11.49
SHEFFIELD SCHOOL FARM,06/04/2020,2.2,0.0, ,14.9,3.0,89,50,3.47,14.86
SHEFFIELD SCHOOL FARM,07/04/2020,1.8,0.0, ,16.4,2.9,91,46,1.09,14.56
SHEFFIELD SCHOOL FARM,08/04/2020,1.9,0.2, ,16.9,5.5,93,51,1.74,14.45
SHEFFIELD SCHOOL FARM,09/04/2020,1.5,0.0, ,16.6,9.4,99,64,1.43,9.97
SHEFFIELD SCHOOL FARM,10/04/2020,1.3,0.0, ,17.0,7.3,99,76,3.44,5.75
SHEFFIELD SCHOOL FARM,11/04/2020,2.3,5.8, ,14.3,7.5,100,44,4.84,12.98
SHEFFIELD SCHOOL FARM,12/04/2020,2.5,0.0, ,15.2,7.0,78,58,6.03,13.21
SHEFFIELD SCHOOL FARM,13/04/2020,1.3,0.0, ,15.3,5.9,91,63,1.63,6.22
SHEFFIELD SCHOOL FARM,14/04/2020,1.2,0.0, ,15.8,7.3,100,70,2.51,5.92
SHEFFIELD SCHOOL FARM,15/04/2020,0.7,6.2, ,14.7,10.9,100,91,1.25,2.68
SHEFFIELD SCHOOL FARM,16/04/2020,2.2,11.2, ,15.3,10.6,100,53,5.99,11.58
SHEFFIELD SCHOOL FARM,17/04/2020,2.1,3.4, ,11.6,6.6,93,57,9.54,11.74
SHEFFIELD SCHOOL FARM,18/04/2020,2.1,0.0, ,13.2,6.8,84,48,3.95,11.42
SHEFFIELD SCHOOL FARM,19/04/2020,1.4,0.0, ,15.6,3.3,99,55,1.36,11.37
SHEFFIELD SCHOOL FARM,20/04/2020,2.0,22.8, ,15.2,9.1,100,52,6.20,5.53
SHEFFIELD SCHOOL FARM,21/04/2020,1.2,7.4, ,13.6,6.0,99,71,3.41,8.13
SHEFFIELD SCHOOL FARM,22/04/2020,2.2,4.4, ,13.3,8.4,87,55,6.49,11.20
SHEFFIELD SCHOOL FARM,23/04/2020,1.1,0.0, ,13.7,5.3,99,70,2.50,6.12
SHEFFIELD SCHOOL FARM,24/04/2020,1.6,6.0, ,14.8,8.4,99,60,4.98,7.15
SHEFFIELD SCHOOL FARM,25/04/2020,1.0,0.0, ,14.9,9.3,100,83,4.25,5.96
SHEFFIELD SCHOOL FARM,26/04/2020,1.9,0.8, ,12.9,11.4,99,52,6.48,10.33
SHEFFIELD SCHOOL FARM,27/04/2020,1.7,0.0, ,15.4,5.8,98,63,5.31,9.33
SHEFFIELD SCHOOL FARM,28/04/2020,1.2,0.0, ,14.3,9.5,99,66,3.29,4.99
SHEFFIELD SCHOOL FARM,29/04/2020,0.8,1.0, ,14.1,8.8,100,81,3.15,2.21
SHEFFIELD SCHOOL FARM,30/04/2020,0.9,18.8, ,12.7,5.8,100,76,1.50,7.50
Totals:,,47.6,170.2, ,,,,,, 
