'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/05/2020,1.2,0.8, ,12.9,3.7,99,59,2.65,9.61
SHEFFIELD SCHOOL FARM,02/05/2020,2.0,0.4, ,11.6,4.2,86,53,7.39,8.48
SHEFFIELD SCHOOL FARM,03/05/2020,1.7,0.0, ,11.4,6.1,79,50,3.92,4.70
SHEFFIELD SCHOOL FARM,04/05/2020,1.3,0.0, ,16.6,5.6,87,54,1.80,10.37
SHEFFIELD SCHOOL FARM,05/05/2020,1.2,0.0, ,15.4,3.0,99,62,2.53,10.24
SHEFFIELD SCHOOL FARM,06/05/2020,1.1,0.0, ,14.8,7.0,99,69,2.83,7.75
SHEFFIELD SCHOOL FARM,07/05/2020,1.0,0.0, ,16.3,8.8,100,68,1.85,6.45
SHEFFIELD SCHOOL FARM,08/05/2020,1.1,4.0, ,13.6,8.8,99,68,3.72,5.62
SHEFFIELD SCHOOL FARM,09/05/2020,1.1,14.2, ,11.0,8.8,99,66,4.51,5.43
SHEFFIELD SCHOOL FARM,10/05/2020,1.3,0.0, ,11.2,3.3,91,55,3.30,8.37
SHEFFIELD SCHOOL FARM,11/05/2020,1.3,0.0, ,14.9,5.4,94,64,3.53,5.88
SHEFFIELD SCHOOL FARM,12/05/2020,0.7,0.6, ,11.5,8.6,99,83,4.97,2.72
SHEFFIELD SCHOOL FARM,13/05/2020,1.5,3.4, ,10.5,4.6,89,50,4.46,9.16
SHEFFIELD SCHOOL FARM,14/05/2020,1.2,0.0, ,14.2,3.3,94,60,2.83,8.61
SHEFFIELD SCHOOL FARM,15/05/2020,0.9,0.0, ,14.3,5.3,100,65,1.87,8.79
SHEFFIELD SCHOOL FARM,16/05/2020,0.9,0.0, ,12.6,4.5,100,67,2.35,5.12
SHEFFIELD SCHOOL FARM,17/05/2020,0.9,0.0, ,15.1,6.7,100,75,2.58,6.83
SHEFFIELD SCHOOL FARM,18/05/2020,0.7,0.2, ,14.1,7.0,100,64,1.11,6.05
SHEFFIELD SCHOOL FARM,19/05/2020,0.6,0.0, ,13.5,9.3,100,85,1.03,3.35
SHEFFIELD SCHOOL FARM,20/05/2020,1.2,13.0, ,12.9,10.3,100,56,3.80,5.35
SHEFFIELD SCHOOL FARM,21/05/2020,1.0,4.2, ,10.9,3.5,99,60,3.41,7.23
SHEFFIELD SCHOOL FARM,22/05/2020,0.6,0.0, ,12.8,1.0,95,51,0.88,8.54
SHEFFIELD SCHOOL FARM,23/05/2020,0.6,0.2, ,13.4,-0.1,99,61,0.85,8.46
SHEFFIELD SCHOOL FARM,24/05/2020,0.7,0.0, ,11.8,0.5,98,55,1.26,8.39
SHEFFIELD SCHOOL FARM,25/05/2020,0.6,0.4, ,9.2,0.9,99,70,1.93,8.32
SHEFFIELD SCHOOL FARM,26/05/2020,0.5,0.0, ,9.3,0.7,99,84,1.66,3.62
SHEFFIELD SCHOOL FARM,27/05/2020,0.5,0.8, ,12.1,2.9,100,90,2.01,2.45
SHEFFIELD SCHOOL FARM,28/05/2020,0.8,6.0, ,14.1,8.6,100,71,2.47,7.48
SHEFFIELD SCHOOL FARM,29/05/2020,0.7,0.2, ,14.0,6.6,100,79,2.99,4.93
SHEFFIELD SCHOOL FARM,30/05/2020,1.0,0.0, ,12.4,7.7,99,70,4.57,1.91
SHEFFIELD SCHOOL FARM,31/05/2020,0.8,13.8, ,11.2,6.0,99,75,4.16,5.89
Totals:,,30.7,62.2, ,,,,,, 
