'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/06/2020,0.7,11.0, ,11.9,6.3,99,69,1.75,3.74
SHEFFIELD SCHOOL FARM,02/06/2020,1.3,2.2, ,13.4,4.4,99,60,4.89,5.26
SHEFFIELD SCHOOL FARM,03/06/2020,1.5,0.0, ,11.9,5.9,72,39,3.29,7.83
SHEFFIELD SCHOOL FARM,04/06/2020,0.6,0.0, ,11.4,0.7,91,60,1.66,7.80
SHEFFIELD SCHOOL FARM,05/06/2020,0.8,0.0, ,12.9,2.2,96,70,3.35,6.55
SHEFFIELD SCHOOL FARM,06/06/2020,0.6,0.0, ,10.3,2.7,95,65,1.62,6.47
SHEFFIELD SCHOOL FARM,07/06/2020,0.5,0.0, ,11.1,-1.5,94,55,0.99,7.67
SHEFFIELD SCHOOL FARM,08/06/2020,0.5,0.2, ,11.6,0.1,95,61,1.13,7.24
SHEFFIELD SCHOOL FARM,09/06/2020,0.7,0.2, ,10.8,-1.5,99,69,2.59,6.11
SHEFFIELD SCHOOL FARM,10/06/2020,0.7,0.0, ,10.6,1.4,99,74,3.02,3.46
SHEFFIELD SCHOOL FARM,11/06/2020,0.6,0.0, ,11.3,3.8,99,72,2.48,5.09
SHEFFIELD SCHOOL FARM,12/06/2020,0.4,6.2, ,9.6,4.8,99,91,3.55,1.85
SHEFFIELD SCHOOL FARM,13/06/2020,0.7,12.4, ,12.8,5.6,100,71,2.03,3.46
SHEFFIELD SCHOOL FARM,14/06/2020,0.9,27.6, ,11.1,8.3,99,68,4.73,5.71
SHEFFIELD SCHOOL FARM,15/06/2020,0.9,11.4, ,12.6,8.8,99,76,6.66,5.37
SHEFFIELD SCHOOL FARM,16/06/2020,1.4,2.2, ,13.0,8.7,96,63,6.98,5.52
SHEFFIELD SCHOOL FARM,17/06/2020,0.5,2.8, ,10.3,0.3,93,58,1.46,7.14
SHEFFIELD SCHOOL FARM,18/06/2020,0.4,0.0, ,9.3,1.8,99,80,1.35,3.42
SHEFFIELD SCHOOL FARM,19/06/2020,0.5,0.0, ,13.6,5.5,99,77,1.21,3.57
SHEFFIELD SCHOOL FARM,20/06/2020,0.6,4.6, ,9.6,8.4,99,80,2.85,2.22
SHEFFIELD SCHOOL FARM,21/06/2020,0.4,10.8, ,12.4,3.5,99,70,1.17,6.67
SHEFFIELD SCHOOL FARM,22/06/2020,0.5,3.6, ,10.1,3.7,99,73,1.06,3.60
SHEFFIELD SCHOOL FARM,23/06/2020,1.1,5.2, ,14.7,5.0,99,62,3.69,5.09
SHEFFIELD SCHOOL FARM,24/06/2020,0.9,0.0, ,14.8,7.7,98,65,3.12,7.02
SHEFFIELD SCHOOL FARM,25/06/2020,0.7,6.4, ,11.4,9.3,99,70,2.64,4.12
SHEFFIELD SCHOOL FARM,26/06/2020,1.0,1.0, ,9.6,3.5,92,57,3.71,7.36
SHEFFIELD SCHOOL FARM,27/06/2020,0.4,0.0, ,11.4,0.6,98,55,0.81,7.56
SHEFFIELD SCHOOL FARM,28/06/2020,0.4,0.0, ,10.8,-0.3,99,70,1.38,7.65
SHEFFIELD SCHOOL FARM,29/06/2020,0.5,0.2, ,11.1,0.9,99,74,1.69,6.89
SHEFFIELD SCHOOL FARM,30/06/2020,0.6,0.0, ,11.2,5.2,99,73,1.75,4.74
Totals:,,21.3,108, ,,,,,, 
