'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/07/2020,0.6,0.0, ,12.1,6.6,99,77,1.61,3.58
SHEFFIELD SCHOOL FARM,02/07/2020,0.8,23.0, ,10.1,6.7,99,71,5.40,6.33
SHEFFIELD SCHOOL FARM,03/07/2020,1.0,0.6, ,9.9,0.7,91,57,3.45,7.56
SHEFFIELD SCHOOL FARM,04/07/2020,1.3,0.0, ,13.7,2.9,92,57,4.38,7.13
SHEFFIELD SCHOOL FARM,05/07/2020,1.8,0.0, ,14.6,4.3,73,55,5.42,7.83
SHEFFIELD SCHOOL FARM,06/07/2020,1.2,0.0, ,13.3,5.1,84,57,3.20,6.73
SHEFFIELD SCHOOL FARM,07/07/2020,0.6,0.0, ,8.6,0.8,95,58,1.77,7.99
SHEFFIELD SCHOOL FARM,08/07/2020,0.4,0.0, ,6.9,-0.3,100,87,0.95,3.48
SHEFFIELD SCHOOL FARM,09/07/2020,0.4,2.2, ,9.1,1.0,100,80,0.77,3.07
SHEFFIELD SCHOOL FARM,10/07/2020,0.5,0.4, ,10.7,5.3,100,83,1.75,4.28
SHEFFIELD SCHOOL FARM,11/07/2020,0.4,0.0, ,10.9,2.7,100,70,0.65,5.54
SHEFFIELD SCHOOL FARM,12/07/2020,0.7,0.0, ,12.2,4.1,99,66,1.75,6.20
SHEFFIELD SCHOOL FARM,13/07/2020,0.7,0.2, ,10.6,1.1,99,64,2.44,8.24
SHEFFIELD SCHOOL FARM,14/07/2020,0.7,0.2, ,10.1,-1.1,99,66,2.68,8.39
SHEFFIELD SCHOOL FARM,15/07/2020,0.5,0.0, ,9.7,-1.0,99,72,1.52,7.41
SHEFFIELD SCHOOL FARM,16/07/2020,0.6,0.2, ,11.0,0.6,99,65,1.56,8.52
SHEFFIELD SCHOOL FARM,17/07/2020,0.5,0.0, ,11.0,0.9,99,60,1.02,8.31
SHEFFIELD SCHOOL FARM,18/07/2020,0.5,1.8, ,9.1,1.9,100,85,1.67,2.71
SHEFFIELD SCHOOL FARM,19/07/2020,0.9,3.2, ,10.0,5.9,100,71,5.51,2.79
SHEFFIELD SCHOOL FARM,20/07/2020,1.6,11.2, ,9.8,3.9,84,52,5.78,8.36
SHEFFIELD SCHOOL FARM,21/07/2020,1.2,0.0, ,12.7,3.5,99,60,4.10,8.87
SHEFFIELD SCHOOL FARM,22/07/2020,1.4,0.0, ,11.9,3.4,80,54,3.90,8.98
SHEFFIELD SCHOOL FARM,23/07/2020, ,0.0, , ,1.6,91,57,2.05,9.01
SHEFFIELD SCHOOL FARM,24/07/2020, , , ,9.2, ,99,72,1.59,6.76
SHEFFIELD SCHOOL FARM,25/07/2020,0.5,0.0, ,11.2,1.3,99,54,0.51,8.88
SHEFFIELD SCHOOL FARM,26/07/2020,0.6,0.2, ,10.6,0.6,99,64,0.84,8.19
SHEFFIELD SCHOOL FARM,27/07/2020,0.9,1.0, ,12.1,3.1,100,62,2.33,7.72
SHEFFIELD SCHOOL FARM,28/07/2020,0.9,0.0, ,12.1,1.4,97,60,1.99,9.39
SHEFFIELD SCHOOL FARM,29/07/2020,1.2,0.0, ,13.5,1.9,100,58,3.03,9.50
SHEFFIELD SCHOOL FARM,30/07/2020,1.4,0.0, ,12.0,3.2,81,52,3.06,9.56
SHEFFIELD SCHOOL FARM,31/07/2020,1.1,0.0, ,13.2,2.4,99,63,3.05,8.91
Totals:,,24.9,44.2, ,,,,,, 
