'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/08/2020,0.6,0.0, ,12.0,5.0,100,87,2.86,4.44
SHEFFIELD SCHOOL FARM,02/08/2020,1.2,0.6, ,11.0,4.9,99,61,4.50,7.71
SHEFFIELD SCHOOL FARM,03/08/2020,1.4,5.0, ,9.0,5.2,99,51,5.12,8.69
SHEFFIELD SCHOOL FARM,04/08/2020,1.2,0.0, ,8.1,-0.8,91,46,2.83,8.97
SHEFFIELD SCHOOL FARM,05/08/2020,2.1,0.0, ,10.0,1.8,64,42,5.41,10.27
SHEFFIELD SCHOOL FARM,06/08/2020,1.1,0.0, ,12.1,0.7,93,40,1.54,10.59
SHEFFIELD SCHOOL FARM,07/08/2020,1.1,0.0, ,9.7,-1.8,99,58,2.61,10.49
SHEFFIELD SCHOOL FARM,08/08/2020,1.2,0.0, ,10.5,1.8,91,59,2.83,10.75
SHEFFIELD SCHOOL FARM,09/08/2020,0.9,0.0, ,11.9,-0.5,99,51,1.03,10.93
SHEFFIELD SCHOOL FARM,10/08/2020,0.7,0.0, ,9.1,-1.0,100,69,1.09,8.18
SHEFFIELD SCHOOL FARM,11/08/2020,0.8,0.0, ,11.6,1.3,100,67,1.03,8.11
SHEFFIELD SCHOOL FARM,12/08/2020,0.6,0.2, ,9.1,5.0,100,88,1.98,2.19
SHEFFIELD SCHOOL FARM,13/08/2020,0.4,7.6, ,9.8,7.2,100,99,2.23,1.68
SHEFFIELD SCHOOL FARM,14/08/2020,0.6,16.2, ,12.8,8.3,100,90,2.31,3.56
SHEFFIELD SCHOOL FARM,15/08/2020,0.7,7.2, ,11.4,8.6,100,89,2.40,4.05
SHEFFIELD SCHOOL FARM,16/08/2020,1.4,8.2, ,15.8,5.5,99,55,2.14,9.20
SHEFFIELD SCHOOL FARM,17/08/2020,1.4,0.4, ,15.4,5.8,93,56,1.68,11.92
SHEFFIELD SCHOOL FARM,18/08/2020,1.2,1.6, ,12.8,4.8,100,64,2.64,8.05
SHEFFIELD SCHOOL FARM,19/08/2020,1.0,6.4, ,10.7,3.3,100,75,2.25,9.91
SHEFFIELD SCHOOL FARM,20/08/2020,1.5,3.0, ,10.9,3.5,99,62,5.48,11.05
SHEFFIELD SCHOOL FARM,21/08/2020,0.7,1.0, ,7.0,0.9,99,81,2.56,4.92
SHEFFIELD SCHOOL FARM,22/08/2020,1.3,6.8, ,10.2,-1.9,100,54,2.24,11.87
SHEFFIELD SCHOOL FARM,23/08/2020,2.0,0.2, ,13.0,3.1,77,49,3.56,12.41
SHEFFIELD SCHOOL FARM,24/08/2020,1.8,0.0, ,11.4,2.4,82,48,3.16,12.93
SHEFFIELD SCHOOL FARM,25/08/2020,1.6,0.0, ,11.3,-0.3,94,51,2.89,12.59
SHEFFIELD SCHOOL FARM,26/08/2020,1.6,0.0, ,11.6,3.0,93,57,3.47,11.34
SHEFFIELD SCHOOL FARM,27/08/2020,1.5,0.0, ,12.3,4.3,99,65,6.49,7.32
SHEFFIELD SCHOOL FARM,28/08/2020,3.1,9.0, ,14.7,4.8,76,41,6.79,13.30
SHEFFIELD SCHOOL FARM,29/08/2020,1.9,0.0, ,15.6,7.0,100,60,3.91,13.06
SHEFFIELD SCHOOL FARM,30/08/2020,1.4,0.2, ,13.5,3.5,100,68,4.60,7.17
SHEFFIELD SCHOOL FARM,31/08/2020,2.0,0.6, ,10.3,3.3,82,53,4.63,13.37
Totals:,,40,74.2, ,,,,,, 
