'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/09/2020,1.1,0.0, ,9.2,-0.7,92,68,1.93,8.44
SHEFFIELD SCHOOL FARM,02/09/2020,1.3,0.0, ,14.6,4.9,100,55,1.45,7.22
SHEFFIELD SCHOOL FARM,03/09/2020,1.2,3.4, ,12.3,6.0,100,78,5.43,7.47
SHEFFIELD SCHOOL FARM,04/09/2020,2.0,6.6, ,13.0,4.8,99,58,6.56,12.51
SHEFFIELD SCHOOL FARM,05/09/2020,1.9,8.4, ,13.2,4.2,100,56,3.16,14.10
SHEFFIELD SCHOOL FARM,06/09/2020,1.2,0.2, ,12.2,2.7,100,72,2.82,8.59
SHEFFIELD SCHOOL FARM,07/09/2020,1.8,0.0, ,15.5,4.3,100,58,1.93,14.22
SHEFFIELD SCHOOL FARM,08/09/2020,1.9,1.6, ,15.6,6.9,99,51,3.33,8.90
SHEFFIELD SCHOOL FARM,09/09/2020,2.0,1.8, ,15.2,3.0,97,46,1.45,15.93
SHEFFIELD SCHOOL FARM,10/09/2020,1.6,0.2, ,12.8,4.3,99,55,1.90,12.03
SHEFFIELD SCHOOL FARM,11/09/2020,1.2,0.0, ,12.9,6.7,100,77,2.35,7.35
SHEFFIELD SCHOOL FARM,12/09/2020,0.9,5.8, ,10.8,8.9,100,81,1.81,4.39
SHEFFIELD SCHOOL FARM,13/09/2020,2.3,0.0, ,13.5,2.8,99,53,5.78,13.56
SHEFFIELD SCHOOL FARM,14/09/2020,2.8,0.0, ,12.1,5.8,86,50,8.23,16.00
SHEFFIELD SCHOOL FARM,15/09/2020,2.7,0.0, ,14.9,8.2,83,54,5.44,14.38
SHEFFIELD SCHOOL FARM,16/09/2020,1.7,0.0, ,13.3,6.4,99,69,5.31,9.97
SHEFFIELD SCHOOL FARM,17/09/2020,2.4,0.0, ,13.9,7.1,88,45,2.57,15.43
SHEFFIELD SCHOOL FARM,18/09/2020,1.9,0.2, ,13.7,5.0,99,59,1.08,15.32
SHEFFIELD SCHOOL FARM,19/09/2020,1.0,1.2, ,12.3,4.1,100,82,3.46,4.97
SHEFFIELD SCHOOL FARM,20/09/2020,0.8,2.8, ,14.9,8.9,100,89,2.45,3.32
SHEFFIELD SCHOOL FARM,21/09/2020,1.9,9.6, ,14.1,9.8,100,65,3.57,12.71
SHEFFIELD SCHOOL FARM,22/09/2020,1.1,5.2, ,11.6,7.8,100,79,5.90,5.46
SHEFFIELD SCHOOL FARM,23/09/2020,2.7,7.6, ,13.9,6.2,86,57,5.74,16.58
SHEFFIELD SCHOOL FARM,24/09/2020,1.9,0.0, ,11.4,2.7,97,62,3.01,15.26
SHEFFIELD SCHOOL FARM,25/09/2020,0.8,17.2, ,8.4,4.2,99,88,2.54,5.57
SHEFFIELD SCHOOL FARM,26/09/2020,2.3,11.4, ,10.9,3.3,99,54,4.94,18.41
SHEFFIELD SCHOOL FARM,27/09/2020,2.8,0.0, ,11.9,2.0,71,50,4.51,19.61
SHEFFIELD SCHOOL FARM,28/09/2020,2.9,0.0, ,16.7,3.9,92,43,2.41,19.93
SHEFFIELD SCHOOL FARM,29/09/2020,1.6,0.0, ,12.7,2.6,99,62,1.64,10.87
SHEFFIELD SCHOOL FARM,30/09/2020,0.9,1.0, ,11.9,7.4,100,85,3.23,4.26
Totals:,,52.6,84.2, ,,,,,, 
