'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/10/2020,2.7,10.2, ,13.4,4.5,89,49,5.31,15.81
SHEFFIELD SCHOOL FARM,02/10/2020,3.1,0.0, ,18.2,8.1,100,52,5.44,17.51
SHEFFIELD SCHOOL FARM,03/10/2020,2.2,0.2, ,19.7,8.5,100,63,1.90,12.35
SHEFFIELD SCHOOL FARM,04/10/2020,1.6,9.8, ,17.9,11.0,100,72,1.39,7.89
SHEFFIELD SCHOOL FARM,05/10/2020,1.5,28.0, ,12.4,5.8,100,66,1.81,9.00
SHEFFIELD SCHOOL FARM,06/10/2020,2.5,3.2, ,13.4,3.6,98,60,2.24,20.51
SHEFFIELD SCHOOL FARM,07/10/2020,2.4,0.2, ,15.5,2.1,100,57,2.47,16.70
SHEFFIELD SCHOOL FARM,08/10/2020,1.3,14.2, ,13.2,8.3,100,76,6.40,4.40
SHEFFIELD SCHOOL FARM,09/10/2020,2.4,49.6, ,16.8,8.9,100,64,3.68,14.07
SHEFFIELD SCHOOL FARM,10/10/2020,3.3,0.2, ,15.0,9.7,79,54,5.67,19.12
SHEFFIELD SCHOOL FARM,11/10/2020,3.2,0.0, ,15.7,5.7,83,48,3.39,19.80
SHEFFIELD SCHOOL FARM,12/10/2020,2.3,0.0, ,13.8,2.9,99,68,2.88,19.15
SHEFFIELD SCHOOL FARM,13/10/2020,3.5,0.0, ,16.1,6.2,99,38,3.41,22.89
SHEFFIELD SCHOOL FARM,14/10/2020,2.8,0.0, ,14.6,4.0,98,53,3.38,19.51
SHEFFIELD SCHOOL FARM,15/10/2020,1.7,4.6, ,12.8,8.9,100,59,4.29,6.32
SHEFFIELD SCHOOL FARM,16/10/2020,2.8,7.4, ,12.9,0.2,88,51,3.08,21.58
SHEFFIELD SCHOOL FARM,17/10/2020,0.9,5.0, ,9.9,3.2,99,80,3.31,4.17
SHEFFIELD SCHOOL FARM,18/10/2020,3.1,21.0, ,16.1,4.9,99,44,2.53,20.24
SHEFFIELD SCHOOL FARM,19/10/2020,3.5,0.0, ,17.3,6.3,85,51,2.55,23.87
SHEFFIELD SCHOOL FARM,20/10/2020,2.9,0.0, ,15.8,5.4,99,64,2.27,22.00
SHEFFIELD SCHOOL FARM,21/10/2020,2.7,0.0, ,16.4,7.2,100,55,1.59,18.37
SHEFFIELD SCHOOL FARM,22/10/2020,2.9,19.6, ,16.2,9.1,95,63,2.05,19.97
SHEFFIELD SCHOOL FARM,23/10/2020,1.0,1.8, ,13.0,9.4,100,88,1.14,4.66
SHEFFIELD SCHOOL FARM,24/10/2020,3.4,12.0, ,14.8,9.2,100,45,3.88,22.48
SHEFFIELD SCHOOL FARM,25/10/2020,3.6,11.2, ,13.2,2.0,77,42,4.03,25.59
SHEFFIELD SCHOOL FARM,26/10/2020,3.4,5.8, ,15.4,2.0,88,52,3.49,25.26
SHEFFIELD SCHOOL FARM,27/10/2020,3.7,0.2, ,14.5,5.4,78,56,7.17,25.07
SHEFFIELD SCHOOL FARM,28/10/2020,2.4,0.2, ,15.2,5.5,99,58,3.78,14.02
SHEFFIELD SCHOOL FARM,29/10/2020,2.5,5.0, ,15.9,7.9,100,64,2.11,15.98
SHEFFIELD SCHOOL FARM,30/10/2020,2.9,0.0, ,18.2,5.1,100,51,1.19,19.46
SHEFFIELD SCHOOL FARM,31/10/2020,3.3,1.4, ,17.5,10.9,100,68,2.91,23.03
Totals:,,81.5,210.8, ,,,,,, 
