'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/11/2020,3.7,0.0, ,17.8,7.4,100,50,2.35,25.22
SHEFFIELD SCHOOL FARM,02/11/2020,3.6,0.0, ,18.3,8.5,99,56,1.56,24.24
SHEFFIELD SCHOOL FARM,03/11/2020,3.8,0.0, ,21.7,10.0,98,56,1.50,23.57
SHEFFIELD SCHOOL FARM,04/11/2020,4.4,1.4, ,20.5,12.3,100,46,4.93,23.83
SHEFFIELD SCHOOL FARM,05/11/2020,4.1,0.0, ,16.0,3.0,83,39,3.77,27.68
SHEFFIELD SCHOOL FARM,06/11/2020,3.4,0.0, ,15.8,5.8,86,50,5.56,18.50
SHEFFIELD SCHOOL FARM,07/11/2020,4.0,0.0, ,16.3,2.8,80,36,2.47,27.59
SHEFFIELD SCHOOL FARM,08/11/2020,3.5,0.0, ,16.9,5.0,92,48,1.95,23.60
SHEFFIELD SCHOOL FARM,09/11/2020,3.2,0.0, ,18.3,4.5,98,55,1.68,21.35
SHEFFIELD SCHOOL FARM,10/11/2020,4.2,0.0, ,22.4,9.6,93,41,1.49,25.19
SHEFFIELD SCHOOL FARM,11/11/2020,4.2,0.0, ,25.4,9.1,100,41,2.23,20.86
SHEFFIELD SCHOOL FARM,12/11/2020,2.0,14.0, ,18.1,14.6,100,75,4.86,9.91
SHEFFIELD SCHOOL FARM,13/11/2020,3.3,0.4, ,17.2,10.2,99,60,4.40,20.42
SHEFFIELD SCHOOL FARM,14/11/2020,3.9,0.0, ,18.2,6.0,99,43,3.38,23.87
SHEFFIELD SCHOOL FARM,15/11/2020,2.6,0.4, ,18.9,7.9,94,67,2.10,14.39
SHEFFIELD SCHOOL FARM,16/11/2020,3.6,2.2, ,20.1,10.7,98,54,7.16,16.23
SHEFFIELD SCHOOL FARM,17/11/2020,4.8,0.0, ,17.8,7.1,80,35,5.43,25.96
SHEFFIELD SCHOOL FARM,18/11/2020,3.9,0.0, ,18.4,4.9,98,62,2.77,27.92
SHEFFIELD SCHOOL FARM,19/11/2020,4.2,0.0, ,24.6,8.6,99,35,1.28,23.51
SHEFFIELD SCHOOL FARM,20/11/2020,5.9,0.0, ,25.3,8.6,87,25,3.51,27.90
SHEFFIELD SCHOOL FARM,21/11/2020,4.3,0.0, ,20.4,9.3,95,51,2.04,26.98
SHEFFIELD SCHOOL FARM,22/11/2020,3.1,0.0, ,21.0,11.6,97,61,2.56,16.17
SHEFFIELD SCHOOL FARM,23/11/2020,4.7,0.0, ,22.5,13.7,92,48,2.60,25.67
SHEFFIELD SCHOOL FARM,24/11/2020,3.2,1.6, ,19.4,10.7,99,57,2.78,17.11
SHEFFIELD SCHOOL FARM,25/11/2020,3.5,0.0, ,20.1,9.9,99,44,4.11,14.83
SHEFFIELD SCHOOL FARM,26/11/2020,5.9,0.0, ,20.4,10.0,77,32,5.53,30.65
SHEFFIELD SCHOOL FARM,27/11/2020,2.9,0.0, ,18.3,8.5,99,58,3.48,15.02
SHEFFIELD SCHOOL FARM,28/11/2020,1.8,2.2, ,16.1,11.5,99,65,2.12,7.49
SHEFFIELD SCHOOL FARM,29/11/2020,4.1,24.6, ,18.0,10.7,99,47,4.92,24.27
SHEFFIELD SCHOOL FARM,30/11/2020,4.4,0.0, ,19.3,4.5,93,48,1.99,29.90
Totals:,,114.2,46.8, ,,,,,, 
