'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/12/2020,2.8,1.4, ,17.5,10.8,100,52,6.49,9.81
SHEFFIELD SCHOOL FARM,02/12/2020,4.3,7.4, ,14.7,6.0,85,46,7.56,29.35
SHEFFIELD SCHOOL FARM,03/12/2020,3.7,0.0, ,17.7,4.1,91,45,3.91,20.84
SHEFFIELD SCHOOL FARM,04/12/2020,4.4,0.0, ,17.7,6.9,92,43,6.09,24.38
SHEFFIELD SCHOOL FARM,05/12/2020,1.6,0.0, ,14.1,7.0,100,68,3.11,6.58
SHEFFIELD SCHOOL FARM,06/12/2020,3.3,15.2, ,12.8,7.9,94,58,8.14,24.10
SHEFFIELD SCHOOL FARM,07/12/2020,4.0,3.2, ,15.5,5.8,93,50,6.40,27.16
SHEFFIELD SCHOOL FARM,08/12/2020,3.0,0.0, ,15.4,3.4,92,58,4.96,18.70
SHEFFIELD SCHOOL FARM,09/12/2020,5.0,0.0, ,20.4,9.6,96,47,5.18,29.61
SHEFFIELD SCHOOL FARM,10/12/2020,4.9,0.0, ,18.1,6.6,82,34,2.96,31.34
SHEFFIELD SCHOOL FARM,11/12/2020,4.4,0.0, ,19.0,5.9,94,53,1.98,30.41
SHEFFIELD SCHOOL FARM,12/12/2020,4.4,0.0, ,19.3,5.9,99,55,2.08,29.98
SHEFFIELD SCHOOL FARM,13/12/2020,3.6,0.0, ,20.4,7.2,99,58,3.30,20.55
SHEFFIELD SCHOOL FARM,14/12/2020,4.8,0.0, ,24.0,12.3,94,54,2.64,26.77
SHEFFIELD SCHOOL FARM,15/12/2020,5.2,0.0, ,27.3,14.7,98,56,2.36,27.15
SHEFFIELD SCHOOL FARM,16/12/2020,2.9,0.0, ,17.6,11.8,97,59,5.78,12.49
SHEFFIELD SCHOOL FARM,17/12/2020,2.1,4.4, ,20.5,9.3,100,69,2.98,8.68
SHEFFIELD SCHOOL FARM,18/12/2020,5.1,0.0, ,18.4,12.0,100,38,5.69,31.27
SHEFFIELD SCHOOL FARM,19/12/2020,5.2,0.0, ,20.8,6.2,96,31,3.00,30.43
SHEFFIELD SCHOOL FARM,20/12/2020,2.1,1.8, ,15.3,8.2,99,69,2.77,12.18
SHEFFIELD SCHOOL FARM,21/12/2020,3.1,3.8, ,18.9,7.4,99,54,2.88,16.94
SHEFFIELD SCHOOL FARM,22/12/2020,1.3,20.6, ,16.2,11.4,100,86,3.04,6.05
SHEFFIELD SCHOOL FARM,23/12/2020,4.5,28.6, ,19.6,9.9,100,52,4.91,28.28
SHEFFIELD SCHOOL FARM,24/12/2020,4.1,0.0, ,16.7,6.7,80,50,4.68,25.10
SHEFFIELD SCHOOL FARM,25/12/2020,4.5,0.0, ,17.5,4.6,84,41,2.58,29.71
SHEFFIELD SCHOOL FARM,26/12/2020,1.9,0.0, ,16.4,6.9,97,64,3.16,6.87
SHEFFIELD SCHOOL FARM,27/12/2020,1.7,0.0, ,19.3,10.3,100,65,3.40,4.15
SHEFFIELD SCHOOL FARM,28/12/2020,3.8,8.6, ,16.1,4.3,82,43,3.22,23.61
SHEFFIELD SCHOOL FARM,29/12/2020,3.4,0.0, ,19.5,5.3,95,54,3.58,17.67
SHEFFIELD SCHOOL FARM,30/12/2020,4.7,0.8, ,21.0,7.1,98,48,2.18,29.89
SHEFFIELD SCHOOL FARM,31/12/2020,4.1,0.0, ,21.9,10.4,99,51,3.44,21.45
Totals:,,113.9,95.8, ,,,,,, 
