'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/01/2021,3.7,0.0, ,20.6,10.1,88,60,3.48,20.09
SHEFFIELD SCHOOL FARM,02/01/2021,3.0,0.0, ,19.5,11.9,89,61,2.62,15.06
SHEFFIELD SCHOOL FARM,03/01/2021,1.7,0.0, ,17.3,12.4,99,69,3.31,5.97
SHEFFIELD SCHOOL FARM,04/01/2021,3.4,8.6, ,21.0,11.5,99,58,4.28,16.21
SHEFFIELD SCHOOL FARM,05/01/2021,4.2,0.2, ,22.2,9.7,99,51,2.71,23.81
SHEFFIELD SCHOOL FARM,06/01/2021,4.0,0.0, ,22.1,12.6,99,47,2.02,21.27
SHEFFIELD SCHOOL FARM,07/01/2021,4.4,0.0, ,21.2,10.5,99,64,3.05,28.22
SHEFFIELD SCHOOL FARM,08/01/2021,4.6,0.4, ,22.2,12.0,100,64,3.26,28.32
SHEFFIELD SCHOOL FARM,09/01/2021,5.2,0.0, ,23.0,13.9,99,47,2.32,29.71
SHEFFIELD SCHOOL FARM,10/01/2021,4.9,0.0, ,23.3,9.7,99,54,2.23,30.11
SHEFFIELD SCHOOL FARM,11/01/2021,5.6,0.0, ,27.8,11.3,100,34,1.94,28.78
SHEFFIELD SCHOOL FARM,12/01/2021,6.5,4.8, ,25.9,14.4,93,32,4.12,31.19
SHEFFIELD SCHOOL FARM,13/01/2021,1.5,0.0, ,17.7,12.2,98,70,2.08,4.72
SHEFFIELD SCHOOL FARM,14/01/2021,5.1,7.0, ,20.7,9.6,96,41,4.34,29.20
SHEFFIELD SCHOOL FARM,15/01/2021,2.8,2.6, ,16.5,5.9,98,47,3.44,13.40
SHEFFIELD SCHOOL FARM,16/01/2021,4.1,1.4, ,17.2,8.8,73,43,6.06,17.33
SHEFFIELD SCHOOL FARM,17/01/2021,2.4,0.0, ,14.5,7.7,83,55,4.64,7.30
SHEFFIELD SCHOOL FARM,18/01/2021,5.2,0.0, ,18.9,10.8,84,38,7.19,26.59
SHEFFIELD SCHOOL FARM,19/01/2021,5.0,0.0, ,20.2,4.3,69,25,2.41,29.67
SHEFFIELD SCHOOL FARM,20/01/2021,4.8,0.0, ,21.7,4.9,96,40,2.59,30.05
SHEFFIELD SCHOOL FARM,21/01/2021,4.7,0.0, ,22.4,7.9,99,39,2.40,27.00
SHEFFIELD SCHOOL FARM,22/01/2021,5.1,0.0, ,22.7,9.8,99,36,4.56,24.85
SHEFFIELD SCHOOL FARM,23/01/2021,5.8,0.0, ,25.6,10.2,82,39,3.69,29.31
SHEFFIELD SCHOOL FARM,24/01/2021,5.3,0.0, ,26.6,10.6,97,29,1.99,27.33
SHEFFIELD SCHOOL FARM,25/01/2021,4.4,0.0, ,30.8,12.7,99,35,2.44,14.96
SHEFFIELD SCHOOL FARM,26/01/2021,5.3,12.2, ,21.5,14.7,100,38,4.81,28.27
SHEFFIELD SCHOOL FARM,27/01/2021,4.8,0.0, ,21.1,5.1,76,36,3.08,27.22
SHEFFIELD SCHOOL FARM,28/01/2021,4.8,0.0, ,19.7,8.9,72,46,6.28,23.40
SHEFFIELD SCHOOL FARM,29/01/2021,1.6,0.0, ,16.9,11.2,100,65,5.55,1.68
SHEFFIELD SCHOOL FARM,30/01/2021,4.9,55.8, ,23.4,13.0,100,48,3.57,27.39
SHEFFIELD SCHOOL FARM,31/01/2021,2.6,0.0, ,20.9,10.2,95,61,2.36,12.55
Totals:,,131.4,93, ,,,,,, 
