'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/02/2021,2.3,0.8, ,19.8,13.0,99,59,3.49,8.30
SHEFFIELD SCHOOL FARM,02/02/2021,4.6,0.8, ,22.5,7.5,82,41,1.83,28.29
SHEFFIELD SCHOOL FARM,03/02/2021,4.6,0.0, ,21.4,8.7,98,38,3.71,25.14
SHEFFIELD SCHOOL FARM,04/02/2021,3.0,0.0, ,22.1,9.9,99,61,1.85,16.10
SHEFFIELD SCHOOL FARM,05/02/2021,1.4,0.2, ,20.6,14.7,100,72,4.34,1.56
SHEFFIELD SCHOOL FARM,06/02/2021,3.1,66.2, ,20.2,14.2,100,58,4.32,14.50
SHEFFIELD SCHOOL FARM,07/02/2021,4.6,20.8, ,20.7,11.3,99,46,4.04,27.40
SHEFFIELD SCHOOL FARM,08/02/2021,4.6,0.0, ,20.0,9.6,80,45,3.40,26.65
SHEFFIELD SCHOOL FARM,09/02/2021,3.9,0.0, ,19.6,5.5,84,47,3.70,21.28
SHEFFIELD SCHOOL FARM,10/02/2021,3.8,0.0, ,19.0,8.5,86,51,2.31,23.64
SHEFFIELD SCHOOL FARM,11/02/2021,2.3,0.0, ,20.1,8.9,100,59,2.42,9.96
SHEFFIELD SCHOOL FARM,12/02/2021,4.2,47.4, ,20.7,12.1,100,51,6.23,22.71
SHEFFIELD SCHOOL FARM,13/02/2021,3.8,0.0, ,22.1,8.6,98,46,1.71,22.28
SHEFFIELD SCHOOL FARM,14/02/2021,4.1,0.0, ,22.2,12.2,93,58,1.83,25.12
SHEFFIELD SCHOOL FARM,15/02/2021,2.0,0.0, ,19.7,12.2,93,67,2.86,7.27
SHEFFIELD SCHOOL FARM,16/02/2021,3.3,0.0, ,21.6,13.2,90,54,2.33,16.80
SHEFFIELD SCHOOL FARM,17/02/2021,3.0,0.0, ,21.4,11.0,99,60,2.31,16.04
SHEFFIELD SCHOOL FARM,18/02/2021,3.6,0.0, ,21.9,11.9,89,57,3.45,18.99
SHEFFIELD SCHOOL FARM,19/02/2021,3.8,0.0, ,24.0,14.1,91,63,2.80,20.23
SHEFFIELD SCHOOL FARM,20/02/2021,4.0,0.0, ,26.1,14.6,99,60,2.08,21.80
SHEFFIELD SCHOOL FARM,21/02/2021,3.8,0.0, ,23.3,14.4,99,59,2.35,21.55
SHEFFIELD SCHOOL FARM,22/02/2021,3.7,0.0, ,17.7,10.1,91,46,5.63,18.60
SHEFFIELD SCHOOL FARM,23/02/2021,3.6,0.0, ,17.6,5.2,83,41,3.33,20.92
SHEFFIELD SCHOOL FARM,24/02/2021,3.5,0.0, ,18.6,4.9,85,47,2.18,23.17
SHEFFIELD SCHOOL FARM,25/02/2021,2.6,0.0, ,15.6,8.4,93,52,4.88,11.58
SHEFFIELD SCHOOL FARM,26/02/2021,3.9,4.4, ,21.2,7.7,87,42,2.54,22.49
SHEFFIELD SCHOOL FARM,27/02/2021,2.3,0.0, ,18.8,8.3,94,66,2.77,12.28
SHEFFIELD SCHOOL FARM,28/02/2021,3.4,0.0, ,21.5,11.7,99,60,2.36,20.57
Totals:,,96.8,140.6, ,,,,,, 
