'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/03/2021,3.2,0.0, ,19.2,12.2,99,53,5.54,15.21
SHEFFIELD SCHOOL FARM,02/03/2021,3.9,0.0, ,16.5,7.3,67,40,4.09,21.79
SHEFFIELD SCHOOL FARM,03/03/2021, ,0.0, , ,3.1,82,47,3.55,16.68
SHEFFIELD SCHOOL FARM,04/03/2021, , , ,20.6, ,96,41,7.17,21.56
SHEFFIELD SCHOOL FARM,05/03/2021,4.0,0.0, ,18.2,8.0,67,40,3.81,21.88
SHEFFIELD SCHOOL FARM,06/03/2021,3.0,0.0, ,18.3,3.6,91,43,1.57,21.52
SHEFFIELD SCHOOL FARM,07/03/2021,1.9,0.0, ,17.7,6.8,99,64,1.39,11.50
SHEFFIELD SCHOOL FARM,08/03/2021,2.0,0.0, ,20.3,10.5,95,53,1.59,8.89
SHEFFIELD SCHOOL FARM,09/03/2021,3.6,0.0, ,19.1,9.8,76,49,4.42,18.04
SHEFFIELD SCHOOL FARM,10/03/2021,2.4,0.0, ,19.5,6.0,92,57,1.38,14.87
SHEFFIELD SCHOOL FARM,11/03/2021,2.9,0.8, ,21.6,10.9,100,51,1.52,17.65
SHEFFIELD SCHOOL FARM,12/03/2021,2.7,0.0, ,22.4,11.1,100,63,1.34,16.47
SHEFFIELD SCHOOL FARM,13/03/2021,1.3,0.4, ,17.7,13.3,100,66,3.20,1.88
SHEFFIELD SCHOOL FARM,14/03/2021,2.6,8.6, ,15.3,4.1,83,48,3.66,13.32
SHEFFIELD SCHOOL FARM,15/03/2021,4.1,0.2, ,22.5,8.5,99,37,4.38,19.55
SHEFFIELD SCHOOL FARM,16/03/2021,2.3,0.0, ,19.1,11.2,89,56,2.00,12.33
SHEFFIELD SCHOOL FARM,17/03/2021,2.5,0.0, ,18.7,10.6,91,51,2.45,12.43
SHEFFIELD SCHOOL FARM,18/03/2021,1.9,0.0, ,18.5,11.8,99,55,2.77,6.59
SHEFFIELD SCHOOL FARM,19/03/2021,3.1,0.0, ,22.2,11.5,95,48,2.60,16.65
SHEFFIELD SCHOOL FARM,20/03/2021,2.7,7.6, ,20.8,10.3,90,49,2.91,12.52
SHEFFIELD SCHOOL FARM,21/03/2021,3.2,0.0, ,22.0,10.4,90,50,4.34,12.53
SHEFFIELD SCHOOL FARM,22/03/2021,2.5,0.0, ,21.7,13.0,83,62,4.24,6.77
SHEFFIELD SCHOOL FARM,23/03/2021,2.6,1.6, ,21.2,12.9,99,56,5.33,7.54
SHEFFIELD SCHOOL FARM,24/03/2021,1.4,12.0, ,16.6,14.1,99,69,5.39,1.81
SHEFFIELD SCHOOL FARM,25/03/2021,3.5,25.4, ,19.4,14.2,75,59,6.74,14.37
SHEFFIELD SCHOOL FARM,26/03/2021,2.0,0.0, ,17.0,8.0,99,65,3.41,11.20
SHEFFIELD SCHOOL FARM,27/03/2021,2.1,18.6, ,16.9,10.2,100,56,3.23,11.70
SHEFFIELD SCHOOL FARM,28/03/2021,2.3,0.0, ,17.5,6.7,98,59,4.86,11.86
SHEFFIELD SCHOOL FARM,29/03/2021,1.8,0.0, ,14.0,7.7,88,51,2.44,8.03
SHEFFIELD SCHOOL FARM,30/03/2021,2.6,0.0, ,21.7,6.6,89,42,1.61,15.68
SHEFFIELD SCHOOL FARM,31/03/2021,2.1,0.0, ,20.3,8.4,99,54,1.19,14.57
Totals:,,76.2,75.2, ,,,,,, 
