'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/04/2021,3.3,0.0, ,24.1,10.3,99,35,3.02,15.21
SHEFFIELD SCHOOL FARM,02/04/2021,1.6,0.0, ,19.9,10.6,100,70,1.80,8.16
SHEFFIELD SCHOOL FARM,03/04/2021,3.7,0.0, ,24.7,9.0,100,36,3.80,15.51
SHEFFIELD SCHOOL FARM,04/04/2021,3.4,0.0, ,17.8,10.6,73,46,5.49,15.19
SHEFFIELD SCHOOL FARM,05/04/2021,2.3,0.0, ,20.4,6.7,92,47,1.57,15.11
SHEFFIELD SCHOOL FARM,06/04/2021,2.0,0.0, ,20.3,7.2,99,56,1.32,14.90
SHEFFIELD SCHOOL FARM,07/04/2021,2.0,0.0, ,20.1,7.7,100,63,1.46,14.39
SHEFFIELD SCHOOL FARM,08/04/2021,1.6,0.0, ,19.7,9.5,100,68,3.07,7.32
SHEFFIELD SCHOOL FARM,09/04/2021,2.5,6.4, ,13.5,7.9,82,47,5.08,13.73
SHEFFIELD SCHOOL FARM,10/04/2021,1.9,0.0, ,12.0,4.7,96,57,6.08,11.87
SHEFFIELD SCHOOL FARM,11/04/2021,2.1,2.0, ,11.5,2.7,85,51,4.86,13.67
SHEFFIELD SCHOOL FARM,12/04/2021,1.9,0.0, ,16.6,4.3,90,47,1.90,12.60
SHEFFIELD SCHOOL FARM,13/04/2021,1.0,0.0, ,13.5,3.5,99,73,2.42,5.26
SHEFFIELD SCHOOL FARM,14/04/2021,2.0,6.2, ,15.8,8.6,99,61,6.93,9.59
SHEFFIELD SCHOOL FARM,15/04/2021,2.2,0.6, ,13.4,8.7,90,53,6.34,9.62
SHEFFIELD SCHOOL FARM,16/04/2021,2.0,3.4, ,13.4,3.2,83,54,3.86,12.86
SHEFFIELD SCHOOL FARM,17/04/2021,1.8,0.0, ,15.8,6.6,88,60,3.83,9.04
SHEFFIELD SCHOOL FARM,18/04/2021,2.0,0.0, ,16.9,6.7,93,56,3.98,11.23
SHEFFIELD SCHOOL FARM,19/04/2021,1.6,0.0, ,15.3,6.7,99,64,4.73,7.53
SHEFFIELD SCHOOL FARM,20/04/2021,1.6,2.2, ,12.7,9.2,95,53,3.95,5.87
SHEFFIELD SCHOOL FARM,21/04/2021,1.5,0.2, ,11.8,-0.7,93,57,3.30,9.61
SHEFFIELD SCHOOL FARM,22/04/2021,2.0,0.4, ,14.4,4.1,96,58,6.72,8.60
SHEFFIELD SCHOOL FARM,23/04/2021,1.9,0.0, ,12.8,8.3,85,60,6.34,7.89
SHEFFIELD SCHOOL FARM,24/04/2021,1.7,0.0, ,15.2,4.8,97,58,3.56,10.38
SHEFFIELD SCHOOL FARM,25/04/2021,1.7,0.0, ,15.0,2.7,99,56,3.82,10.45
SHEFFIELD SCHOOL FARM,26/04/2021,2.2,0.0, ,16.4,8.9,82,55,4.41,11.04
SHEFFIELD SCHOOL FARM,27/04/2021,1.4,0.0, ,18.1,5.3,99,47,1.20,11.27
SHEFFIELD SCHOOL FARM,28/04/2021,1.2,0.0, ,15.1,5.2,99,60,2.00,7.56
SHEFFIELD SCHOOL FARM,29/04/2021,1.4,0.0, ,17.6,7.4,99,63,2.78,7.89
SHEFFIELD SCHOOL FARM,30/04/2021,0.8,0.0, ,14.8,7.0,100,75,1.07,4.00
Totals:,,58.3,21.4, ,,,,,, 
