'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/05/2021,1.2,0.0, ,19.3,5.7,100,53,0.79,10.51
SHEFFIELD SCHOOL FARM,02/05/2021,1.2,0.0, ,19.9,7.3,99,48,0.98,9.41
SHEFFIELD SCHOOL FARM,03/05/2021,1.3,4.6, ,17.3,9.6,100,64,2.48,8.99
SHEFFIELD SCHOOL FARM,04/05/2021,1.0,0.0, ,14.1,2.2,99,49,0.97,10.04
SHEFFIELD SCHOOL FARM,05/05/2021,0.9,0.2, ,16.2,1.6,99,56,0.73,10.27
SHEFFIELD SCHOOL FARM,06/05/2021,1.1,0.0, ,15.0,5.9,99,67,2.87,6.26
SHEFFIELD SCHOOL FARM,07/05/2021,0.5,3.6, ,15.8,9.7,100,99,2.65,1.95
SHEFFIELD SCHOOL FARM,08/05/2021,1.3,4.4, ,16.3,10.4,100,60,3.07,8.34
SHEFFIELD SCHOOL FARM,09/05/2021,0.8,0.4, ,12.0,2.5,99,77,3.45,4.62
SHEFFIELD SCHOOL FARM,10/05/2021,0.9,7.2, ,13.2,7.7,99,80,5.36,3.72
SHEFFIELD SCHOOL FARM,11/05/2021,1.5,0.8, ,10.7,5.3,83,53,4.01,9.44
SHEFFIELD SCHOOL FARM,12/05/2021,1.0,0.0, ,12.8,2.2,99,65,2.47,6.78
SHEFFIELD SCHOOL FARM,13/05/2021,1.0,7.2, ,11.3,9.0,100,68,3.92,2.40
SHEFFIELD SCHOOL FARM,14/05/2021,1.1,5.2, ,10.3,2.1,99,54,3.39,9.13
SHEFFIELD SCHOOL FARM,15/05/2021,1.3,0.0, ,10.4,1.4,91,51,3.71,9.14
SHEFFIELD SCHOOL FARM,16/05/2021,1.3,0.0, ,12.3,2.8,99,59,4.78,7.77
SHEFFIELD SCHOOL FARM,17/05/2021,1.3,2.0, ,10.9,2.9,80,58,3.88,8.93
SHEFFIELD SCHOOL FARM,18/05/2021,1.3,0.0, ,15.2,4.9,99,59,3.52,8.86
SHEFFIELD SCHOOL FARM,19/05/2021,0.8,0.2, ,13.4,5.4,100,79,3.24,4.64
SHEFFIELD SCHOOL FARM,20/05/2021,1.7,3.0, ,12.3,8.4,99,44,5.51,7.70
SHEFFIELD SCHOOL FARM,21/05/2021,1.1,0.0, ,13.6,2.9,99,57,3.11,8.62
SHEFFIELD SCHOOL FARM,22/05/2021,0.6,0.0, ,13.2,3.7,99,82,1.79,3.81
SHEFFIELD SCHOOL FARM,23/05/2021,0.6,0.0, ,15.3,4.2,100,71,0.97,8.21
SHEFFIELD SCHOOL FARM,24/05/2021,0.6,0.2, ,13.6,4.0,100,84,2.46,2.74
SHEFFIELD SCHOOL FARM,25/05/2021,0.9,0.0, ,13.8,8.3,100,77,4.67,1.54
SHEFFIELD SCHOOL FARM,26/05/2021,1.3,49.8, ,12.0,6.5,99,57,5.41,6.96
SHEFFIELD SCHOOL FARM,27/05/2021,1.6,0.0, ,10.3,4.6,90,53,6.53,8.19
SHEFFIELD SCHOOL FARM,28/05/2021,1.2,0.0, ,10.5,3.8,83,46,3.02,8.10
SHEFFIELD SCHOOL FARM,29/05/2021,0.4,0.2, ,10.0,-1.9,95,53,0.71,8.08
SHEFFIELD SCHOOL FARM,30/05/2021,0.5,0.0, ,12.1,-2.0,99,55,0.99,8.03
SHEFFIELD SCHOOL FARM,31/05/2021,0.5,0.2, ,9.4,-0.2,99,75,1.26,4.08
Totals:,,31.8,89.2, ,,,,,, 
