'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/06/2021,0.5,0.2, ,11.9,3.0,100,80,1.95,5.32
SHEFFIELD SCHOOL FARM,02/06/2021,0.6,0.0, ,13.4,4.5,100,75,1.57,5.68
SHEFFIELD SCHOOL FARM,03/06/2021,0.6,0.2, ,14.2,4.7,100,80,2.12,5.21
SHEFFIELD SCHOOL FARM,04/06/2021,1.0,1.4, ,8.8,5.2,100,53,3.93,6.75
SHEFFIELD SCHOOL FARM,05/06/2021,1.1,0.0, ,10.3,0.2,100,63,4.47,2.04
SHEFFIELD SCHOOL FARM,06/06/2021,0.6,10.2, ,11.7,2.7,100,72,1.88,3.97
SHEFFIELD SCHOOL FARM,07/06/2021,1.1,21.0, ,12.7,5.4,100,72,7.60,2.58
SHEFFIELD SCHOOL FARM,08/06/2021,0.7,19.8, ,8.8,7.7,99,76,3.40,1.87
SHEFFIELD SCHOOL FARM,09/06/2021,1.5,13.2, ,13.4,4.8,99,56,6.72,7.38
SHEFFIELD SCHOOL FARM,10/06/2021,2.4,1.6, ,14.2,8.5,76,57,9.59,4.27
SHEFFIELD SCHOOL FARM,11/06/2021,1.2,1.8, ,17.5,9.1,91,65,3.59,6.05
SHEFFIELD SCHOOL FARM,12/06/2021,1.1,0.0, ,18.1,9.6,81,55,2.05,6.37
SHEFFIELD SCHOOL FARM,13/06/2021,0.8,0.0, ,16.9,9.8,93,58,1.72,7.53
SHEFFIELD SCHOOL FARM,14/06/2021,0.5,0.0, ,12.3,9.0,99,70,0.80,3.39
SHEFFIELD SCHOOL FARM,15/06/2021,0.4,0.0, ,11.7,8.6,100,83,0.98,3.90
SHEFFIELD SCHOOL FARM,16/06/2021,0.5,0.0, ,11.2,8.4,100,86,3.19,2.90
SHEFFIELD SCHOOL FARM,17/06/2021,0.5,0.0, ,14.4,5.3,100,65,1.16,6.33
SHEFFIELD SCHOOL FARM,18/06/2021,0.6,0.0, ,14.7,6.3,99,66,1.67,7.35
SHEFFIELD SCHOOL FARM,19/06/2021,0.3,0.0, ,13.6,2.4,99,59,0.57,7.54
SHEFFIELD SCHOOL FARM,20/06/2021,0.4,0.0, ,11.0,3.9,99,75,0.91,6.04
SHEFFIELD SCHOOL FARM,21/06/2021,0.5,0.0, ,11.6,2.3,100,59,0.90,5.02
SHEFFIELD SCHOOL FARM,22/06/2021,0.4,0.0, ,10.9,4.2,100,78,1.25,5.17
SHEFFIELD SCHOOL FARM,23/06/2021,0.5,0.0, ,11.0,5.7,99,88,2.62,2.01
SHEFFIELD SCHOOL FARM,24/06/2021,0.5,0.0, ,12.3,6.9,100,82,1.65,5.05
SHEFFIELD SCHOOL FARM,25/06/2021,0.4,0.0, ,11.2,1.0,100,74,1.32,7.46
SHEFFIELD SCHOOL FARM,26/06/2021,0.7,1.0, ,10.1,2.6,100,64,3.12,7.39
SHEFFIELD SCHOOL FARM,27/06/2021,0.8,3.8, ,11.3,4.6,99,62,3.60,7.44
SHEFFIELD SCHOOL FARM,28/06/2021,0.4,0.0, ,11.9,1.8,99,58,0.81,7.65
SHEFFIELD SCHOOL FARM,29/06/2021,0.5,0.0, ,9.9,2.6,99,74,1.68,4.24
SHEFFIELD SCHOOL FARM,30/06/2021,0.5,0.0, ,11.8,6.2,100,80,1.42,4.00
Totals:,,21.6,74.2, ,,,,,, 
