'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/07/2021,0.7,2.4, ,13.7,7.2,100,78,3.00,4.82
SHEFFIELD SCHOOL FARM,02/07/2021,0.6,4.2, ,11.4,9.2,99,85,4.49,2.77
SHEFFIELD SCHOOL FARM,03/07/2021,0.6,18.8, ,10.2,5.2,99,73,2.28,6.41
SHEFFIELD SCHOOL FARM,04/07/2021,0.5,4.8, ,10.0,1.4,99,68,1.84,7.40
SHEFFIELD SCHOOL FARM,05/07/2021,0.9,0.0, ,10.4,2.8,99,60,3.65,7.71
SHEFFIELD SCHOOL FARM,06/07/2021,0.9,0.0, ,11.8,4.9,85,63,2.91,7.46
SHEFFIELD SCHOOL FARM,07/07/2021,0.4,0.0, ,10.6,-2.7,97,51,0.83,7.72
SHEFFIELD SCHOOL FARM,08/07/2021,0.5,0.0, ,10.2,0.6,99,63,1.17,7.24
SHEFFIELD SCHOOL FARM,09/07/2021,0.6,0.0, ,10.3,0.1,98,57,1.48,8.09
SHEFFIELD SCHOOL FARM,10/07/2021,0.5,0.2, ,13.0,0.5,99,52,0.80,8.14
SHEFFIELD SCHOOL FARM,11/07/2021,0.4,0.2, ,11.3,0.7,99,68,0.93,7.19
SHEFFIELD SCHOOL FARM,12/07/2021,0.6,3.0, ,12.2,2.5,99,81,2.51,4.57
SHEFFIELD SCHOOL FARM,13/07/2021,0.5,12.0, ,11.9,3.0,100,84,2.17,6.30
SHEFFIELD SCHOOL FARM,14/07/2021,0.4,6.4, ,10.6,5.3,100,94,1.92,2.88
SHEFFIELD SCHOOL FARM,15/07/2021,0.4,20.6, ,11.7,7.9,100,97,3.86,1.50
SHEFFIELD SCHOOL FARM,16/07/2021,0.6,53.4, ,11.1,8.1,100,84,3.42,4.80
SHEFFIELD SCHOOL FARM,17/07/2021,0.7,14.4, ,13.5,3.7,100,59,1.66,8.46
SHEFFIELD SCHOOL FARM,18/07/2021,0.9,0.0, ,11.1,4.5,97,63,3.06,8.06
SHEFFIELD SCHOOL FARM,19/07/2021,0.7,0.0, ,11.1,3.8,99,76,2.83,6.82
SHEFFIELD SCHOOL FARM,20/07/2021,1.0,5.8, ,9.3,4.5,99,54,3.18,4.82
SHEFFIELD SCHOOL FARM,21/07/2021,1.1,0.0, ,12.2,0.8,96,61,3.35,8.55
SHEFFIELD SCHOOL FARM,22/07/2021,0.5,0.2, ,8.8,0.2,99,81,2.09,6.03
SHEFFIELD SCHOOL FARM,23/07/2021,0.5,4.6, ,8.8,2.1,99,85,1.85,5.93
SHEFFIELD SCHOOL FARM,24/07/2021,0.6,8.2, ,9.0,5.3,99,84,4.10,2.44
SHEFFIELD SCHOOL FARM,25/07/2021,0.8,16.4, ,6.4,2.6,99,73,5.89,6.64
SHEFFIELD SCHOOL FARM,26/07/2021,1.0,2.8, ,11.8,1.1,99,73,4.92,5.68
SHEFFIELD SCHOOL FARM,27/07/2021,0.9,3.8, ,12.1,5.6,98,77,4.68,5.90
SHEFFIELD SCHOOL FARM,28/07/2021,1.2,19.0, ,11.0,9.1,98,67,6.95,6.32
SHEFFIELD SCHOOL FARM,29/07/2021,1.2,9.6, ,11.7,3.5,96,62,4.25,8.39
SHEFFIELD SCHOOL FARM,30/07/2021,0.8,1.0, ,10.6,4.5,99,73,2.66,4.58
SHEFFIELD SCHOOL FARM,31/07/2021,0.6,16.2, ,11.4,7.7,99,87,4.09,3.83
Totals:,,21.6,228, ,,,,,, 
