'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/08/2021,1.1,17.6, ,9.8,2.0,99,61,3.61,8.78
SHEFFIELD SCHOOL FARM,02/08/2021,0.5,0.2, ,10.1,0.5,99,88,1.28,5.58
SHEFFIELD SCHOOL FARM,03/08/2021,0.5,3.4, ,8.9,3.1,99,84,1.02,4.39
SHEFFIELD SCHOOL FARM,04/08/2021,1.2,3.6, ,11.7,2.3,99,57,3.00,7.79
SHEFFIELD SCHOOL FARM,05/08/2021,1.3,0.0, ,12.0,5.7,86,62,3.32,7.44
SHEFFIELD SCHOOL FARM,06/08/2021,1.9,0.0, ,13.6,7.3,84,58,5.96,9.67
SHEFFIELD SCHOOL FARM,07/08/2021,1.7,0.0, ,13.1,6.0,90,46,3.66,9.27
SHEFFIELD SCHOOL FARM,08/08/2021,0.7,0.0, ,10.0,0.4,99,71,1.07,7.12
SHEFFIELD SCHOOL FARM,09/08/2021,0.7,0.6, ,11.2,4.0,100,76,0.96,5.07
SHEFFIELD SCHOOL FARM,10/08/2021,1.1,0.2, ,13.4,7.0,100,70,2.80,8.44
SHEFFIELD SCHOOL FARM,11/08/2021,0.9,15.2, ,10.4,8.2,100,76,5.34,2.56
SHEFFIELD SCHOOL FARM,12/08/2021,1.8,19.2, ,12.3,5.8,95,56,6.41,9.81
SHEFFIELD SCHOOL FARM,13/08/2021,1.6,0.0, ,12.4,5.3,97,62,6.85,9.10
SHEFFIELD SCHOOL FARM,14/08/2021,1.2,0.0, ,12.9,3.5,99,69,4.16,9.03
SHEFFIELD SCHOOL FARM,15/08/2021,1.4,1.2, ,12.2,6.6,96,72,8.31,6.33
SHEFFIELD SCHOOL FARM,16/08/2021,1.7,17.0, ,8.6,3.1,89,56,7.48,9.89
SHEFFIELD SCHOOL FARM,17/08/2021,2.0,2.4, ,12.6,4.7,79,50,4.13,12.07
SHEFFIELD SCHOOL FARM,18/08/2021,1.5,0.0, ,13.4,1.8,93,61,3.49,10.94
SHEFFIELD SCHOOL FARM,19/08/2021,1.3,0.0, ,13.6,3.9,99,63,2.23,12.15
SHEFFIELD SCHOOL FARM,20/08/2021,0.7,0.8, ,10.6,7.6,99,87,3.96,3.05
SHEFFIELD SCHOOL FARM,21/08/2021,1.9,17.4, ,13.6,6.0,99,52,5.24,11.20
SHEFFIELD SCHOOL FARM,22/08/2021,0.8,10.6, ,12.4,7.9,99,86,5.01,5.22
SHEFFIELD SCHOOL FARM,23/08/2021,1.6,15.6, ,11.6,7.0,99,52,3.51,12.76
SHEFFIELD SCHOOL FARM,24/08/2021,1.3,0.0, ,12.1,-1.4,88,48,1.30,13.14
SHEFFIELD SCHOOL FARM,25/08/2021,1.5,0.2, ,11.7,1.0,96,49,1.90,13.13
SHEFFIELD SCHOOL FARM,26/08/2021,1.2,0.0, ,10.7,-0.2,90,59,1.46,11.62
SHEFFIELD SCHOOL FARM,27/08/2021,1.4,0.0, ,10.7,1.6,99,58,3.11,10.59
SHEFFIELD SCHOOL FARM,28/08/2021,1.1,0.0, ,10.4,3.8,99,61,1.61,8.10
SHEFFIELD SCHOOL FARM,29/08/2021,0.6,2.4, ,8.7,4.5,99,90,1.58,3.55
SHEFFIELD SCHOOL FARM,30/08/2021,0.9,18.4, ,11.7,5.5,100,82,2.91,6.45
SHEFFIELD SCHOOL FARM,31/08/2021,1.1,3.2, ,11.5,7.0,99,76,5.84,3.74
Totals:,,38.2,149.2, ,,,,,, 
