'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/09/2021,1.5,8.8, ,13.1,3.9,95,65,2.50,10.89
SHEFFIELD SCHOOL FARM,02/09/2021,2.0,0.2, ,19.2,6.0,99,47,1.45,14.70
SHEFFIELD SCHOOL FARM,03/09/2021,0.9,0.0, ,11.9,9.4,99,70,1.49,2.85
SHEFFIELD SCHOOL FARM,04/09/2021,1.6,10.2, ,14.3,2.6,97,51,1.12,14.83
SHEFFIELD SCHOOL FARM,05/09/2021,2.0,0.0, ,12.6,2.4,96,48,3.56,14.32
SHEFFIELD SCHOOL FARM,06/09/2021,2.4,2.4, ,12.9,4.3,87,51,5.52,15.19
SHEFFIELD SCHOOL FARM,07/09/2021,3.1,0.0, ,12.3,8.0,70,45,7.55,14.99
SHEFFIELD SCHOOL FARM,08/09/2021,2.3,0.0, ,14.6,3.3,91,60,6.37,13.87
SHEFFIELD SCHOOL FARM,09/09/2021,2.4,0.0, ,15.7,8.7,89,59,7.98,6.38
SHEFFIELD SCHOOL FARM,10/09/2021,1.8,4.0, ,10.3,4.9,85,58,4.84,9.43
SHEFFIELD SCHOOL FARM,11/09/2021,1.6,0.0, ,14.6,5.1,99,61,4.10,6.53
SHEFFIELD SCHOOL FARM,12/09/2021,2.0,2.2, ,11.0,2.0,95,52,4.12,15.61
SHEFFIELD SCHOOL FARM,13/09/2021,1.9,0.0, ,12.9,1.3,81,49,2.02,13.75
SHEFFIELD SCHOOL FARM,14/09/2021,1.8,0.0, ,12.3,2.3,99,55,2.51,14.27
SHEFFIELD SCHOOL FARM,15/09/2021,1.7,0.0, ,13.0,5.0,99,52,1.35,12.42
SHEFFIELD SCHOOL FARM,16/09/2021,1.9,0.0, ,13.0,3.6,99,49,1.36,16.28
SHEFFIELD SCHOOL FARM,17/09/2021,1.2,0.0, ,11.0,1.2,99,62,1.99,6.37
SHEFFIELD SCHOOL FARM,18/09/2021,1.7,16.6, ,11.2,7.5,99,64,6.12,9.35
SHEFFIELD SCHOOL FARM,19/09/2021,2.0,5.4, ,13.4,4.4,99,60,7.39,9.54
SHEFFIELD SCHOOL FARM,20/09/2021,2.2,11.6, ,9.8,4.5,89,57,5.95,15.40
SHEFFIELD SCHOOL FARM,21/09/2021,2.4,0.4, ,15.7,2.5,79,56,3.75,13.98
SHEFFIELD SCHOOL FARM,22/09/2021,4.1,0.0, ,21.7,6.7,86,36,4.66,18.68
SHEFFIELD SCHOOL FARM,23/09/2021,2.1,0.0, ,14.2,9.0,97,65,7.73,11.28
SHEFFIELD SCHOOL FARM,24/09/2021,2.1,1.2, ,11.2,6.5,99,60,7.55,14.57
SHEFFIELD SCHOOL FARM,25/09/2021,2.1,5.8, ,9.8,-0.5,99,49,3.40,17.32
SHEFFIELD SCHOOL FARM,26/09/2021,2.1,0.0, ,11.6,-0.5,94,51,1.64,19.53
SHEFFIELD SCHOOL FARM,27/09/2021,1.9,0.0, ,12.8,3.6,99,64,1.89,15.31
SHEFFIELD SCHOOL FARM,28/09/2021,1.8,0.2, ,14.7,3.0,99,61,1.31,13.19
SHEFFIELD SCHOOL FARM,29/09/2021,2.5,0.0, ,16.7,4.4,99,58,3.27,16.67
SHEFFIELD SCHOOL FARM,30/09/2021,2.8,0.0, ,16.0,6.4,77,66,8.78,12.02
Totals:,,61.9,69, ,,,,,, 
