'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/10/2021,2.7,0.2, ,19.4,9.8,94,60,5.30,11.44
SHEFFIELD SCHOOL FARM,02/10/2021,2.2,1.0, ,19.0,11.4,99,65,1.84,12.50
SHEFFIELD SCHOOL FARM,03/10/2021,2.8,1.6, ,18.9,6.2,100,55,1.78,19.97
SHEFFIELD SCHOOL FARM,04/10/2021,1.7,3.6, ,13.9,10.0,100,79,3.51,11.44
SHEFFIELD SCHOOL FARM,05/10/2021,2.7,11.2, ,15.8,7.6,100,60,4.96,18.34
SHEFFIELD SCHOOL FARM,06/10/2021,2.4,0.0, ,15.1,6.0,99,59,4.11,14.58
SHEFFIELD SCHOOL FARM,07/10/2021,2.6,28.8, ,11.8,4.9,99,53,4.99,20.73
SHEFFIELD SCHOOL FARM,08/10/2021,1.6,0.0, ,12.6,4.8,98,76,4.03,11.26
SHEFFIELD SCHOOL FARM,09/10/2021,1.9,0.8, ,15.3,7.7,99,73,5.05,11.50
SHEFFIELD SCHOOL FARM,10/10/2021,3.0,5.6, ,12.5,4.1,84,48,4.22,21.92
SHEFFIELD SCHOOL FARM,11/10/2021,2.7,0.0, ,13.5,1.0,87,40,1.57,21.74
SHEFFIELD SCHOOL FARM,12/10/2021,1.9,1.0, ,13.1,4.9,99,60,2.76,11.11
SHEFFIELD SCHOOL FARM,13/10/2021,1.4,0.0, ,11.5,5.7,99,71,4.35,6.70
SHEFFIELD SCHOOL FARM,14/10/2021,0.8,25.0, ,13.3,8.1,99,93,5.73,4.98
SHEFFIELD SCHOOL FARM,15/10/2021,2.3,43.4, ,15.0,9.2,99,67,3.09,14.92
SHEFFIELD SCHOOL FARM,16/10/2021,3.7,0.8, ,15.5,8.6,80,49,6.17,21.86
SHEFFIELD SCHOOL FARM,17/10/2021,3.4,0.0, ,16.2,5.1,87,50,3.76,22.61
SHEFFIELD SCHOOL FARM,18/10/2021,2.7,0.0, ,15.1,5.1,97,54,3.41,17.82
SHEFFIELD SCHOOL FARM,19/10/2021,3.1,1.8, ,14.0,3.5,94,54,4.45,23.27
SHEFFIELD SCHOOL FARM,20/10/2021,2.9,0.2, ,15.6,4.9,85,58,3.69,17.89
SHEFFIELD SCHOOL FARM,21/10/2021,1.4,0.0, ,17.2,7.7,96,77,3.54,4.85
SHEFFIELD SCHOOL FARM,22/10/2021,1.0,13.0, ,15.2,11.3,100,89,3.12,4.06
SHEFFIELD SCHOOL FARM,23/10/2021,1.4,18.8, ,15.6,12.3,100,75,2.24,6.33
SHEFFIELD SCHOOL FARM,24/10/2021,3.8,19.6, ,14.9,8.0,77,45,4.47,23.37
SHEFFIELD SCHOOL FARM,25/10/2021,3.3,0.0, ,15.2,2.4,82,50,2.51,24.32
SHEFFIELD SCHOOL FARM,26/10/2021,3.3,0.0, ,16.2,2.5,98,54,1.66,25.67
SHEFFIELD SCHOOL FARM,27/10/2021,3.0,0.0, ,15.6,4.7,99,61,1.82,22.52
SHEFFIELD SCHOOL FARM,28/10/2021,2.9,0.0, ,20.1,7.8,99,60,2.15,17.43
SHEFFIELD SCHOOL FARM,29/10/2021,2.1,22.2, ,11.4,9.2,99,58,7.22,9.64
SHEFFIELD SCHOOL FARM,30/10/2021,3.4,15.2, ,13.5,2.5,81,49,4.71,24.27
SHEFFIELD SCHOOL FARM,31/10/2021,3.6,0.0, ,16.9,5.7,94,53,4.96,23.32
Totals:,,77.7,213.8, ,,,,,, 
