'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/11/2021,3.6,0.0, ,17.0,7.7,97,54,3.41,24.34
SHEFFIELD SCHOOL FARM,02/11/2021,3.1,0.0, ,18.7,7.7,99,62,2.40,20.24
SHEFFIELD SCHOOL FARM,03/11/2021,1.2,0.0, ,17.0,11.7,100,82,2.01,5.04
SHEFFIELD SCHOOL FARM,04/11/2021,4.0,15.6, ,20.0,6.8,100,55,1.94,27.35
SHEFFIELD SCHOOL FARM,05/11/2021,2.8,0.0, ,19.4,5.4,95,62,2.69,15.83
SHEFFIELD SCHOOL FARM,06/11/2021,1.1,3.6, ,15.1,11.3,100,92,2.27,5.68
SHEFFIELD SCHOOL FARM,07/11/2021,3.9,8.4, ,17.7,7.4,100,53,3.09,26.74
SHEFFIELD SCHOOL FARM,08/11/2021,4.3,0.0, ,17.7,5.9,95,40,3.52,28.06
SHEFFIELD SCHOOL FARM,09/11/2021,3.5,0.0, ,16.6,5.8,95,52,3.01,23.17
SHEFFIELD SCHOOL FARM,10/11/2021,3.3,1.2, ,15.1,6.9,99,53,2.90,22.98
SHEFFIELD SCHOOL FARM,11/11/2021,4.3,0.0, ,19.3,4.0,89,44,3.32,27.48
SHEFFIELD SCHOOL FARM,12/11/2021,2.2,0.0, ,13.5,8.1,97,61,3.63,12.38
SHEFFIELD SCHOOL FARM,13/11/2021,2.4,1.4, ,13.0,6.5,94,58,3.18,14.55
SHEFFIELD SCHOOL FARM,14/11/2021,2.5,7.4, ,11.3,2.2,96,61,5.36,18.84
SHEFFIELD SCHOOL FARM,15/11/2021,2.9,4.6, ,10.3,0.9,92,53,5.75,23.49
SHEFFIELD SCHOOL FARM,16/11/2021,3.6,0.4, ,15.1,2.5,87,48,3.72,25.43
SHEFFIELD SCHOOL FARM,17/11/2021,4.2,0.0, ,18.3,5.0,99,48,3.20,29.33
SHEFFIELD SCHOOL FARM,18/11/2021,1.1,0.0, ,12.7,7.3,99,75,1.55,4.20
SHEFFIELD SCHOOL FARM,19/11/2021,4.4,7.4, ,18.1,8.4,90,50,2.88,29.57
SHEFFIELD SCHOOL FARM,20/11/2021,4.1,0.0, ,18.4,5.0,96,42,2.44,27.23
SHEFFIELD SCHOOL FARM,21/11/2021,2.5,2.4, ,16.6,8.3,99,64,2.71,14.03
SHEFFIELD SCHOOL FARM,22/11/2021,4.1,0.0, ,18.8,7.9,98,55,2.04,28.09
SHEFFIELD SCHOOL FARM,23/11/2021,3.7,0.0, ,20.9,8.1,97,60,2.50,22.16
SHEFFIELD SCHOOL FARM,24/11/2021,3.6,0.0, ,21.6,11.7,99,57,2.00,19.72
SHEFFIELD SCHOOL FARM,25/11/2021,5.3,0.0, ,24.0,9.5,100,37,3.04,29.05
SHEFFIELD SCHOOL FARM,26/11/2021,4.3,8.0, ,16.9,7.4,96,48,4.31,29.49
SHEFFIELD SCHOOL FARM,27/11/2021,3.8,0.0, ,17.8,5.8,87,52,2.50,24.22
SHEFFIELD SCHOOL FARM,28/11/2021,4.3,0.0, ,17.7,8.4,90,61,2.29,30.15
SHEFFIELD SCHOOL FARM,29/11/2021,4.3,0.0, ,18.6,6.1,99,54,1.69,30.70
SHEFFIELD SCHOOL FARM,30/11/2021,4.1,0.0, ,19.5,7.3,94,54,2.35,26.81
Totals:,,102.5,60.4, ,,,,,, 
