'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/12/2021,4.5,0.0, ,23.4,10.8,99,50,1.87,25.97
SHEFFIELD SCHOOL FARM,02/12/2021,4.0,0.0, ,23.9,11.9,100,56,2.50,21.48
SHEFFIELD SCHOOL FARM,03/12/2021,5.6,4.0, ,20.0,9.0,75,35,4.72,30.13
SHEFFIELD SCHOOL FARM,04/12/2021,4.8,0.0, ,16.3,7.5,83,31,4.69,28.89
SHEFFIELD SCHOOL FARM,05/12/2021,3.1,0.0, ,16.7,7.3,75,56,3.29,15.12
SHEFFIELD SCHOOL FARM,06/12/2021,2.0,0.2, ,16.8,7.4,96,67,3.86,8.01
SHEFFIELD SCHOOL FARM,07/12/2021, ,0.8, , ,10.7,100,33,4.48,25.72
SHEFFIELD SCHOOL FARM,08/12/2021,3.6, , ,17.8,5.0,84,39,1.85,21.14
SHEFFIELD SCHOOL FARM,09/12/2021,4.2,0.0, ,19.1,4.7,90,44,2.34,26.58
SHEFFIELD SCHOOL FARM,10/12/2021,2.9,0.0, ,18.3,10.9,88,55,2.08,14.40
SHEFFIELD SCHOOL FARM,11/12/2021,3.8,0.0, ,18.5,8.7,83,49,4.42,18.01
SHEFFIELD SCHOOL FARM,12/12/2021,4.2,0.0, ,18.2,8.1,82,47,4.13,22.86
SHEFFIELD SCHOOL FARM,13/12/2021, ,0.0, , ,10.0, , , ,20.31
SHEFFIELD SCHOOL FARM,14/12/2021, , , , , , , , ,30.56
SHEFFIELD SCHOOL FARM,15/12/2021, , , , , , , , ,27.03
SHEFFIELD SCHOOL FARM,16/12/2021, , , ,21.4, ,79,32,2.17,31.73
SHEFFIELD SCHOOL FARM,17/12/2021,4.8,0.0, ,20.7,7.5,91,38,2.05,29.10
SHEFFIELD SCHOOL FARM,18/12/2021,5.9,0.0, ,27.3,11.1,89,29,3.46,25.40
SHEFFIELD SCHOOL FARM,19/12/2021,3.0,0.0, ,17.4,8.7,93,54,5.06,13.41
SHEFFIELD SCHOOL FARM,20/12/2021,3.9,3.8, ,18.6,7.4,81,53,8.78,15.20
SHEFFIELD SCHOOL FARM,21/12/2021,5.6,0.0, ,19.6,11.5,80,43,8.10,29.35
SHEFFIELD SCHOOL FARM,22/12/2021,5.4,0.0, ,18.7,9.6,66,36,5.34,27.49
SHEFFIELD SCHOOL FARM,23/12/2021,5.0,0.0, ,20.9,9.6,87,29,2.41,27.91
SHEFFIELD SCHOOL FARM,24/12/2021,4.5,0.0, ,21.3,9.0,91,54,2.85,26.70
SHEFFIELD SCHOOL FARM,25/12/2021,6.2,0.0, ,22.4,10.3,92,30,5.71,31.27
SHEFFIELD SCHOOL FARM,26/12/2021,5.8,0.0, ,19.6,8.3,76,31,5.53,31.19
SHEFFIELD SCHOOL FARM,27/12/2021,5.1,0.0, ,20.3,4.4,83,27,2.29,31.34
SHEFFIELD SCHOOL FARM,28/12/2021,4.7,0.0, ,21.2,7.3,96,50,2.80,29.44
SHEFFIELD SCHOOL FARM,29/12/2021,5.2,0.0, ,22.5,9.7,99,41,2.58,30.55
SHEFFIELD SCHOOL FARM,30/12/2021,5.1,0.2, ,24.4,9.4,100,45,2.42,28.75
SHEFFIELD SCHOOL FARM,31/12/2021,6.5,0.2, ,29.6,7.7,100,29,2.83,30.85
Totals:,,119.4,9.2, ,,,,,, 
