'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/01/2022,4.5,0.0, ,27.8,12.3,98,31,2.85,15.53
SHEFFIELD SCHOOL FARM,02/01/2022,4.9,0.0, ,26.8,14.9,84,41,3.07,20.13
SHEFFIELD SCHOOL FARM,03/01/2022,4.7,0.0, ,23.8,13.0,99,46,3.47,23.89
SHEFFIELD SCHOOL FARM,04/01/2022,2.9,2.6, ,21.3,13.4,99,55,1.80,14.03
SHEFFIELD SCHOOL FARM,05/01/2022,4.0,0.0, ,19.4,12.1,81,51,7.46,13.74
SHEFFIELD SCHOOL FARM,06/01/2022,2.2,2.4, ,18.3,11.6,100,66,8.75,5.43
SHEFFIELD SCHOOL FARM,07/01/2022,1.2,74.2, ,19.7,14.1,100,93,3.19,5.54
SHEFFIELD SCHOOL FARM,08/01/2022,2.6,18.2, ,22.8,16.0,100,64,2.18,11.66
SHEFFIELD SCHOOL FARM,09/01/2022,1.3,17.6, ,17.5,11.7,100,94,1.85,6.51
SHEFFIELD SCHOOL FARM,10/01/2022,4.0,5.4, ,23.1,12.5,100,64,2.78,22.32
SHEFFIELD SCHOOL FARM,11/01/2022,4.6,0.0, ,24.3,13.7,89,55,3.44,23.38
SHEFFIELD SCHOOL FARM,12/01/2022,3.0,0.0, ,20.5,11.4,95,63,3.01,15.01
SHEFFIELD SCHOOL FARM,13/01/2022,3.7,0.0, ,21.0,11.0,86,56,3.32,18.79
SHEFFIELD SCHOOL FARM,14/01/2022,1.7,0.0, ,19.0,13.2,100,70,2.83,6.13
SHEFFIELD SCHOOL FARM,15/01/2022,3.5,4.2, ,24.7,15.7,99,66,2.88,17.50
SHEFFIELD SCHOOL FARM,16/01/2022,4.9,7.8, ,23.5,13.6,99,59,2.15,28.95
SHEFFIELD SCHOOL FARM,17/01/2022,5.4,0.0, ,22.9,13.2,99,46,3.97,30.52
SHEFFIELD SCHOOL FARM,18/01/2022,4.6,0.0, ,22.1,12.4,95,47,2.73,25.94
SHEFFIELD SCHOOL FARM,19/01/2022,4.6,1.0, ,21.4,10.8,99,51,3.07,27.38
SHEFFIELD SCHOOL FARM,20/01/2022,4.7,0.0, ,20.6,11.0,93,57,2.38,30.04
SHEFFIELD SCHOOL FARM,21/01/2022,4.6,0.0, ,21.6,8.2,99,59,1.77,30.06
SHEFFIELD SCHOOL FARM,22/01/2022,4.9,0.0, ,23.1,10.8,99,51,2.28,29.92
SHEFFIELD SCHOOL FARM,23/01/2022,4.4,0.0, ,22.6,11.3,100,60,1.60,27.42
SHEFFIELD SCHOOL FARM,24/01/2022,4.8,0.0, ,23.7,14.8,95,56,1.59,28.07
SHEFFIELD SCHOOL FARM,25/01/2022,4.5,0.0, ,24.9,12.9,99,58,1.78,25.64
SHEFFIELD SCHOOL FARM,26/01/2022,1.8,0.4, ,20.8,15.5,100,70,2.44,6.71
SHEFFIELD SCHOOL FARM,27/01/2022,0.9,1.4, ,19.3,14.4,100,79,2.42,0.86
SHEFFIELD SCHOOL FARM,28/01/2022,1.3,24.0, ,21.4,16.0,100,89,1.52,5.18
SHEFFIELD SCHOOL FARM,29/01/2022,3.5,0.8, ,24.0,14.0,100,66,2.46,18.78
SHEFFIELD SCHOOL FARM,30/01/2022,5.0,0.0, ,24.8,11.9,99,47,2.70,27.54
SHEFFIELD SCHOOL FARM,31/01/2022,4.1,0.0, ,24.4,12.0,100,65,2.04,23.80
Totals:,,112.8,160, ,,,,,, 
