'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/02/2022,4.8,0.6, ,23.4,16.9,100,41,4.23,22.96
SHEFFIELD SCHOOL FARM,02/02/2022,4.4,0.0, ,18.4,7.5,81,42,3.64,25.74
SHEFFIELD SCHOOL FARM,03/02/2022,4.0,0.0, ,20.2,8.3,81,42,3.80,19.07
SHEFFIELD SCHOOL FARM,04/02/2022,4.4,0.0, ,20.7,6.7,88,46,2.58,27.44
SHEFFIELD SCHOOL FARM,05/02/2022,3.9,0.0, ,21.6,10.1,97,49,1.80,23.46
SHEFFIELD SCHOOL FARM,06/02/2022,4.3,0.2, ,21.1,12.4,99,45,2.42,25.01
SHEFFIELD SCHOOL FARM,07/02/2022,4.6,0.0, ,22.3,12.2,90,50,2.46,26.74
SHEFFIELD SCHOOL FARM,08/02/2022,3.8,0.0, ,21.9,12.2,88,51,2.71,19.64
SHEFFIELD SCHOOL FARM,09/02/2022,2.4,0.0, ,19.1,10.5,99,65,1.91,12.61
SHEFFIELD SCHOOL FARM,10/02/2022,4.7,0.0, ,21.8,11.6,87,40,4.25,23.18
SHEFFIELD SCHOOL FARM,11/02/2022,4.8,0.0, ,23.8,8.9,89,31,2.30,26.65
SHEFFIELD SCHOOL FARM,12/02/2022,4.4,1.0, ,22.2,10.7,90,38,3.26,22.39
SHEFFIELD SCHOOL FARM,13/02/2022,1.7,0.0, ,19.8,11.2,99,65,2.61,5.32
SHEFFIELD SCHOOL FARM,14/02/2022,4.5,0.2, ,26.8,10.9,99,44,1.94,24.47
SHEFFIELD SCHOOL FARM,15/02/2022,4.7,0.0, ,26.0,12.2,99,42,2.30,25.18
SHEFFIELD SCHOOL FARM,16/02/2022,1.0,0.4, ,16.4,14.8,100,85,1.74,3.44
SHEFFIELD SCHOOL FARM,17/02/2022,4.7,10.2, ,20.9,11.4,95,41,5.85,23.77
SHEFFIELD SCHOOL FARM,18/02/2022,4.3,0.0, ,18.7,11.8,83,44,6.22,19.72
SHEFFIELD SCHOOL FARM,19/02/2022,4.0,0.0, ,21.1,5.2,95,38,2.08,24.54
SHEFFIELD SCHOOL FARM,20/02/2022,3.0,0.0, ,19.3,9.4,99,54,4.36,14.63
SHEFFIELD SCHOOL FARM,21/02/2022,4.3,1.6, ,17.6,8.3,71,44,6.70,19.28
SHEFFIELD SCHOOL FARM,22/02/2022,3.2,0.0, ,19.6,5.0,80,45,2.80,15.19
SHEFFIELD SCHOOL FARM,23/02/2022,1.1,0.0, ,19.9,10.1,100,81,2.54,2.76
SHEFFIELD SCHOOL FARM,24/02/2022,4.3,3.0, ,27.1,15.3,100,48,2.29,22.17
SHEFFIELD SCHOOL FARM,25/02/2022,3.9,0.0, ,24.1,13.6,95,43,4.00,15.73
SHEFFIELD SCHOOL FARM,26/02/2022,4.2,4.6, ,21.4,8.4,81,44,3.80,21.93
SHEFFIELD SCHOOL FARM,27/02/2022,2.5,0.8, ,22.1,12.2,100,62,3.12,10.76
SHEFFIELD SCHOOL FARM,28/02/2022,3.2,16.8, ,23.7,13.4,99,61,5.26,12.95
Totals:,,105.1,39.4, ,,,,,, 
