'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/03/2022,2.4,56.8, ,22.2,16.3,100,68,6.00,8.36
SHEFFIELD SCHOOL FARM,02/03/2022,2.2,1.8, ,21.7,14.5,90,63,3.89,5.78
SHEFFIELD SCHOOL FARM,03/03/2022,3.3,0.6, ,23.5,15.9,97,59,3.34,16.44
SHEFFIELD SCHOOL FARM,04/03/2022,1.8,0.0, ,20.8,15.7,100,71,2.42,7.48
SHEFFIELD SCHOOL FARM,05/03/2022,3.0,26.6, ,25.0,16.7,100,62,1.86,15.53
SHEFFIELD SCHOOL FARM,06/03/2022,3.8,0.0, ,17.6,10.6,91,48,6.60,21.77
SHEFFIELD SCHOOL FARM,07/03/2022,2.3,0.0, ,17.5,5.9,87,52,1.68,12.69
SHEFFIELD SCHOOL FARM,08/03/2022,3.5,0.0, ,18.7,8.1,85,47,3.64,20.55
SHEFFIELD SCHOOL FARM,09/03/2022,3.6,0.0, ,18.9,6.0,72,42,3.35,20.31
SHEFFIELD SCHOOL FARM,10/03/2022,3.0,0.0, ,19.7,4.9,93,42,1.61,20.39
SHEFFIELD SCHOOL FARM,11/03/2022,2.9,0.0, ,19.0,7.5,92,51,1.91,18.33
SHEFFIELD SCHOOL FARM,12/03/2022,3.0,0.0, ,20.6,7.2,99,47,1.57,19.58
SHEFFIELD SCHOOL FARM,13/03/2022,3.0,0.0, ,22.6,9.8,99,57,1.55,18.98
SHEFFIELD SCHOOL FARM,14/03/2022,2.0,0.2, ,20.3,12.2,100,65,4.15,6.66
SHEFFIELD SCHOOL FARM,15/03/2022,3.0,1.0, ,21.0,14.3,90,54,4.23,11.99
SHEFFIELD SCHOOL FARM,16/03/2022,1.1,2.6, ,18.9,13.9,99,82,3.39,2.98
SHEFFIELD SCHOOL FARM,17/03/2022,1.5,21.0, ,21.1,14.1,100,78,2.83,6.51
SHEFFIELD SCHOOL FARM,18/03/2022,3.2,0.8, ,21.0,12.2,99,46,2.63,18.11
SHEFFIELD SCHOOL FARM,19/03/2022,2.9,0.0, ,19.3,7.2,91,50,2.36,18.81
SHEFFIELD SCHOOL FARM,20/03/2022,2.2,0.0, ,21.1,10.7,97,63,1.16,13.65
SHEFFIELD SCHOOL FARM,21/03/2022,1.5,0.0, ,18.7,11.6,99,70,1.77,7.02
SHEFFIELD SCHOOL FARM,22/03/2022,1.3,0.0, ,16.1,13.5,99,67,2.30,3.83
SHEFFIELD SCHOOL FARM,23/03/2022,2.6,6.4, ,15.3,8.1,84,54,4.67,13.92
SHEFFIELD SCHOOL FARM,24/03/2022,2.1,0.0, ,17.1,7.2,92,62,3.30,11.72
SHEFFIELD SCHOOL FARM,25/03/2022,2.7,0.0, ,21.4,7.7,99,50,1.65,17.52
SHEFFIELD SCHOOL FARM,26/03/2022,2.2,0.2, ,20.5,8.9,100,58,1.18,14.29
SHEFFIELD SCHOOL FARM,27/03/2022,1.9,0.0, ,21.4,11.4,100,70,2.28,9.95
SHEFFIELD SCHOOL FARM,28/03/2022,2.1,0.0, ,22.5,12.7,100,61,1.67,11.57
SHEFFIELD SCHOOL FARM,29/03/2022,1.8,0.8, ,19.8,13.4,99,69,2.01,10.26
SHEFFIELD SCHOOL FARM,30/03/2022,2.2,0.2, ,20.7,8.7,99,51,1.85,12.13
SHEFFIELD SCHOOL FARM,31/03/2022,2.5,0.0, ,15.8,4.7,88,44,3.29,15.57
Totals:,,76.6,119, ,,,,,, 
