'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/04/2022,2.1,0.0, ,17.1,3.3,92,52,1.85,15.71
SHEFFIELD SCHOOL FARM,02/04/2022,2.3,0.0, ,18.7,4.7,99,56,2.87,15.58
SHEFFIELD SCHOOL FARM,03/04/2022,1.5,1.6, ,17.2,5.8,99,70,2.87,8.11
SHEFFIELD SCHOOL FARM,04/04/2022,2.4,8.6, ,22.2,8.9,99,61,2.36,14.97
SHEFFIELD SCHOOL FARM,05/04/2022,1.7,0.0, ,17.7,9.9,97,57,2.29,7.62
SHEFFIELD SCHOOL FARM,06/04/2022,2.6,9.8, ,16.7,9.2,79,46,3.54,13.34
SHEFFIELD SCHOOL FARM,07/04/2022,1.9,0.0, ,18.5,7.0,92,50,1.14,14.54
SHEFFIELD SCHOOL FARM,08/04/2022,2.0,0.0, ,18.0,7.8,96,54,2.29,12.74
SHEFFIELD SCHOOL FARM,09/04/2022,1.1,0.4, ,18.0,11.3,100,77,3.54,2.59
SHEFFIELD SCHOOL FARM,10/04/2022,1.4,4.2, ,20.5,14.7,100,79,3.02,7.05
SHEFFIELD SCHOOL FARM,11/04/2022,2.3,0.4, ,15.5,7.0,81,51,3.86,12.66
SHEFFIELD SCHOOL FARM,12/04/2022,1.6,0.0, ,16.0,4.1,83,61,2.11,9.54
SHEFFIELD SCHOOL FARM,13/04/2022,1.9,0.0, ,19.9,6.9,94,54,1.45,13.61
SHEFFIELD SCHOOL FARM,14/04/2022,1.3,0.0, ,17.4,5.8,99,69,2.15,7.43
SHEFFIELD SCHOOL FARM,15/04/2022,0.8,1.0, ,15.2,10.4,100,88,1.46,4.00
SHEFFIELD SCHOOL FARM,16/04/2022,0.7,3.4, ,15.3,6.7,100,86,1.20,2.27
SHEFFIELD SCHOOL FARM,17/04/2022,1.4,2.2, ,20.1,11.9,100,68,1.93,7.35
SHEFFIELD SCHOOL FARM,18/04/2022,1.3,7.6, ,17.3,11.1,100,57,1.50,6.79
SHEFFIELD SCHOOL FARM,19/04/2022,1.0,7.8, ,14.7,10.9,100,71,1.94,3.62
SHEFFIELD SCHOOL FARM,20/04/2022,1.8,9.4, ,14.6,7.4,99,57,4.70,10.77
SHEFFIELD SCHOOL FARM,21/04/2022,1.7,0.0, ,14.0,4.3,83,44,2.08,11.52
SHEFFIELD SCHOOL FARM,22/04/2022,1.2,0.0, ,14.9,2.2,94,52,0.89,12.07
SHEFFIELD SCHOOL FARM,23/04/2022,1.4,0.0, ,16.5,3.3,99,56,1.57,11.92
SHEFFIELD SCHOOL FARM,24/04/2022,1.3,0.0, ,18.4,3.5,99,58,0.81,11.77
SHEFFIELD SCHOOL FARM,25/04/2022,0.8,0.2, ,14.8,6.1,100,77,0.74,4.96
SHEFFIELD SCHOOL FARM,26/04/2022,1.0,0.0, ,16.0,9.8,96,72,1.25,5.16
SHEFFIELD SCHOOL FARM,27/04/2022,1.0,0.0, ,15.6,9.1,100,78,3.12,3.99
SHEFFIELD SCHOOL FARM,28/04/2022,1.0,14.0, ,19.7,11.7,100,78,1.79,3.95
SHEFFIELD SCHOOL FARM,29/04/2022,0.5,0.4, ,16.4,13.6,100,96,2.46,1.54
SHEFFIELD SCHOOL FARM,30/04/2022,1.6,37.2, ,13.7,8.8,100,57,4.55,9.61
Totals:,,44.6,108.2, ,,,,,, 
