'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/05/2022,1.4,2.8, ,17.1,8.0,100,71,4.86,7.99
SHEFFIELD SCHOOL FARM,02/05/2022,1.4,1.6, ,17.5,10.7,100,69,3.94,8.35
SHEFFIELD SCHOOL FARM,03/05/2022,1.0,1.2, ,15.1,12.9,98,80,5.05,3.13
SHEFFIELD SCHOOL FARM,04/05/2022,1.0,4.4, ,12.0,10.5,99,71,3.60,2.91
SHEFFIELD SCHOOL FARM,05/05/2022,1.1,0.4, ,12.7,0.4,99,57,1.82,10.25
SHEFFIELD SCHOOL FARM,06/05/2022,0.8,2.2, ,10.5,5.1,99,74,2.69,5.45
SHEFFIELD SCHOOL FARM,07/05/2022,1.5,3.8, ,14.7,2.9,99,56,4.02,8.61
SHEFFIELD SCHOOL FARM,08/05/2022,1.7,0.0, ,15.1,7.0,82,50,3.30,9.92
SHEFFIELD SCHOOL FARM,09/05/2022,0.9,0.0, ,14.3,3.4,99,60,1.29,8.87
SHEFFIELD SCHOOL FARM,10/05/2022,0.8,0.0, ,14.4,3.5,99,57,0.97,7.63
SHEFFIELD SCHOOL FARM,11/05/2022,0.7,0.0, ,14.4,5.0,98,79,1.38,4.56
SHEFFIELD SCHOOL FARM,12/05/2022,0.8,0.0, ,14.8,9.9,100,82,2.92,2.96
SHEFFIELD SCHOOL FARM,13/05/2022,0.9,1.0, ,17.5,7.0,100,63,1.25,9.12
SHEFFIELD SCHOOL FARM,14/05/2022,0.6,20.2, ,15.0,10.2,100,92,5.08,1.65
SHEFFIELD SCHOOL FARM,15/05/2022,1.1,5.4, ,14.7,10.2,100,72,5.30,4.18
SHEFFIELD SCHOOL FARM,16/05/2022,1.8,18.0, ,11.2,6.1,87,55,6.91,8.87
SHEFFIELD SCHOOL FARM,17/05/2022,1.4,0.2, ,11.9,4.1,91,65,6.06,7.78
SHEFFIELD SCHOOL FARM,18/05/2022,1.3,2.8, ,11.6,5.2,93,63,5.41,6.52
SHEFFIELD SCHOOL FARM,19/05/2022,1.5,0.0, ,13.7,5.9,83,47,3.12,8.19
SHEFFIELD SCHOOL FARM,20/05/2022,0.7,0.0, ,13.4,1.0,99,52,0.86,8.72
SHEFFIELD SCHOOL FARM,21/05/2022,0.6,0.0, ,13.8,4.6,100,64,0.99,8.62
SHEFFIELD SCHOOL FARM,22/05/2022,0.6,0.0, ,11.6,5.3,100,72,1.68,7.24
SHEFFIELD SCHOOL FARM,23/05/2022,0.6,0.2, ,13.2,-0.3,99,62,1.00,8.48
SHEFFIELD SCHOOL FARM,24/05/2022,0.6,0.0, ,12.9,4.3,99,63,0.86,8.37
SHEFFIELD SCHOOL FARM,25/05/2022,0.9,0.0, ,15.0,5.6,99,60,2.11,5.63
SHEFFIELD SCHOOL FARM,26/05/2022,0.6,0.4, ,13.4,6.6,100,82,2.56,2.73
SHEFFIELD SCHOOL FARM,27/05/2022,0.9,14.0, ,13.5,7.4,100,60,2.76,7.99
SHEFFIELD SCHOOL FARM,28/05/2022,0.5,1.6, ,12.1,3.1,99,79,1.00,5.01
SHEFFIELD SCHOOL FARM,29/05/2022,0.5,1.2, ,11.3,1.6,99,76,1.08,5.64
SHEFFIELD SCHOOL FARM,30/05/2022,0.4,0.4, ,10.6,-0.1,100,71,0.69,6.45
SHEFFIELD SCHOOL FARM,31/05/2022,0.8,9.2, ,10.8,2.9,99,67,3.11,3.44
Totals:,,29.4,91, ,,,,,, 
