'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/06/2022,1.1,0.0, ,12.1,2.9,97,52,3.06,7.87
SHEFFIELD SCHOOL FARM,02/06/2022,0.6,0.0, ,9.9,0.5,95,64,1.57,6.06
SHEFFIELD SCHOOL FARM,03/06/2022,0.4,0.2, ,9.3,3.2,100,94,1.46,3.23
SHEFFIELD SCHOOL FARM,04/06/2022,0.6,16.8, ,10.9,3.0,99,75,2.19,5.99
SHEFFIELD SCHOOL FARM,05/06/2022,0.7,43.0, ,9.2,4.3,100,76,5.05,4.51
SHEFFIELD SCHOOL FARM,06/06/2022,0.9,4.4, ,8.4,2.7,99,64,5.10,7.18
SHEFFIELD SCHOOL FARM,07/06/2022,0.9,0.0, ,7.5,-0.1,98,55,4.02,7.59
SHEFFIELD SCHOOL FARM,08/06/2022,1.1,0.0, ,8.9,1.7,83,60,3.78,3.76
SHEFFIELD SCHOOL FARM,09/06/2022,1.4,0.0, ,9.9,4.8,81,53,4.74,6.47
SHEFFIELD SCHOOL FARM,10/06/2022,1.8,0.0, ,9.4,5.3,77,47,6.63,7.12
SHEFFIELD SCHOOL FARM,11/06/2022,1.9,4.2, ,10.1,3.2,88,52,11.19,7.47
SHEFFIELD SCHOOL FARM,12/06/2022,2.1,0.2, ,8.2,5.3,69,46,7.83,6.56
SHEFFIELD SCHOOL FARM,13/06/2022,1.0,0.0, ,10.8,0.0,84,53,2.80,7.54
SHEFFIELD SCHOOL FARM,14/06/2022,0.4,0.0, ,10.3,-1.3,99,69,0.98,6.39
SHEFFIELD SCHOOL FARM,15/06/2022,0.4,1.8, ,9.4,1.9,100,94,1.94,2.20
SHEFFIELD SCHOOL FARM,16/06/2022,0.6,28.8, ,14.0,5.9,100,60,1.62,7.05
SHEFFIELD SCHOOL FARM,17/06/2022,0.4,0.0, ,11.9,2.3,100,75,0.97,5.09
SHEFFIELD SCHOOL FARM,18/06/2022,0.4,0.0, ,10.1,3.2,100,86,1.99,4.75
SHEFFIELD SCHOOL FARM,19/06/2022,0.5,1.4, ,11.3,5.2,100,88,3.44,2.44
SHEFFIELD SCHOOL FARM,20/06/2022, ,5.4, , ,7.9,99,86,4.90,2.42
SHEFFIELD SCHOOL FARM,21/06/2022,0.8, , ,13.1,6.9,100,68,3.43,6.15
SHEFFIELD SCHOOL FARM,22/06/2022,0.5,0.0, ,12.4,2.9,100,77,1.89,6.84
SHEFFIELD SCHOOL FARM,23/06/2022,0.6,1.6, ,11.8,5.0,100,82,4.58,2.78
SHEFFIELD SCHOOL FARM,24/06/2022,1.1,9.0, ,11.0,8.1,100,55,4.70,7.08
SHEFFIELD SCHOOL FARM,25/06/2022,1.1,0.0, ,11.6,4.4,94,70,6.04,4.75
SHEFFIELD SCHOOL FARM,26/06/2022,1.1,1.4, ,9.1,3.8,86,54,4.11,7.31
SHEFFIELD SCHOOL FARM,27/06/2022,0.7,0.0, ,9.8,0.1,88,57,2.01,7.28
SHEFFIELD SCHOOL FARM,28/06/2022,0.6,0.0, ,12.3,1.8,100,81,3.29,4.97
SHEFFIELD SCHOOL FARM,29/06/2022,0.6,0.0, ,10.2,4.0,99,72,2.72,5.33
SHEFFIELD SCHOOL FARM,30/06/2022,0.5,0.0, ,11.1,0.8,100,72,1.78,7.68
Totals:,,24.8,118.2, ,,,,,, 
