'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEFFIELD SCHOOL FARM Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEFFIELD SCHOOL FARM,01/07/2022,0.4,0.0, ,10.4,2.3,99,62,1.07,7.59
SHEFFIELD SCHOOL FARM,02/07/2022,0.4,0.0, ,11.4,-2.1,99,51,0.65,7.75
SHEFFIELD SCHOOL FARM,03/07/2022,0.5,0.2, ,11.9,-1.2,99,53,1.02,7.78
SHEFFIELD SCHOOL FARM,04/07/2022,0.6,0.2, ,13.0,-0.2,99,56,1.45,7.62
SHEFFIELD SCHOOL FARM,05/07/2022,0.4,0.0, ,13.3,1.0,95,55,0.70,7.77
SHEFFIELD SCHOOL FARM,06/07/2022,0.5,0.2, ,9.8,4.1,99,81,2.64,4.03
SHEFFIELD SCHOOL FARM,07/07/2022,0.6,8.8, ,11.3,1.7,100,64,1.84,6.56
SHEFFIELD SCHOOL FARM,08/07/2022,1.3,0.0, ,11.6,2.8,86,51,3.66,7.54
SHEFFIELD SCHOOL FARM,09/07/2022,0.7,0.0, ,11.9,2.1,91,60,1.74,7.01
SHEFFIELD SCHOOL FARM,10/07/2022,0.6,0.0, ,9.1,1.2,93,67,1.44,5.05
SHEFFIELD SCHOOL FARM,11/07/2022,0.6,0.2, ,10.7,3.5,99,79,2.77,4.08
SHEFFIELD SCHOOL FARM,12/07/2022,0.6,4.6, ,11.2,5.0,100,66,1.38,7.28
SHEFFIELD SCHOOL FARM,13/07/2022,0.4,6.0, ,11.7,-0.1,99,54,0.70,8.25
SHEFFIELD SCHOOL FARM,14/07/2022,0.6,0.0, ,10.6,-0.2,99,68,1.77,8.09
SHEFFIELD SCHOOL FARM,15/07/2022,0.9,0.2, ,12.2,1.5,100,61,2.86,7.86
SHEFFIELD SCHOOL FARM,16/07/2022,0.5,1.4, ,9.3,2.8,99,86,3.62,3.19
SHEFFIELD SCHOOL FARM,17/07/2022,1.0,23.8, ,9.9,6.2,100,67,6.66,7.10
SHEFFIELD SCHOOL FARM,18/07/2022,1.0,0.6, ,7.5,2.4,83,51,2.89,7.61
SHEFFIELD SCHOOL FARM,19/07/2022,0.5,0.0, ,8.2,-3.0,91,56,0.91,8.71
SHEFFIELD SCHOOL FARM,20/07/2022,0.5,0.2, ,10.7,-1.5,96,58,0.80,8.73
SHEFFIELD SCHOOL FARM,21/07/2022,0.8,0.0, ,11.4,0.8,95,63,2.12,6.80
SHEFFIELD SCHOOL FARM,22/07/2022,0.9,0.0, ,11.4,4.1,99,69,3.14,3.94
SHEFFIELD SCHOOL FARM,23/07/2022,0.7,6.8, ,11.4,7.7,99,81,3.88,2.82
SHEFFIELD SCHOOL FARM,24/07/2022,0.5,9.4, ,11.5,9.1,100,87,1.35,3.52
SHEFFIELD SCHOOL FARM,25/07/2022,0.7,0.2, ,12.6,8.4,100,82,3.08,3.77
SHEFFIELD SCHOOL FARM,26/07/2022,0.8,14.2, ,11.3,6.8,100,71,2.22,5.64
SHEFFIELD SCHOOL FARM,27/07/2022,1.2,1.6, ,12.9,6.0,94,60,3.26,7.63
SHEFFIELD SCHOOL FARM,28/07/2022,1.3,0.0, ,10.0,4.0,83,48,3.12,8.82
SHEFFIELD SCHOOL FARM,29/07/2022,1.2,0.0, ,9.6,2.7,82,49,2.52,9.47
SHEFFIELD SCHOOL FARM,30/07/2022,0.7,0.0, ,8.9,-0.1,95,68,1.94,6.17
SHEFFIELD SCHOOL FARM,31/07/2022,0.8,0.0, ,10.1,3.5,99,75,3.29,5.40
Totals:,,22.2,78.6, ,,,,,, 
